Column1,Time,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_07,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2025/01/01/8625,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/4651,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/6891,NR/01102023/22052037/LT-59,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668
1,00:00-00:15,1.53,17.28,42,114.79,6.72,86.57,200,0,26.99,99.99,0,29.77,26.99,259.72,0,190.26,25.91,0,5.76,0,1.44,15.4,271.38,3.76,15.4,63.42,1.39,7,17,51,12.66,0,0,37.67,0,37.66,0,17,0,0,0,0,0,0,0,0,0

2,00:15-00:30,1.53,17.28,42,114.79,6.72,86.57,200,0,26.99,99.99,0,29.77,26.99,259.72,0,190.26,25.91,0,5.76,0,1.44,15.4,271.38,3.76,15.4,63.42,1.39,7,17.17,51.49,12.34,0,0,37.67,0,37.66,0,17.17,0,0,0,0,0,0,0,0,0

3,00:30-00:45,1.53,17.28,42,65.86,6.72,86.57,200,0,26.99,99.99,0,30.28,26.99,259.72,0,190.26,25.91,0,5.76,0,1.44,15.4,271.38,3.76,15.4,63.42,1.39,7,17.33,52.01,15.34,0,0,37.33,0,37.34,0,17.33,0,0,0,0,0,0,0,0,0

4,00:45-01:00,1.53,17.28,42,65.86,6.72,86.57,200,0,26.99,99.99,0,30.28,26.99,259.72,0,190.26,25.91,0,5.76,0,1.44,15.4,271.38,3.76,15.4,63.42,1.39,7,17.5,52.5,15.34,0,0,37.67,0,37.66,0,17.5,0,0,0,0,0,0,0,0,0

5,01:00-01:15,1.45,17.28,42,65.86,6.72,86.57,200,0,26.99,99.99,0,30.28,26.99,259.72,0,190.26,23.04,0,0,0,1.44,15.4,271.38,3.76,15.4,63.42,1.39,7,22.66,68,18.34,0,0,46.67,0,46.66,0,22.67,0,0,0,0,0,0,0,0,0

6,01:15-01:30,1.45,17.28,42,65.86,6.72,86.57,200,0,26.99,99.99,0,30.28,26.99,259.72,0,190.26,23.04,0,0,0,1.44,15.4,271.38,3.76,15.4,63.42,1.39,7,22.5,67.5,18.34,0,0,46,0,46,0,22.5,0,0,0,0,0,0,0,0,0

