Column1,Time,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2594,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/5886,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,GNA/NR/2025/02/16/1676,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2143,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,0,0,0,0,0.92,0,8.65,23.07,1.2,0,0,9.2,0,7.5,15,22.5,7.33,7.5,0,15,0,0,130.72,0,0,75,7.93,8.65,74.97,271.78,70.12,23.78,45.18,1.47,27.25,0.62,26.91,26.91,23.07,23.07,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0.92,0,8.65,23.07,1.2,0,0,8.2,0,7.5,15,22.5,7.33,7.5,0,15,0,0,130.72,0,0,75,7.93,8.65,74.97,271.78,70.12,23.78,45.18,1.47,27.76,0.62,26.91,26.91,23.07,23.07,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0.92,0,8.65,23.07,1.2,0,0,7.6,0,7.5,15,22.5,7.33,7.5,0,15,0,0,130.72,0,0,75,7.93,8.65,74.97,271.78,70.12,23.78,45.18,1.47,28.26,0.62,26.91,26.91,23.07,23.07,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0.92,0,8.65,23.07,1.2,0,0,7.2,0,7.5,15,22.5,7.33,7.5,0,15,0,0,130.72,0,0,75,7.93,8.65,74.97,271.78,70.12,23.78,45.18,1.47,28.26,0.62,26.91,26.91,23.07,23.07,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0.92,0,8.65,23.07,1.2,0,0,7,0,7.5,15,22.5,7.33,7.5,0,15,0,0,130.72,0,0,75,7.93,8.65,70.17,271.78,70.12,23.78,45.18,1.47,28.26,0.62,26.91,26.91,23.07,23.07,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0.92,0,8.65,23.07,1.2,0,0,6.6,0,7.5,15,22.5,7.33,7.5,0,15,0,0,130.72,0,0,75,7.93,8.65,70.17,271.78,70.12,23.78,45.18,1.47,28.26,0.62,26.91,26.91,23.07,23.07,0,0,0,0,0,0,0

