Block,Time,KOTESHWR,RIHAND2,DULHASTI,UNCHAHAR4,DADRI_CRF,DADRT2,UNCHAHAR1,SINGRAULI_HYDRO,URI,BSIUL,JHAJJAR,TANDA2,URI2,TEHRI,DADRI_GF,SEWA2,RAPPB,AURY_RF,CHAMERA2,UNCHAHAR3,RIHAND1,KOLDAM,ANTA_CRF,UNCHAHAR2,RIHAND3,DADRI_LF,AURY_LF,TANAKPUR,DHAULIGNGA,CHAMERA1,ANTA_LF,ANTA_GF,SALAL,NAPP,PARBATI3,BRBCL,AURY_GF,KHSTPP-I,SINGRAULI,CHAMERA3,ANTA_RF,KUDGI,KHSTPP-II,TALA,KISHANGANGA,RAPPC,RAMPUR,NJPC,FSTPP I & II,AURY_CRF,SASAN,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,28.547658,114.002438,47.711220,0.000000,55.992496,662.811337,20.068000,0.867731,40.487875,6.293224,630.355162,0.000000,31.937012,43.776936,0.000000,15.252487,0.000000,0.000000,38.131217,25.469086,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,36.274837,121.203198,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,45.082137,366.979275,0.000000,0,0,0,0,0

2,00:15-00:30,28.547658,114.002438,47.711220,0.000000,55.992496,651.869171,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,31.937012,43.776936,0.000000,15.252487,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,8.054534,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,45.082137,366.979275,0.000000,0,0,0,0,0

3,00:30-00:45,28.547658,114.002438,47.711220,0.000000,0.000000,562.114871,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,31.937012,43.776936,0.000000,15.252487,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,8.440523,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,366.979275,0.000000,0,0,0,0,0

4,00:45-01:00,28.547658,114.002438,47.711220,0.000000,0.000000,512.894771,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,31.937012,43.776936,0.000000,15.252487,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,8.440523,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,366.979275,0.000000,0,0,0,0,0

5,01:00-01:15,28.547658,114.002438,47.711220,0.000000,0.000000,439.547171,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,30.784164,43.776936,0.000000,15.252487,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,8.440523,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,369.030112,0.000000,0,0,0,0,0

6,01:15-01:30,28.547658,114.002438,47.711220,0.000000,0.000000,437.616971,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,30.784164,43.776936,0.000000,15.252487,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,8.440523,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,369.150750,0.000000,0,0,0,0,0

7,01:30-01:45,28.547658,114.002438,47.711220,0.000000,0.000000,463.674671,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,30.784164,43.776936,0.000000,10.188908,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,6.118734,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,369.150750,0.000000,0,0,0,0,0

8,01:45-02:00,28.547658,114.002438,47.711220,0.000000,0.000000,460.779371,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,30.784164,43.776936,0.000000,10.188908,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,6.118734,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,369.150750,0.000000,0,0,0,0,0

9,02:00-02:15,28.547658,114.002438,47.711220,0.000000,0.000000,454.023671,14.679557,0.867731,40.487875,6.293224,624.154394,0.000000,30.784164,43.776936,0.000000,10.188908,0.000000,0.000000,38.131217,18.143494,88.789200,0.000000,0.000000,40.910686,119.349695,0.000000,0.000000,12.857448,35.314650,41.171166,0.000000,0.000000,82.987019,37.415383,0.000000,14.477803,0.000000,5.539674,121.204496,28.048516,0.000000,38.60,142.367330,27.806461,0.000000,49.233418,0.000000,147.602877,13.752675,0.000000,369.150750,0.000000,0,0,0,0,0

