Block,Time,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/31052040/LT-31,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/30122023/31122023/IEX_231227_05964,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/23122023/31122023/HP-21,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/23122023/31122023/HP-17,NR/01102023/06022042/L_NR_2012_02,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/23122023/31122023/SJVN231223NR1310,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/23122023/31122023/SJVN231223NR1309,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,25.370000,1.150000,0.000000,23.110000,11.560000,0.000000,5.780000,40.450000,14.450000,148.970000,0.930000,96.310000,8.190000,48.160000,1.570000,147.720000,67.420000,25.370000,0.000000,37.560000,0.000000,114.950000,111.720000,64.73,0,21.58,0,0,0,48.16,39.41,0,0,21.56,0,0,0,13.87,21.42,0,0,0,0,0,39.41,0,0

2,00:15-00:30,25.370000,1.150000,0.000000,23.110000,11.560000,0.000000,5.780000,40.450000,14.450000,148.970000,0.930000,96.310000,8.190000,48.160000,1.570000,147.720000,67.420000,25.370000,0.000000,37.560000,0.000000,114.950000,111.720000,64.27,0,21.42,0,0,0,48.16,39.41,0,0,21.43,0,0,0,13.51,20.99,0,0,0,0,0,39.41,0,0

3,00:30-00:45,25.370000,1.150000,0.000000,23.110000,11.560000,0.000000,5.780000,40.450000,14.450000,148.970000,0.930000,96.310000,8.190000,48.160000,1.570000,147.720000,71.650000,25.370000,0.000000,37.560000,0.000000,114.950000,111.720000,63.66,0,21.22,0,0,0,48.16,38.67,0,0,21.22,0,0,0,13.21,20.74,0,0,0,0,0,38.67,0,0

4,00:45-01:00,25.370000,1.150000,0.000000,24.080000,11.560000,0.000000,5.780000,40.450000,14.450000,148.970000,0.930000,96.310000,8.190000,48.160000,1.570000,147.720000,71.650000,25.370000,0.000000,37.560000,0.000000,114.950000,111.720000,62.12,0,20.71,0,0,0,48.16,35.8,0,0,20.69,0,0,0,12.73,20.41,0,0,0,0,0,35.8,0,0

5,01:00-01:15,25.370000,1.070000,0.000000,24.080000,11.560000,0.000000,5.780000,40.450000,14.450000,148.970000,0.930000,96.310000,8.190000,48.160000,1.570000,147.720000,71.650000,25.370000,0.000000,37.560000,0.000000,114.950000,111.720000,59.86,0,19.95,0,0,0,48.16,35.11,0,0,19.96,0,0,0,12.51,20.34,0,0,0,0,0,35.11,0,0

6,01:15-01:30,25.370000,1.070000,0.000000,24.080000,11.560000,0.000000,5.780000,40.450000,14.450000,148.970000,0.930000,96.310000,8.190000,48.160000,1.570000,147.720000,71.650000,25.370000,0.000000,37.560000,0.000000,114.950000,111.720000,56.68,0,18.89,0,0,0,48.16,34.44,0,0,18.89,0,0,0,12.25,20.28,0,0,0,0,0,34.44,0,0

