Block,Time,CHAMERA1,DADRT2,JHAJJAR,URI,SEWA2,UNCHAHAR2,DADRI_GF,UNCHAHAR3,UNCHAHAR1,KOTESHWR,DHAULIGNGA,ANTA_LF,NJPC,SALAL,AURY_GF,CHAMERA2,UNCHAHAR4,AURY_RF,PARBATI3,KOLDAM,URI2,KISHANGANGA,DADRI_RF,BSIUL,DADRI_LF,AURY_LF,TEHRI,ANTA_GF,TANDA2,NAPP,DADRI_CRF,RIHAND1,TANAKPUR,SINGRAULI,RAPPC,RIHAND2,CHAMERA3,ANTA_CRF,RIHAND3,SINGRAULI_HYDRO,RAMPUR,ANTA_RF,RAPPB,AURY_CRF,DULHASTI,KHSTPP-I,BRBCL,TALA,KHSTPP-II,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,361.725000,231.021700,31.947552,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.768215,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,0.000000,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,19.291953,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

2,00:15-00:30,0.000000,361.725000,231.021700,31.947552,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.768215,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,0.000000,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,18.790641,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

3,00:30-00:45,0.000000,361.725000,231.021700,31.947552,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.768215,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,17.401776,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

4,00:45-01:00,0.000000,361.725000,231.021700,31.947552,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.768215,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,16.964401,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

5,01:00-01:15,0.000000,361.725000,231.021700,31.947552,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.768215,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,15.907322,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

6,01:15-01:30,0.000000,361.725000,231.021700,31.947552,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.463699,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,14.480235,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

7,01:30-01:45,0.000000,361.725000,231.021700,21.298368,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.166119,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,13.819383,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

8,01:45-02:00,0.000000,361.725000,231.021700,21.298368,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.166119,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,113.943375,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,14.163574,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

9,02:00-02:15,0.000000,361.725000,231.021700,21.298368,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.166119,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,91.586166,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,16.879488,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

10,02:15-02:30,0.000000,361.725000,231.021700,21.298368,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.166119,0.000000,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,4.942610,121.141702,52.268105,91.586166,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,16.582796,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

11,02:30-02:45,0.000000,361.725000,231.021700,21.298368,0.000000,22.494472,0.000000,14.005992,6.376006,8.084313,0.000000,0.000000,0.000000,12.329517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.031866,0.000000,61.286440,0.000000,121.141702,52.268105,91.586166,0.000000,0.000000,58.530578,0.775018,0.000000,0.000000,0.000000,0.000000,1.856373,24.616592,15.578157,0.000000,78.325520,11.006086,403.945542,0,0,0,0,0

