Block,Time,DADRI_RF,BSIUL,DADRI_GF,TEHRI,JHAJJAR,ANTA_RF,URI2,UNCHAHAR1,SINGRAULI,UNCHAHAR3,TANAKPUR,SEWA2,UNCHAHAR2,DHAULIGNGA,CHAMERA2,AURY_CRF,RAMPUR,ANTA_GF,KISHANGANGA,RIHAND1,RAPPB,KOLDAM,NAPP,PARBATI3,SINGRAULI_HYDRO,RIHAND2,DADRI_CRF,KOTESHWR,RIHAND3,AURY_GF,ANTA_CRF,UNCHAHAR4,AURY_RF,AURY_LF,DADRI_LF,ANTA_LF,DULHASTI,CHAMERA3,TANDA2,URI,SALAL,RAPPC,DADRT2,NJPC,CHAMERA1,FSTPP I & II,KUDGI,SASAN,BRBCL,KHSTPP-I,KHSTPP-II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,6.334248,0.000000,64.299312,436.754443,0.000000,31.333273,16.345931,134.643115,23.148585,12.257056,15.274612,40.970032,35.365878,38.186531,0.000000,0.000000,0.000000,0.000000,88.169542,0.000000,0.000000,38.192214,3.444993,0.942946,114.167812,0.000000,35.259853,89.243710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.780431,28.089204,0.000000,45.348180,83.107402,49.182189,309.291860,147.816993,41.230890,13.772625,83.30,333.804938,14.497478,31.093272,141.813772,25.573590,0,0,0,0,0

2,00:15-00:30,0.000000,6.334248,0.000000,64.299312,439.011652,0.000000,31.333273,16.345931,134.643115,21.926986,12.257056,15.274612,40.970032,35.365878,38.186531,0.000000,0.000000,0.000000,0.000000,88.169542,0.000000,0.000000,38.192214,3.444993,0.942946,114.167812,0.000000,35.259853,89.243710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.780431,28.089204,0.000000,45.348180,83.107402,49.182189,294.211009,147.816993,41.230890,13.772625,72.49,333.804938,14.497478,31.093272,141.813772,25.573590,0,0,0,0,0

3,00:30-00:45,0.000000,6.334248,0.000000,64.299312,439.011652,0.000000,30.553191,16.345931,134.643115,21.926986,12.257056,15.274612,40.970032,35.365878,38.186531,0.000000,0.000000,0.000000,0.000000,88.169542,0.000000,0.000000,38.192214,3.444993,0.942946,114.167812,0.000000,35.259853,89.243710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.780431,28.089204,0.000000,45.348180,83.107402,49.182189,335.961451,147.816993,41.230890,13.772625,67.66,333.804938,14.497478,31.093272,141.813772,25.573590,0,0,0,0,0

4,00:45-01:00,0.000000,6.334248,0.000000,64.299312,439.011652,0.000000,30.553191,16.345931,134.643115,21.926986,12.257056,15.274612,40.970032,35.365878,38.186531,0.000000,0.000000,0.000000,0.000000,88.169542,0.000000,0.000000,38.192214,3.444993,0.942946,114.167812,0.000000,35.259853,89.243710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.780431,28.089204,0.000000,45.348180,83.107402,49.182189,335.961451,147.816993,41.230890,13.772625,67.66,333.804938,13.774819,31.093272,141.813772,25.573590,0,0,0,0,0

5,01:00-01:15,0.000000,6.334248,0.000000,64.299312,438.237679,0.000000,30.553191,16.345931,134.643115,21.926986,12.257056,15.274612,40.970032,35.365878,38.186531,0.000000,0.000000,0.000000,0.000000,88.169542,0.000000,0.000000,38.192214,3.444993,0.942946,114.167812,0.000000,35.259853,89.243710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.780431,28.089204,0.000000,45.348180,83.107402,49.182189,335.961451,147.816993,41.230890,13.772625,62.82,333.804938,12.365416,31.093272,141.813772,25.573590,0,0,0,0,0

6,01:15-01:30,0.000000,6.334248,0.000000,64.299312,416.008179,0.000000,30.553191,16.345931,134.643115,21.926986,12.257056,15.274612,40.970032,35.365878,38.186531,0.000000,0.000000,0.000000,0.000000,88.169542,0.000000,0.000000,38.192214,15.379431,0.942946,114.167812,0.000000,35.259853,89.243710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.780431,28.089204,0.000000,45.348180,83.107402,49.182189,335.961451,147.816993,41.230890,13.772625,62.82,333.804938,11.864609,31.093272,141.813772,25.573590,0,0,0,0,0

