Block,Time,KISHANGANGA,RAPPB,BSIUL,PARBATI3,SEWA2,URI2,RIHAND1,TANDA2,NJPC,DADRI_CRF,RAPPC,ANTA_LF,AURY_RF,KOTESHWR,AURY_CRF,CHAMERA2,DADRI_LF,TANAKPUR,ANTA_CRF,UNCHAHAR2,UNCHAHAR1,AURY_LF,UNCHAHAR4,ANTA_RF,DADRI_GF,CHAMERA3,AURY_GF,ANTA_GF,UNCHAHAR3,NAPP,DHAULIGNGA,SINGRAULI,RIHAND3,DADRT2,URI,DULHASTI,RIHAND2,SINGRAULI_HYDRO,TEHRI,RAMPUR,SALAL,JHAJJAR,CHAMERA1,DADRI_RF,KOLDAM,FSTPP I & II,SASAN,TALA,BRBCL,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,67.548241,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,40.210112,10.501966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.834695,41.944717,8.794348,120.890528,59.517558,653.788294,3.188131,15.862543,113.707125,0.791825,39.842977,0.000000,2.237082,419.149731,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,67.548241,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,40.210112,10.501966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.834695,41.944717,0.000000,120.890528,59.517558,654.076978,3.188131,15.862543,113.707125,0.791825,39.842977,0.000000,2.237082,419.149731,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,67.548241,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,40.210112,10.501966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.834695,41.944717,0.000000,120.890528,59.517558,654.076978,3.188131,15.862543,113.707125,0.791825,26.561984,0.000000,2.237082,419.149731,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,45.032161,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,40.210112,10.501966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.834695,41.944717,0.000000,120.890528,59.517558,653.788294,3.188131,15.862543,113.707125,0.791825,26.440697,0.000000,2.237082,419.149731,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,45.032161,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,40.210112,10.501966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.834695,41.944717,0.000000,120.890528,59.517558,653.788294,3.188131,1.852524,113.707125,0.791825,25.349108,0.000000,2.237082,419.149731,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,22.516080,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,40.210112,10.501966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.834695,41.944717,0.000000,120.890528,59.517558,654.076978,4.250842,1.852524,113.707125,0.791825,25.349108,0.000000,2.237082,419.149731,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

41,10:00-10:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,0.000000,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,2.342872,0.000000,40.210112,9.759705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.232691,41.944717,0.000000,118.765588,59.517558,582.573702,3.188131,1.852524,113.707125,0.791825,25.349108,0.000000,2.237082,400.395973,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

42,10:15-10:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.532113,88.559200,0.000000,0.000000,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,2.342872,0.000000,40.210112,9.759705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.232691,41.944717,0.000000,118.765588,59.517558,582.573702,3.188131,1.852524,113.707125,0.791825,25.349108,0.000000,2.237082,400.395973,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

43,10:30-10:45,0.000000,0.000000,0.000000,0.000000,0.000000,23.825967,78.933200,0.000000,0.000000,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,2.342872,0.000000,40.210112,9.759705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.232691,41.944717,0.000000,118.765588,59.517558,578.522119,3.188131,1.852524,113.707125,0.791825,13.280992,0.000000,2.237082,400.395973,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

44,10:45-11:00,0.000000,0.000000,0.000000,0.000000,0.000000,23.825967,74.120200,0.000000,0.000000,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,2.342872,0.000000,40.210112,9.759705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.232691,41.944717,0.000000,118.765588,59.517558,578.522119,38.257574,1.852524,113.707125,0.791825,0.000000,0.000000,2.237082,400.395973,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

45,11:00-11:15,0.000000,0.000000,0.000000,0.000000,0.000000,23.825967,74.120200,0.000000,0.000000,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,1.109782,0.000000,40.210112,9.759705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.232691,41.944717,0.000000,118.765588,59.517558,525.933920,38.257574,1.852524,113.707125,0.791825,0.000000,0.000000,2.237082,400.395973,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,18.539676,141.753342,44.663754,0,0,0,0,0

46,11:15-11:30,0.000000,0.000000,0.000000,0.000000,0.000000,23.825967,74.120200,0.000000,0.000000,0.000000,52.037578,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,1.109782,0.000000,40.210112,9.759705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.232691,41.944717,0.000000,118.765588,59.517558,475.620660,2.125421,1.852524,113.707125,0.791825,0.000000,0.000000,2.237082,400.395973,0.000000,0.000000,0.000000,17.461886,403.108002,0.000000,19.252000,141.753342,44.663754,0,0,0,0,0

