Time,Block,NR/2023/18204/A/2909,NR/2023/18183/A/2998,NR/2023/18074/A/2886,NR/2024/18285/A/2988,WR/2023/20914/A/2993,WR/2023/20937/A/2997,NR/2024/18314/C,Total
,,IEXL,MANIKARAN,ITCLH,HPXL,APPCPL,MANIKARAN,NVVNL,Total

,,ANDHRA PRADESH,DELHI,ANDHRA PRADESH,MP,DELHI,DELHI,NA,
,,SNJSUGARLTDAP,BRPL,ITCWIND,MSPIL,BRPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,HIMACHAL PRADESH,DELHI,DELHI,GOA,GOA,DELHI,
,,MES (Delhi),HP,ITCLH,NDMC,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),
,,South-East-North,North-North,South-West-North,West-North,North-West,North-West,West-North,
1,00:00-00:15,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

2,00:15-00:30,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

3,00:30-00:45,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

4,00:45-01:00,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

5,01:00-01:15,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

6,01:15-01:30,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

7,01:30-01:45,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

8,01:45-02:00,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

9,02:00-02:15,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

10,02:15-02:30,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

11,02:30-02:45,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

12,02:45-03:00,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

13,03:00-03:15,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

14,03:15-03:30,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

15,03:30-03:45,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

16,03:45-04:00,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

17,04:00-04:15,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

18,04:15-04:30,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

19,04:30-04:45,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

20,04:45-05:00,5.760000,0.000000,0.380000,9.600000,0.000000,0.000000,0,15.74

21,05:00-05:15,5.760000,0.000000,0.430000,9.600000,0.000000,0.000000,0,15.79

