Column1,Block,NR/2025/29628/A/91580,NR/2025/29353/A/91659,NR/2025/29915/A/91162,NR/2025/29352/A/91660,NR/2025/30086/A/91573,NR/2025/30084/A/91574,NR/2025/31870/A/91256,NR/2025/29910/A/91578,NR/2025/30067/A/91646,NR/2025/32127/C,NR/2025/32173/C,NR/2025/29440/A/91114,NR/2025/31780/A/91303,NR/2025/29992/A/91260,NR/2025/30082/A/91695,NR/2025/30083/A/91575,NR/2025/28728/A/91628,GNARE/NR/2024/12/20/3668,NR/2025/30105/A/91572,NR/2025/32240/C,NR/2025/32255/C,NR/2025/32126/C,NR/2025/32242/C,NR/2025/30101/A/91687,NR/2025/27966/A/91616,NR/2025/27978/A/91691,NR/2025/32197/C,NR/2025/32194/C,NR/2025/30217/A/91571,NR/2025/32238/C,NR/2025/32240/C/Alternate/1,NR/2025/29167/A/91163,NR/2025/29439/A/91278,NR/2025/32245/C,NR/2025/32229/C,NR/2025/32185/C,NR/2025/32212/C,NR/2025/27975/A/91618,NR/2025/32243/C,NR/2025/32252/C,NR/2025/32253/C,NR/2025/27973/A/91617,NR/2025/30121/A/91142,NR/2025/32256/C,NR/2025/27965/A/91615,NR/2025/32257/C,NR/30092023/31122025/SH-07,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/1192,NR/2025/32335/C,GNA/NR/2025/07/01/8139,NR/2025/30191/A/91144,NR/2025/31136/A/91638,NR/2025/31136/A/91639,NR/2025/31138/A/91643,NR/2025/32249/C,NR/2025/31419/A/91346,NR/2025/29985/A/91304,NR/2025/31137/A/91640,NR/2025/31347/A/91145,NR/2025/31137/A/91641,NR/2025/31420/A/91345,NR/2025/31138/A/91642,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,GNA/NR/2025/07/25/1179,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,Total
,,APPCPL,PTC,TPTCL,PTC,APPCPL,APPCPL,DIAPL,APPCPL,MANIKARAN,IEXL,HPXL,ITCLH,BRPL,BYPL,HPXL,APPCPL,PowerPulse,SECI_Trader,APPCPL,NVVNL,APPCPL,IEXL,NVVNL,NVVNL,PowerPulse,NVVNL,PowerPulse,PowerPulse,APPCPL,APPCPL,NVVNL,TPTCL,IVPL_Trader,NVVNL,BYPL,PowerPulse,ITCLH,PowerPulse,APPCPL,APPCPL,APPCPL,PowerPulse,IEXL,APPCPL,PowerPulse,APPCPL,BAWANA_GAS,PowerPulse,PowerPulse,PTC,PXIL,PowerPulse,IEXL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,GMRETL,BRPL,OIDLWM2_AEROCITY,IEXL,OIDLWM2_AEROCITY,GMRETL,OIDLWM3_AEROCITY,MANIKARAN,PowerPulse,APPCPL,PUNJAB,IEXL,DELHI,NDMC,APPCPL,
,,MSEB_State,GoHP_NJPC_STATE,UTTARPRADESH_STATE,GoHP_Chamera1_STATE,NA,NA,HIMACHAL_STATE,KERALA_State,NA,TAMILNADU_State,NA,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,MP_State,NA,NA,NA,NA,NA,MSEB_State,NA,MSEB_State,MSEB_State,NA,KERALA_State,NA,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,DELHI_UT,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,GOA_State,DELHI_UT,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,GOA_State,
,,AEML,GoHP_NJPC,PPGCL,GoHP_Chamera1,RKM_POWER,RKM_POWER,GBHHPL,KSEB,MBMP,PCBLTNLTD_UNIT2,SKS_Raigarh,ITCWIND,DADRT2,KSEB,SKS_Raigarh,SKS_Raigarh,APL_Raipur_TPP,APSEPL_FTG,JIPL,Kameng,JIPL,IND_BHARAT,JP_BINA,JP_BINA,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,MAHAN_ENERGEN,TRN_ENERGY,AEML,Kameng,TPC_MSEB,TPC_MSEB,JPNIGRIE_JNSTPP,KSEB,APL_Raipur_TPP,ITCWIND,APL_Raigarh_TPP,KSEB,SKS_Raigarh,RKM_POWER,APL_Raigarh_TPP,PCBLTNLTD_UNIT2,TRN_ENERGY,MAHAN_ENERGEN,RKM_POWER,BAWANA_GAS,APL_Raigarh_TPP,APL_Raipur_TPP,MEENAKSHI,MPSEB_Beneficiary,APL_Raipur_TPP,IND_BHARAT,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,JNEPL_BKN2,TS1PL_BKN,TESPL_BKN2,TPSL_BKN2,TCSPL_BKN2,JNEPL_BKN2,TESPL_BKN2,AEML,MAHAN_ENERGEN,GOA_Beneficiary,BAWANA_GAS,APCPDCL,CHANJUII,JPL2,GOA_Beneficiary,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,BRPL,BRPL,BRPL,NDMC,NDMC,DIAPL,BYPL,BRPL,MES_Delhi,BRPL,ITCLH,BRPL,BYPL,BRPL,NDMC,BRPL,TPDDL,NDMC,TPDDL,NDMC,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,NDMC,BYPL,TPDDL,BYPL,BYPL,TPDDL,BYPL,BRPL,ITCLH,TPDDL,BYPL,NDMC,NDMC,TPDDL,MES_Delhi,NDMC,TPDDL,NDMC,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,DTCP,BRPL,OIDLWM2_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,BLKMH,OIDLWM3_AEROCITY,BRPL,BRPL,BRPL,PUNJAB,BYPL,TPDDL,NDMC,BRPL,
,,West-North,North-North,North-North,North-North,West-North,West-North,North-North,South-West-North,West-North,South-West-North,West-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,East-North,North East-East-North,East-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-East-North,West-North,West-North,East-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,South-East-North,North-North,West-North,West-North,
1,00:00-00:15,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.91,96.11,44.21,48.06,8.74,81.69,0,0.99,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,32,134.79,81.69,49.02,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,32,0,18.21,43.68,19.22,2023.46

2,00:15-00:30,105.72,81.69,20.42,28.59,26.21,26.21,12.49,19.22,204.23,0,0,0.91,96.11,44.21,48.06,8.74,81.69,0,0.24,0,0,0,0,31.18,0,96.11,0,0,7.69,0,192.22,54.06,25.07,0,0,0,0,0,0,0,0,96.11,6.73,0,96.11,0,32,134.79,81.69,49.02,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,15.23,32,0,18.21,43.68,19.22,2020.65

