Block,Time,KHSTPP-I,KHSTPP-II,KISHANGANGA,RSTPSU1TO6,SIMHST2,SINGRAULI,TALA,DADRI_GF,DHAULIGNGA,KOTESHWR,RIHAND3,SALAL,SIMHST1,URI,ANTA_LF,ANTA_RF,CHAMERA1,CHAMERA2,FSTPP I & II,JHAJJAR,RAMPUR,SASAN,SINGRAULI_HYDRO,TEHRI,UNCHAHAR1,UNCHAHAR4,BRBCL,BSIUL,KKNPPU2,RIHAND1,RSTPSU7,TALST2,DADRI_RF,KGSU1AND2,KGSU3AND4,KOLDAM,RAPPC,VALLURNTECL,ANTA_GF,DADRI_CRF,DADRI_LF,DADRT2,NLCIIST1,NLCIIST2,NLCTS2EXP,PARBATI3,RAPPB,RIHAND2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,ANTA_CRF,AURY_GF,KUDGI,NAPP,NJPC,NLCEXP,NNTPP,SEWA2,TANDA2,URI2,AURY_LF,AURY_RF,CHAMERA3,DULHASTI,KKNP,MAPS,NTPL,UNCHAHAR2,AURY_CRF
1,00:00-00:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

2,00:15-00:30,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

3,00:30-00:45,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,20.84,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

4,00:45-01:00,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,20.84,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

5,01:00-01:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,20.84,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

6,01:15-01:30,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

7,01:30-01:45,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

8,01:45-02:00,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,20,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

9,02:00-02:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

10,02:15-02:30,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

11,02:30-02:45,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.62,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

12,02:45-03:00,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

13,03:00-03:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,7.81,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

14,03:15-03:30,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,7.81,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

15,03:30-03:45,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,7.81,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

16,03:45-04:00,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,7.81,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

17,04:00-04:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,7.81,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

18,04:15-04:30,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,44.84,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,7.81,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

19,04:30-04:45,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,0,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

20,04:45-05:00,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,15.56,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

21,05:00-05:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,15.56,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

22,05:15-05:30,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,31.13,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

23,05:30-05:45,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,31.13,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,0,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

24,05:45-06:00,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,31.13,10.28,0,15,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,0,0,118.76,2.05,0,26.4,0,0,0,44,23.39,0,0,0,0,4.31,0,53.75,0,0,0,0,0,42.39,0

25,06:00-06:15,33.69,148.3,0,0,0,125.96,0,0,0,8.87,124.33,1.4,0,1.11,0,45.04,0,0,20.8,654.3,0,418.77,0,31.13,10.28,0,17.58,0,0,92,0,0,69.05,0,0,0,53.93,0,0,0,23.56,683.14,0,0,0,3.82,0,118.76,0,0,26.4,0,0,0,44,46.78,0,0,0,0,4.31,0,53.75,0,16.48,0,0,0,42.39,0

