Block,Time,BRBCL,NTPL,SINGRAULI,UNCHAHAR1,URI,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,JHAJJAR,KISHANGANGA,NLCEXP,PARBATI2,RAMPUR,RIHAND1,TEHRI,DADRT2,DULHASTI,NLCIIST1,RIHAND3,SALAL,SINGRAULI_HYDRO,UNCHAHAR3,ANTA_GF,AURY_CRF,AURY_GF,DADRI_CRF,DADRI_RF,KGSU3AND4,KKNPPU2,NLCIIST2,RAPPC,RAPPD,RIHAND2,RSTPSU1TO6,SASAN,SIMHST1,TANDA2,KHSTPP-I,KKNP,NJPC,NNTPP,DADRI_LF,FSTPP I & II,KGSU1AND2,KOTESHWR,MAPS,PARBATI3,SEWA2,TEHRIPSP,URI2,ANTA_CRF,ANTA_LF,AURY_RF,DADRI_GF,KOLDAM,RAPPB,RSTPSU7,SIMHST2,TALA,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,ANTA_RF,KHSTPP-II,KUDGI,NAPP,NLCTS2EXP,UNCHAHAR4,VALLURNTECL,AURY_LF
1,00:00-00:15,24.99,0,111.8,21.65,52.36,13.04,42.15,47.12,33.94,42.46,667.25,7.05,0,0,5.7,98.32,61.99,549.38,55.38,0,130.84,72.05,0.7,27.69,0,0,0,0,79.04,0,0,0,65.59,23.39,125.27,0,337.5,0,2.72,44.62,0,175.79,0,0,18.76,0,20.29,0,35.68,12.22,83.18,38.97,0,0,80.26,0,8.62,0,0,0,22.79,0,13.06,0,45,51.96,98.87,0,24.48,0,3.22,0,0

2,00:15-00:30,24.99,0,111.8,21.65,52.36,13.04,42.15,47.12,33.94,42.46,667.25,7.05,0,0,5.7,98.32,61.99,549.38,55.38,0,130.84,72.05,0.7,27.69,0,0,0,0,79.04,0,0,0,65.59,23.39,125.27,0,337.5,0,2.72,44.62,0,175.79,0,0,18.76,0,20.29,0,35.68,12.22,83.18,38.97,0,0,80.26,0,8.62,0,0,0,22.79,0,13.06,0,45,51.96,98.87,0,24.48,0,3.22,0,0

3,00:30-00:45,24.99,0,111.8,21.65,52.36,13.04,42.15,47.12,33.94,42.46,667.25,7.05,0,0,5.7,98.32,61.99,549.38,55.38,0,130.84,72.05,0.7,27.69,0,0,0,0,79.04,0,0,0,65.59,23.39,125.27,0,337.5,0,2.72,44.62,0,175.79,0,0,18.76,0,20.29,0,37.17,12.22,83.18,38.97,0,0,80.26,0,8.62,0,0,0,22.93,0,13.06,0,45,51.96,98.87,0,24.48,0,3.22,0,0

4,00:45-01:00,24.99,0,111.8,21.65,47.47,13.04,42.15,47.12,33.94,42.46,667.25,7.05,0,0,5.7,98.32,61.99,549.38,55.38,0,130.84,72.05,0.7,27.69,0,0,0,0,79.04,0,0,0,65.59,23.39,125.27,0,337.5,0,2.72,44.62,0,175.79,0,0,18.76,0,20.29,0,37.17,12.22,83.18,38.97,0,0,80.26,0,8.62,0,0,0,22.93,0,13.06,0,45,51.96,98.87,0,24.48,0,3.22,0,0

5,01:00-01:15,24.99,0,111.8,21.65,47.47,13.04,42.15,47.12,33.94,42.46,667.25,7.05,0,0,5.7,98.32,61.99,549.38,55.38,0,130.84,72.05,0.7,27.69,0,0,0,0,79.04,0,0,0,65.59,23.39,125.27,0,337.5,0,2.72,44.62,0,175.79,0,0,18.76,0,20.29,0,37.17,12.22,83.18,38.97,0,0,80.26,0,8.62,0,0,0,22.93,0,13.06,0,45,51.96,98.87,0,24.48,0,3.22,0,0

