Time,Block,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/26921,NR/2024/21243/A/26654,NR/2024/21159/A/26689,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21023/A/26662,NR/2024/21113/A/26920,NR/2024/21099/A/26624,NR/2024/21510/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/2024/21312/A/26469,NR/2024/20930/A/26842,NR/2024/21148/A/26682,NR/2024/21087/A/26658,NR/2024/20877/A/26932,NR/2024/21160/A/26684,NR/2024/21490/C,NR/2024/21515/C,NR/2024/21339/A/26618,NR/2024/21511/C,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21146/A/26683,NR/2024/21152/A/26651,NR/2024/21141/A/26623,NR/2024/21108/A/26889,NR/2024/21489/C,NR/2024/21492/C,NR/30092023/26122029/SH-06,NR/2024/21227/A/26891,NR/2024/21076/A/26948,NR/2024/21104/A/26890,NR/2024/21103/A/26892,NR/2024/21486/C,NR/2024/21062/A/26874,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21516/C,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21158/A/26685,NR/2024/21186/A/26931,NR/2024/20573/A/26859,NR/2024/21183/A/26944,NR/2024/20711/A/26969,NR/2024/21488/C,NR/2024/20966/A/26652,NR/2024/21150/A/26681,NR/2024/19779/A/26765,NR/2024/21199/A/26661,NR/2024/20574/A/26861,NR/2024/21494/C,NR/2024/21075/A/26947,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21144/A/26700,NR/2024/21156/A/26679,NR/2024/21142/A/26622,NR/2024/21238/A/26946,NR/2024/20688/A/26659,NR/2024/21514/C,NR/2024/21153/A/26680,NR/2024/21096/A/26895,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/13072024/13072024/IEX-240712-01506_GNA,NR/01072024/31072024/R2,NR/2024/21173/A/26657,NR/2024/21072/A/26922,NR/2024/21210/A/26620,Total
,,TPDDL,NVVNL,BRPL,MHIL,NDMC,INSTINCT,NVVNL,TPTCL,HPXL,INSTINCT,BAWANA_GAS,DIAPL,AEL,BAL224,GMRETL,NVVNL,BMDRC,NVVNL,IEXL,TPTCL,IEXL,AEL,MEJA,BAL184,IEXL,TPTCL,APPCPL,NVVNL,DIAPL,PUNJAB,APPCPL,MANIKARAN,APPCPL,APPCPL,TPDDL,PTC,TPTCL,TPTCL,IEXL,APPCPL,MSSH,NVVNL,PTC,MANIKARAN,TPDDL,NVVNL,IEXL,BAL234,ITCLH,INSTINCT,PTC,PXIL,MANIKARAN,DELHI,NDMC,DTCP,UHL,TPTCL,MANIKARAN,GMRETL,IEXL,JHPL-DL,APPCPL,INSTINCT,IEXL,PTC,GMRETL,NVVNL,TPTCL,Total

,,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,MEGHALAYA,NA,DELHI,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,NA,KARNATAKA,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,MANIPUR,NA,HIMACHAL PRADESH,DELHI,NAGALAND,MAHARASHTRA,TAMIL NADU,UTTARAKHAND,NA,NA,NA,NA,KARNATAKA,ARUNACHAL PRADESH,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,MP,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,GOA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,RAJASTHAN,NA,HIMACHAL PRADESH,KERALA,MAHARASHTRA,NA,NA,ODISHA,NA,NA,
,,CHANJUII,RKM_POWER,DADRT2,SHPPBPL,JITPL,JPL,JPL-2,ACBIL,Meghalaya_Ben,JPL,BAWANA_GAS,GBHHPL,APL_Raigarh TPP,SHPPBPL,GBHHPL,JPNIGRIE_JNSTPP,SHPPBPL,SORANG_HEP,SORANG_HEP,JITPL,JSWEL,APL_Raigarh TPP,MEJA,SHPPBPL,NHCPL_HP,TPC MSEB,Manipur_Ben,KAMENG,GBHHPL,BAWANA_GAS,Nagaland_Ben,AEML,TANGEDCO,UTTARAKHAND,JHAJJAR,SEILP2,MPL,JITPL,FORTUNE5PROJKAR,Arunachal_Ben,SHPPBPL,JP BINA,HP,BLAPOWER_MP,JPL-2,SOLAPUR_SOLAR,A_A_Energy_MH_Bio,SHPPBPL,ITCWIND,JPL_DHULE,HP,SKS Raigarh,GOA_Beneficiary,MSEB_Beneficiary,SKS Raigarh,SHPPBPL,SHPPBPL,HP-GOVT,MMS STEEL TN,RUVNL,DBPL,SHPPBPL,KSEB,JPL_DHULE,SKS Raigarh,SEILP2,GMRKEL (STU),RKM_POWER,SIMHAPURI,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,NDMC,BRPL,MHIL,NDMC,BRPL,NDMC,BRPL,BRPL,BRPL,HARYANA,DIAPL,BRPL,BAL224,BRPL,TPDDL,BMDRC,TPDDL,BRPL,BRPL,BRPL,BRPL,DELHI,BAL184,MES (Delhi),BYPL,BRPL,TPDDL,DIAPL,PUNJAB,BYPL,BYPL,BYPL,BYPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,BRPL,MSSH,TPDDL,BRPL,BRPL,TPDDL,MES (Delhi),MES (Delhi),BAL234,ITCLH,BRPL,BYPL,BRPL,BRPL,TPDDL,NDMC,DTCP,UHL,BRPL,BRPL,BYPL,TPDDL,JHPL-DL,BYPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,
,,North-North,West-North,North-North,North-North,East-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,North-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,East-North,South-East-West-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,North East-East-North,North-North,North-North,North East-East-North,West-North,South-West-North,North-North,North-North,South-East-North,East-North,East-North,South-East-West-North,North East-East-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,North-North,West-North,North-North,South-West-North,West-North,West-North,South-West-North,East-North,West-North,South-West-North,
1,00:00-00:15,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,38.630000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.630000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2683.36

2,00:15-00:30,12.690000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,68.390000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,39.110000,32.750000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.630000,0.000000,18.060000,81.880000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,48.160000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2683.84
