Block,Time,BSIUL,URI2,NJPC,NAPP,KISHANGANGA,JHAJJAR,URI,RAMPUR,DULHASTI,RAPPC,ANTA_RF,RIHAND3,SALAL,UNCHAHAR3,AURY_RF,RIHAND2,DHAULIGNGA,DADRI_CRF,SINGRAULI_HYDRO,DADRI_GF,UNCHAHAR1,AURY_CRF,DADRT2,CHAMERA2,TEHRI,KOLDAM,ANTA_CRF,TANDA2,RAPPB,CHAMERA3,ANTA_LF,DADRI_RF,DADRI_LF,AURY_GF,CHAMERA1,RIHAND1,FSTPP I & II,KSTPS I&II,LARA-I,BRBCL,GANDHAR-RLNG,KAWAS-NAPM,VSTPS III,KAWAS-zLIQ,TAPS-II,GANDHAR-APM,GANDHAR-NAPM,VSTPS II,SEWA2,ANTA_GF,KHSTPP-II,TALA,KAWAS-RLNG,KHARGONE-I,SIPAT I,KAWAS-ComGas,PARBATI3,KHSTPP-I,GADARWARA-I,VSTPS IV,SINGRAULI,RSTPSU7,NLCTS2EXP,NLCIIST1,TANAKPUR,KGSU3AND4,KGSU1AND2,SIMHST2,KUDGI,UNCHAHAR4,UNCHAHAR2,TALST2,NLCIIST2,VALLURNTECL,GANDHAR-ComGas,AURY_LF,KSTPS7,SOLAPUR,MOUDA,SIPAT II,VSTPS I,SASAN,KAPS,KAWAS-APM,VSTPS V,NLCEXP,MAPS,NNTPP,KOTESHWR,MOUDA_II,RSTPSU1TO6,NTPL,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.939827,34.344245,19.724074,21.606281,2.457837,424.789535,48.920227,0.381217,34.499425,56.844293,0.000000,121.876716,51.490312,25.970568,11.655930,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,3.074752,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,14.407223,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,16.056009,31.562559,2.068157,2.585197,132.203292,1.87,0.85,0.81,5.676342,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,16.786203,3.382812,5.11,3.64,1.55,0,0,0,0,0

2,00:15-00:30,18.939827,34.344245,19.724074,21.606281,2.457837,424.789535,48.920227,0.381217,34.499425,56.844293,0.000000,121.876716,51.490312,25.970568,11.655930,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,3.074752,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,13.542265,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,3.345001,31.575047,2.068157,2.585197,132.203292,1.87,0.85,0.81,5.676342,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,16.786203,3.382812,5.11,3.64,1.55,0,0,0,0,0

3,00:30-00:45,18.939827,34.344245,19.724074,21.606281,2.457837,424.789535,48.920227,0.381217,34.499425,56.844293,0.000000,121.876716,51.490312,25.970568,11.655930,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,2.049835,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,11.595343,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,0.000000,31.575047,2.068157,2.585197,132.203292,1.87,0.85,0.81,5.676342,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,16.786203,3.382812,5.11,3.64,1.55,0,0,0,0,0

4,00:45-01:00,18.939827,34.344245,19.724074,21.606281,2.457837,424.789535,51.047194,0.381217,34.499425,56.844293,0.000000,121.876716,51.490312,25.970568,11.655930,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,1.024917,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,11.842240,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,0.000000,31.575047,2.068157,2.585197,132.203292,1.87,0.85,0.81,5.676342,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,16.786203,3.382812,5.11,3.64,1.55,0,0,0,0,0

5,01:00-01:15,18.939827,33.781225,0.000000,21.606281,2.457837,424.789535,51.047194,0.000000,51.927025,56.844293,0.000000,121.876716,51.490312,25.970568,0.000000,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,0.000000,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,12.282498,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,0.000000,31.575047,2.068157,2.585197,132.203292,1.87,0.85,0.81,0.000000,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,16.786203,3.382812,5.11,3.64,1.55,0,0,0,0,0

6,01:15-01:30,18.939827,33.781225,0.000000,21.606281,2.457837,424.789535,48.920227,0.000000,51.927025,56.844293,0.000000,121.876716,51.490312,25.970568,0.000000,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,0.000000,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,11.200021,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,0.000000,31.575047,2.068157,2.585197,132.203292,1.87,0.85,0.81,0.000000,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,16.786203,3.382812,5.11,3.64,1.55,0,0,0,0,0

7,01:30-01:45,18.939827,33.781225,0.000000,21.606281,2.457837,424.789535,48.920227,0.000000,51.927025,56.844293,0.000000,121.876716,51.490312,25.970568,0.000000,116.260677,0.000000,0.000000,1.035891,0.000000,21.375627,0.000000,662.961748,42.033750,28.381610,0.000000,0.000000,2.350548,0.000000,30.545986,0.000000,0.000000,0.000000,0.000000,40.601245,90.858439,16.867383,2.637288,4.101852,10.540505,0.000000,0.000000,1.887764,0.000000,2.690880,0.000000,0.000000,1.871655,16.548590,0.000000,142.101802,0.000000,0.000000,3.412459,5.118688,0.000000,0.000000,31.575047,2.068157,2.585197,132.203292,1.87,0.85,0.81,0.000000,2.10,1.92,1.78,5.99,1.375213,41.947839,2.92,0.40,2.29,0.000000,0.000000,1.292598,3.412458,1.866975,0.900795,2.307512,336.167618,0.799115,0.000000,1.278811,1.71,0.23,0.21,8.393101,3.382812,5.11,3.64,1.55,0,0,0,0,0

