Time,Block,NR/2023/11640/A,NR/2023/11961/F,NR/2023/12725/C,ER/2023/7743/C,NR/2023/12731/C,NR/2023/10223/A,NR/2023/10344/A,NR/2023/11330/A,NR/2023/11862/F,NR/2023/11476/A,NR/2023/12717/D,NR/2023/12747/C,NR/2023/12749/C,NR/2023/12679/D,NR/2023/11642/A,NR/2023/11963/F,NR/2023/11342/A,NR/2023/12735/C,NR/2023/11284/A,NR/2023/10487/A,NR/2023/11955/F,NR/2023/12728/C,NR/2023/10611/A,NR/2023/10173/A,NR/2023/11643/A,NR/2023/11956/F,NR/2023/11960/F,NR/2023/10613/A,NR/2023/11959/F,NR/2023/12716/D,NR/2023/12742/C,NR/2023/11941/F,NR/2023/11947/F,NR/2023/12722/D,NR/2023/10236/A,NR/2023/12718/D,NR/2023/11958/F,NR/2023/12755/C,NR/2023/10434/A,NR/2023/10944/A,NR/2023/11957/F,NR/2023/11962/F,NR/2023/12756/C,NR/2023/11952/F,NR/2023/10229/A,NR/2023/12721/D,Total
,,MANIKARAN,SHPPBPL,TPDDL,HPXL,HPXL,TPTCL,BYPL,APPCPL,APPCPL,IEXL,NVVNL,HPXL,HPXL,IEXL,MANIKARAN,SHPPBPL,IEXL,GBHHPL,STATKRAFT,TPTCL,SHPPBPL,IEXL,APPCPL,STATKRAFT,MANIKARAN,SHPPBPL,SHPPBPL,APPCPL,SHPPBPL,NVVNL,IEXL,NVVNL,HPXL,SJVNL,NVVNL,TS1PL_BKN,SHPPBPL,PXIL,NVVNL,APPCPL,SHPPBPL,SHPPBPL,PXIL,KEIPL,NVVNL,TS1PL_BKN,Total

,,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,NA,MEGHALAYA,HIMACHAL PRADESH,MANIPUR,NA,NA,NA,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,NA,NA,NA,MAHARASHTRA,WEST BENGAL,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,
,,TANGEDCO,SHPPBPL,CHANJUII,BYPL,Teesta_III,JPL,Meghalaya_Ben,HP,Manipur_Ben,JSPL_DCPP,SOLAPUR_SOLAR,APNRL,BALCO,SAPU1234,HP,SHPPBPL,NAVABHARAT,GBHHPL,HP,APNRL,SHPPBPL,ADHPL,Arunachal_Ben,TANGEDCO,HP,SHPPBPL,SHPPBPL,Nagaland_Ben,SHPPBPL,KAMENG,SIMHAPURI,SKS Raigarh,B_S_ISPAT_MH,IPCL_WB,ILFS,TS1PL_BKN,SHPPBPL,RKM_POWER,SEIL,HP,SHPPBPL,SHPPBPL,RKM_POWER,Meghalaya_Ben,JPNIGRIE_JNSTPP,TS1PL_BKN,
,,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,JHPL-DL,TPDDL,VLSEZ,BRPL,BRPL,BYPL,BRPL,STT,BRPL,MES (Delhi),BRPL,BRPL,MES (Delhi),BRPL,UHL,BRPL,DIAPL,BYPL,TPDDL,BAL184,BRPL,BYPL,BYPL,BRPL,BAL224,MAX-HPTL,BYPL,BMDRC,TPDDL,BYPL,NDMC,NDMC,NDMC,BRPL,BRPL,AISHER,BYPL,TPDDL,BYPL,BAL234,MHIL,BRPL,BYPL,BRPL,BYPL,
,,South-West-North,North-North,North-North,North-East,East-North,West-North,North East-East-North,North-North,North East-East-North,West-North,West-North,East-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,East-North,North-North,North-North,North East-East-North,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,North East-East-North,South-West-North,West-North,West-North,East-North,South-West-North,North-North,North-North,West-North,South-West-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,
1,00:00-00:15,23.150000,1.020000,13.660000,0.000000,269.740000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,62.840000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1399.65

2,00:15-00:30,23.150000,1.020000,13.660000,0.000000,230.100000,21.510000,12.250000,64.970000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,62.840000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1360.01
