Block,Time,KHSTPP-II,TALA,KHSTPP-I,SASAN,FSTPP I & II,BRBCL,DADRI_GF,UNCHAHAR4,URI,JHAJJAR,NAPP,DADRT2,UNCHAHAR2,DADRI_RF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RAMPUR,KOLDAM,RIHAND3,SINGRAULI,NJPC,TEHRI,PARBATI3,DADRI_LF,ANTA_LF,AURY_LF,TANAKPUR,AURY_GF,DHAULIGNGA,RAPPC,KISHANGANGA,ANTA_GF,CHAMERA3,AURY_RF,BSIUL,CHAMERA2,AURY_CRF,SALAL,KOTESHWR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR3,DULHASTI,SEWA2,ANTA_RF,URI2,CHAMERA1,TANDA2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,78.595608,0.000000,24.867388,403.945542,11.092900,15.098528,0.000000,0.000000,30.882634,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,110.498210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

10,02:15-02:30,78.595608,0.000000,24.867388,403.945542,11.092900,18.526725,0.000000,0.000000,30.882634,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,110.498210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

11,02:30-02:45,78.595608,0.000000,24.867388,403.945542,11.092900,16.698669,0.000000,0.000000,30.882634,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,110.498210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

12,02:45-03:00,78.595608,0.000000,24.867388,403.945542,11.092900,18.934551,0.000000,0.000000,30.882634,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,110.498210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

13,03:00-03:15,78.595608,0.000000,24.867388,403.945542,11.092900,19.170533,0.000000,0.000000,40.466899,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,20.761279,0.000000,0.000000,0.000000,0,0,0,0,0

14,03:15-03:30,78.595608,0.000000,24.867388,403.945542,11.092900,17.076644,0.000000,0.000000,40.466899,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,20.761279,0.000000,0.000000,0.000000,0,0,0,0,0

15,03:30-03:45,78.595608,0.000000,24.867388,403.945542,11.092900,16.730839,0.000000,0.000000,30.882634,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,20.761279,0.000000,0.000000,0.000000,0,0,0,0,0

16,03:45-04:00,78.595608,0.000000,24.867388,403.945542,11.092900,18.378479,0.000000,0.000000,30.882634,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,20.761279,0.000000,0.000000,0.000000,0,0,0,0,0

17,04:00-04:15,78.595608,0.000000,24.867388,403.945542,11.092900,16.015430,0.000000,0.000000,30.882634,231.021700,42.134886,361.792522,22.494472,0.000000,0.000000,91.605458,61.286440,0.000000,0.000000,0.000000,43.051063,110.459626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.241730,8.084313,6.414590,0.775018,14.005992,1.856373,0.000000,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

