Block,Time,L_NR_2023_10,L_NR_2019_05,L_NR_2020_05,L_NR_2021_14,SH-06,L_NR_2020_07,L_NR_2021_12,LT-36,L_NR_2019_11,L_NR_2012_04,L_NR_2021_17,SH-07,L_NR_2023_04,L_NR_2022_09,L_NR_2020_02,LT-31,L_NR_2023_07,LT-59,L_NR_2022_10,L_NR_2019_06,L_NR_2021_16,L_NR_2021_13,LT-35,L_NR_2012_02,L_NR_2019_19,L_NR_2018_61,L_NR_2012_07,L_NR_2012_01,LT-05,L_NR_2022_08,L_NR_2019_07,L_NR_2020_06,L_NR_2021_15
1,00:00-00:15,0,0,24.23,0,30.950000,8.06,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,25.83,7.070000,0.000000,0,8.410000,25.83,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,9.02,0,8.08,0

2,00:15-00:30,0,0,23.41,0,30.950000,7.81,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,24.61,7.070000,0.000000,0,8.410000,24.61,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.85,0,7.8,0

3,00:30-00:45,0,0,22.39,0,30.950000,7.47,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,24.48,7.070000,0.000000,0,8.410000,24.48,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.7,0,7.46,0

4,00:45-01:00,0,0,22.5,0,30.950000,7.5,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,24.16,7.070000,0.000000,0,8.410000,24.16,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.45,0,7.5,0

5,01:00-01:15,0,0,22.5,0,30.950000,7.5,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,23.92,7.070000,0.000000,0,8.410000,23.92,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.29,0,7.5,0

6,01:15-01:30,0,0,22.5,0,30.950000,7.5,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,23.21,7.070000,0.000000,0,8.410000,23.21,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.25,0,7.5,0

7,01:30-01:45,0,0,22.5,0,30.950000,7.5,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,23.2,7.070000,0.000000,0,8.410000,23.2,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.16,0,7.5,0

8,01:45-02:00,0,0,22.5,0,30.950000,7.5,0,0.000000,7.920000,272.050000,0,30.950000,31.720000,22.55,7.070000,0.000000,0,8.410000,22.55,0,0,0,0.000000,223.450000,0,7.4,74.170000,101.320000,58.050000,8.04,0,7.5,0

9,02:00-02:15,0,0,29.81,0,30.950000,9.94,0,0.000000,7.840000,272.050000,0,30.950000,31.720000,22.25,6.970000,0.000000,0,8.250000,22.25,0,0,0,0.000000,223.450000,0,7.4,56.100000,101.320000,58.050000,9.53,0,9.94,0

10,02:15-02:30,0,0,29.32,0,30.950000,9.77,0,0.000000,7.840000,272.050000,0,30.950000,31.720000,21.82,6.970000,0.000000,0,8.250000,21.82,0,0,0,0.000000,223.450000,0,7.4,56.100000,101.320000,58.050000,9.32,0,9.77,0

11,02:30-02:45,0,0,28.32,0,30.950000,9.43,0,0.000000,7.840000,272.050000,0,0.000000,31.720000,21.18,6.970000,0.000000,0,8.250000,21.18,0,0,0,0.000000,223.450000,0,7.4,56.100000,101.320000,56.150000,9.1,0,9.44,0

