Column1,Time,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/10/09/6619,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,NR/01102023/31052040/LT-31,GNA/NR/2024/10/09/7320,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/09/8664,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,0,14,0,6.66,14,0,0,6.8,0,7.34,0,0,0,0,3.64,87.5,263.38,0,115.99,8.76,0,0,3.9,3.86,134.46,37.47,12.49,0,58.21,6.63,291.03,37.47,37.47,12.49,31.29,31.5,0,0,0,7.33,22,0

2,00:15-00:30,0,14,0,6.66,14,0,0,6.8,0,7.34,0,0,0,0,3.64,87.5,263.38,0,115.99,8.76,0,0,3.9,3.86,134.46,37.47,12.49,0,58.21,6.63,291.03,37.47,37.47,12.49,31.29,31.5,0,0,0,7.33,22,0

3,00:30-00:45,0,14,0,6.66,14,0,0,6.8,0,7.34,0,0,0,0,3.64,87.5,263.38,0,115.99,10.13,0,0,3.9,3.86,134.46,37.47,12.49,0,58.21,6.63,291.03,37.47,37.47,12.49,31.29,10.13,0,0,0,7.33,22,0

4,00:45-01:00,0,14,0,6.66,14,0,0,6.8,0,7.34,0,0,0,0,3.64,87.5,263.38,0,115.99,10.13,0,0,3.9,3.86,134.46,37.47,12.49,0,58.21,6.63,291.03,37.47,37.47,12.49,31.29,10.13,0,0,0,7.33,22,0

5,01:00-01:15,0,14,0,6.66,14,0,0,6.8,0,7.34,0,0,0,0,3.64,87.5,263.38,0,115.99,10.13,0,0,3.9,3.71,134.46,37.47,12.49,0,0,6.63,291.03,37.47,37.47,12.49,31.29,10.13,0,0,0,7.33,22,0

6,01:15-01:30,0,14,0,6.66,14,0,0,6.8,0,7.34,0,0,0,0,3.64,87.5,263.38,0,115.99,10.13,0,0,3.9,3.71,134.46,37.47,12.49,0,0,6.63,291.03,37.47,37.47,12.49,31.29,10.13,0,0,0,7.33,22,0

