Time,Block,NR/2024/19143/A/18014,NR/2024/19172/A/18487,NR/2024/19483/A/18406,NR/2024/20138/C,NR/2024/18986/A/17974,NR/2024/19043/A/17991,NR/2024/19764/A/18067,NR/2024/19484/A/18405,NR/2024/20134/C,NR/2024/19656/A/18072,NR/2024/19337/A/18070,NR/2024/20122/C,NR/2024/18976/A/17938,NR/2024/20103/C,NR/2024/20136/C,NR/2024/18919/A/18413,NR/2024/18935/A/17949,NR/2024/18855/A/18061,NR/2024/19290/A/18486,NR/2024/19726/A/18007,NR/2024/19245/A/18069,NR/2024/20112/C,NR/2024/20135/C,NR/2024/19739/A/18074,NR/2024/18936/A/17948,NR/2024/19469/A/18203,NR/2024/19485/A/18404,NR/2024/19787/A/17977,NR/2024/18978/A/17935,NR/2024/18977/A/17937,NR/2024/19121/A/18056,NR/2024/19727/A/18008,NR/2024/20104/C,NR/2024/19075/A/18019,NR/2024/18934/A/17950,NR/2024/19030/A/17997,NR/2024/20105/C,NR/2024/19115/A/18018,NR/2024/19024/A/18068,NR/2024/20156/C,NR/2024/18996/A/18446,Total
,,IEXL,TPDDL,NVVNL,PXIL,ITCLH,IEXL,BRPL,NVVNL,IEXL,DIAPL,DIAPL,HPXL,PXIL,NVVNL,IEXL,APPCPL,PXIL,GMRETL,TPDDL,IEXL,DIAPL,IEXL,PXIL,DIAPL,PXIL,DIAPL,NVVNL,IEXL,PXIL,PXIL,GMRETL,IEXL,NVVNL,IEXL,PXIL,IEXL,NVVNL,IEXL,DIAPL,IEXL,PTC,Total

,,DELHI,NA,NA,KARNATAKA,ANDHRA PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,ODISHA,NA,NA,NAGALAND,TAMIL NADU,RAJASTHAN,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,TELANGANA,TAMIL NADU,NA,RAJASTHAN,NA,NA,ODISHA,TAMIL NADU,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,WEST BENGAL,MAHARASHTRA,
,,EDWPCL12,JHAJJAR,SKS Raigarh,PCKL,ITCWIND,MBMP,DADRT2,RKM_POWER,ACBIL,GBHHPL,GBHHPL,PCKL,FACORPOWER,SOLAPUR_SOLAR,CPTTNPL,Nagaland_Ben,SAKTHISUGARS_ELMTN,RUVNL,JHAJJAR,HP-GOVT,GBHHPL,HP,KSEB,GBHHPL,SAKTHISUGARSLTD,GBHHPL,RKM_POWER,NAVABHARATVL,BIRLACARBONTN,MEENAKSHI,RUVNL,SEIL,KAMENG,VSL,SAKTHISUGRAR_TN,JHABUA_IPP,SORANG_HEP,SWPL,GBHHPL,CESC,JPL_DHULE,
,,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,UPPCL,TPDDL,NDMC,BRPL,ITCLH,BRPL,BRPL,NDMC,BRPL,DIAPL,DIAPL,BRPL,BRPL,MES (Delhi),BYPL,BYPL,BRPL,BYPL,TPDDL,TPDDL,DIAPL,BRPL,BRPL,DIAPL,BRPL,DIAPL,NDMC,BRPL,BRPL,BRPL,BYPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,TPDDL,BRPL,DIAPL,BYPL,BRPL,
,,North-North,North-North,West-North,South-West-North,South-West-North,West-East-North,North-North,West-North,West-North,North-North,North-North,South-East-North,East-West-North,West-North,West-North,North East-East-North,South-West-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,South-East-West-North,South-West-North,South-West-North,North-North,South-East-West-North,North East-East-North,East-North,South-West-North,West-East-North,North-North,West-East-North,North-North,East-West-North,West-North,
1,00:00-00:15,2.000000,115.970000,12.450000,193.280000,0.530000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,26.48,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,193.280000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1587.17

2,00:15-00:30,2.000000,115.970000,12.450000,193.280000,0.530000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,26.96,9.660000,0.000000,66.870000,67.650000,144.960000,0.000000,96.640000,193.280000,0.970000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,0.000000,1587.65
