Block,Time,CHAMERA2,URI2,UNCHAHAR2,UNCHAHAR1,SINGRAULI_HYDRO,TEHRI,SINGRAULI,UNCHAHAR4,TANDA2,UNCHAHAR3,DADRT2,JHAJJAR,KOTESHWR,SEWA2,DULHASTI,RIHAND3,CHAMERA3,PARBATI3,KOLDAM,DHAULIGNGA,RAMPUR,RIHAND2,NJPC,RIHAND1,KISHANGANGA,NAPP,RAPPC,CHAMERA1,BSIUL,TANAKPUR,URI,RAPPB,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,43.635161,0,43.545976,19.743286,1.034778,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,661.459879,8.712864,17.179061,53.905351,126.520838,31.709733,0,4.25586,9.915135,1.575901,60.347343,81.902104,79.966942,2.551476,44.150584,59.009958,42.14808,0,1.7934,49.128,0,84.826,0,72.0861,0,0,0,26.824567,18.660568,0,0,92.427499,0,0,3.03,2.38,1.04,0.44,0.84,0.14,2,1.1,1.62,0,0.92,6.05,1.94,0,7.94,0.25,0.82,1.32,15.386,20.73185,0,147.515625,33.385,2.298312,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,348.975,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.001598,0,0.019017

2,00:15-00:30,43.635161,0,43.545976,19.743286,1.034778,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,661.459879,8.712864,17.179061,53.905351,126.520838,31.709733,0,4.25586,9.915135,1.187225,60.347343,61.426578,79.966942,2.551476,44.150584,59.009958,42.14808,0,1.7934,49.128,0,84.826,0,72.0861,0,0,0,26.824567,18.660568,0,0,92.427499,0,0,3.03,2.38,1.04,0.44,0.84,0.14,2,1.1,1.62,0,0.92,6.05,1.94,0,7.94,0.25,0.82,1.32,15.386,20.73185,0,147.515625,33.385,2.298312,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,348.975,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.001598,0,0.019017

3,00:30-00:45,43.635161,0,43.545976,19.743286,1.034778,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,661.459879,8.712864,17.179061,53.905351,126.520838,31.709733,0,3.191895,9.915135,1.187225,60.347343,61.426578,79.966942,2.551476,44.150584,59.009958,28.09872,0,1.7934,49.128,0,84.826,0,72.0861,0,0,0,26.824567,18.660568,0,0,92.427499,0,0,3.03,2.38,1.04,0.44,0.84,0.14,2,1.1,1.62,0,0.92,6.05,1.94,0,7.94,0.25,0.82,1.32,15.386,20.73185,0,147.515625,33.385,2.298312,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,348.975,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.001598,0,0.019017

4,00:45-01:00,43.635161,0,43.545976,19.743286,1.034778,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,661.459879,8.712864,17.179061,53.905351,126.520838,31.709733,0,2.12793,9.915135,1.187225,60.347343,61.426578,79.966942,2.551476,44.150584,59.009958,14.04936,0,1.7934,49.128,0,84.826,0,72.0861,0,0,0,26.824567,18.660568,0,0,92.427499,0,0,3.03,2.38,1.04,0.44,0.84,0.14,2,1.1,1.62,0,0.92,6.05,1.94,0,7.94,0.25,0.82,1.32,15.386,20.73185,0,147.515625,33.385,2.298312,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,348.975,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.001598,0,0.019017

5,01:00-01:15,43.635161,0,43.545976,19.743286,1.034778,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,661.459879,8.712864,17.179061,53.905351,126.520838,31.709733,0,1.063965,9.915135,1.187225,60.347343,61.426578,79.966942,2.551476,44.150584,59.009958,0,0,1.7934,49.128,0,84.826,0,72.0861,0,0,0,26.824567,18.660568,0,0,92.427499,0,0,3.03,2.38,1.04,0.44,0.84,0.14,2,1.1,1.62,0,0.92,6.05,1.94,0,7.94,0.25,0.82,1.32,14.287,20.73185,0,147.515625,31.8675,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,348.975,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.001598,0,0.019017

