Column1,Time,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/6566,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/16/2535,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19
1,00:00-00:15,8.23,8.8,4.47,30.28,32,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,32,17.5,262.73,163.3,100.81,96.77,21.77,0,29.67,0,0,0,0,0,87.29,0,9.84,29.5,0,0,0,0,10.34,9.83,0,29.67,0,0,7.4,0

2,00:15-00:30,8.23,8.8,4.47,30.28,32,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,32,17.5,262.73,163.3,100.81,96.77,21.77,0,29.33,0,0,0,0,0,87.29,0,10.16,30.5,0,0,0,0,10.34,10.17,0,29.33,0,0,7.4,0

3,00:30-00:45,8.23,8.8,4.47,30.28,18.55,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,32,17.5,262.73,163.3,100.81,96.77,21.77,0,29.33,0,0,0,0,0,87.29,0,10.5,31.5,0,0,0,0,10.34,10.5,0,29.33,0,0,7.2,0

4,00:45-01:00,8.23,8.8,4.47,30.28,18.55,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,32,17.5,262.73,163.3,100.81,96.77,21.77,0,29,0,0,0,0,0,87.29,0,10.84,32.5,0,0,0,0,10,10.83,0,29,0,0,7.2,0

5,01:00-01:15,8.13,8.8,4.28,30.28,24.08,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,24.08,17.5,262.73,163.3,100.81,96.77,21.77,0,29,0,0,0,0,0,87.29,0,10.84,32.5,0,0,0,0,10,10.83,0,29,0,0,7,0

6,01:15-01:30,8.13,8.8,4.28,30.28,24.08,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,24.08,17.5,227.97,163.3,100.81,96.77,21.77,0,28.67,0,0,0,0,0,76.73,0,10.84,32.5,0,0,0,0,10,10.83,0,28.67,0,0,7,0

7,01:30-01:45,8.13,8.8,4.28,29.27,24.08,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,24.08,17.5,227.97,163.3,53.22,96.77,21.77,0,28.33,0,0,0,0,0,76.73,0,10.66,32,0,0,0,0,9.66,10.67,0,28.33,0,0,7,0

8,01:45-02:00,8.13,8.8,4.28,29.27,24.08,7.96,2.42,32.9,5.24,5.68,24.19,70.54,273.62,24.08,17.5,171.9,163.3,53.22,96.77,21.77,0,28,0,0,0,0,0,76.73,0,10.66,32,0,0,0,0,9.66,10.67,0,28,0,0,7,0

9,02:00-02:15,8.04,8.8,4.28,29.27,24.08,7.96,2.42,32.9,5.08,5.68,24.19,70.54,273.62,24.08,17.5,171.9,163.3,53.22,96.77,21.77,0,28,0,0,0,0,0,57.77,0,11,33,0,0,0,0,9.66,11,0,28,0,0,7,0

10,02:15-02:30,8.04,8.8,4.28,29.27,24.08,7.96,2.42,32.9,5.08,5.68,24.19,70.54,273.62,24.08,17.5,171.9,163.3,53.22,96.77,21.77,0,27.67,0,0,0,0,0,57.77,0,11.16,33.5,0,0,0,0,9.66,11.17,0,27.67,0,0,7,0

11,02:30-02:45,8.04,8.8,4.28,28.27,24.08,7.96,2.42,32.9,5.08,5.68,24.19,70.54,273.62,24.08,17.5,171.9,163.3,53.22,96.77,21.77,0,22,0,0,0,0,0,57.77,0,8.84,26.5,0,0,0,0,9.66,8.83,0,22,0,0,7,0

