Block,Time,L_NR_2021_14,L_NR_2020_06,L_NR_2022_10,L_NR_2019_05,L_NR_2019_06,L_NR_2018_61,L_NR_2020_07,L_NR_2022_09,L_NR_2021_13,L_NR_2020_05,L_NR_2022_08,L_NR_2019_07,L_NR_2021_16,L_NR_2021_15,L_NR_2021_17,L_NR_2021_12,LT-59,L_NR_2019_11,SH-07,L_NR_2012_07,SH-06,L_NR_2019_19,L_NR_2012_02,LT-36,L_NR_2023_04,LT-31,LT_MEJA_Delhi,LT-05,LT-35,L_NR_2012_01,L_NR_2020_02,L_NR_2012_04
1,00:00-00:15,0,23.26,40.17,0,0,41.83,23.25,40.17,0,69.77,20.2,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,0.000000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.930000,131.410000

2,00:15-00:30,0,23.5,38.95,0,0,41.74,23.49,38.95,0,70.5,19.94,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,0.000000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.930000,131.410000

3,00:30-00:45,0,23.79,39.02,0,0,41.66,23.79,39.02,0,71.37,19.73,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,0.000000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.930000,131.410000

4,00:45-01:00,0,23.92,40.34,0,0,41.77,23.92,40.34,0,71.76,19.61,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,0.000000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.930000,131.410000

5,01:00-01:15,0,24.09,41.61,0,0,41.84,24.08,41.61,0,72.26,19.68,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,0.000000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.840000,131.410000

6,01:15-01:30,0,24.25,43.08,0,0,41.78,24.26,43.08,0,72.76,20,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,0.000000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.840000,131.410000

7,01:30-01:45,0,20.94,44.94,0,0,41.8,20.93,44.94,0,62.81,20.45,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,8.710000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.840000,131.410000

8,01:45-02:00,0,20.94,27.12,0,0,30.14,20.93,27.12,0,62.82,22.66,0,0,0,0,0,7.080000,7.930000,30.970000,87.290000,8.710000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.840000,131.410000

9,02:00-02:15,0,21.38,27.17,0,0,28.2,21.37,27.17,0,64.13,22.84,0,0,0,0,0,7.010000,7.690000,30.970000,87.290000,8.710000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

10,02:15-02:30,0,21.81,27.17,0,0,25.49,21.82,27.17,0,65.44,22.65,0,0,0,0,0,7.010000,7.690000,30.970000,87.290000,8.710000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

11,02:30-02:45,0,22.04,27.63,0,0,14.13,22.05,27.63,0,66.13,22.32,0,0,0,0,0,7.010000,7.690000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

12,02:45-03:00,0,22.18,50.21,0,0,13.81,22.18,50.21,0,66.54,22.02,0,0,0,0,0,7.010000,7.690000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

13,03:00-03:15,0,22.4,49.04,0,0,13.11,22.41,49.04,0,67.21,21.71,0,0,0,0,0,6.850000,7.690000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

14,03:15-03:30,0,22.59,46.47,0,0,12.26,22.58,46.47,0,67.76,21.41,0,0,0,0,0,6.850000,7.690000,20.530000,87.290000,20.530000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

15,03:30-03:45,0,16.33,44.99,0,0,11.43,16.31,44.99,0,48.98,17.79,0,0,0,0,0,6.850000,7.690000,20.530000,87.290000,20.530000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

16,03:45-04:00,0,16.57,44.04,0,0,10.57,16.55,44.04,0,49.7,17.97,0,0,0,0,0,6.850000,7.690000,20.530000,87.290000,20.530000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.650000,131.410000

17,04:00-04:15,0,16.79,45.69,0,0,30.12,16.77,45.69,0,50.36,17.99,0,0,0,0,0,6.850000,7.540000,20.530000,87.290000,20.530000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.560000,131.410000

18,04:15-04:30,0,17.01,45.51,0,0,29.72,17,45.51,0,51.02,18.94,0,0,0,0,0,6.850000,7.540000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.560000,131.410000

19,04:30-04:45,0,17.24,46.82,0,0,29.32,17.23,46.82,0,51.72,19.7,0,0,0,0,0,6.850000,7.540000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.560000,131.410000

20,04:45-05:00,0,17.45,48.6,0,0,29.12,17.44,48.6,0,52.35,15.07,0,0,0,0,0,6.850000,7.540000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.560000,131.410000

21,05:00-05:15,0,15.06,37.75,0,0,28.52,15.05,37.75,0,45.18,15.24,0,0,0,0,0,6.620000,7.320000,20.530000,87.290000,20.530000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.370000,131.410000

22,05:15-05:30,0,15.25,38.01,0,0,28.12,15.25,38.01,0,45.76,15.43,0,0,0,0,0,6.620000,7.320000,20.840000,87.290000,20.840000,0.000000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,8.370000,131.410000

23,05:30-05:45,0,15.44,38.8,0,0,27.52,15.43,38.8,0,46.32,15.61,0,0.35,0,0.18,0,6.620000,7.320000,21.770000,63.460000,21.770000,1.790000,261.640000,0.000000,0.000000,0.000000,2.320000,116.160000,0.000000,101.370000,8.370000,131.410000

24,05:45-06:00,0,15.91,39.62,0,0,18.11,15.91,39.62,0.08,47.73,16.06,0,1.69,0.37,0.84,0.43,6.620000,7.320000,21.770000,63.460000,21.770000,6.270000,230.670000,0.000000,0.000000,0.000000,2.320000,116.160000,0.000000,101.370000,8.370000,131.410000

25,06:00-06:15,0.03,16.5,40.7,14.54,11.59,18.27,16.5,40.7,0.72,49.51,16.63,1.41,4.18,0.81,2.09,3.59,6.460000,7.320000,21.770000,63.460000,21.770000,10.440000,201.640000,0.000000,0.000000,0.000000,2.320000,116.160000,0.000000,101.370000,8.190000,131.410000

26,06:15-06:30,0.03,17.16,41.98,23.88,20.34,18.4,17.14,41.98,1.62,51.47,17.26,3.9,6.93,2.04,3.46,8.1,6.460000,7.320000,21.770000,63.460000,21.770000,14.850000,201.640000,0.130000,0.000000,0.130000,2.320000,116.160000,0.130000,101.370000,8.190000,131.410000

27,06:30-06:45,1.27,15.44,36.96,33,30.71,18.41,15.43,36.96,2.59,46.32,10.13,11.29,10.56,3.36,5.28,12.98,6.460000,7.320000,21.770000,63.460000,21.770000,19.770000,201.640000,1.000000,0.000000,0.980000,2.320000,116.160000,0.980000,101.370000,8.190000,131.410000

28,06:45-07:00,3.7,15.91,37.01,31.99,31.99,18.56,15.91,37.01,4.02,47.73,10.24,17.47,15.28,5.09,7.64,20.1,6.460000,7.320000,21.770000,63.460000,21.770000,25.980000,201.640000,1.610000,0.000000,1.570000,2.320000,116.160000,1.570000,101.370000,8.190000,131.410000

29,07:00-07:15,7.27,16.5,37.03,27.62,27.63,18.67,16.5,37.03,6.13,49.51,10.4,26.2,20.69,7.27,10.34,30.64,6.460000,7.320000,21.770000,32.900000,21.770000,33.040000,201.640000,2.430000,0.000000,2.380000,2.320000,70.600000,2.380000,53.220000,8.000000,131.410000

30,07:15-07:30,12.1,17.16,37.19,27.15,27.15,18.67,17.14,37.19,8.71,51.47,10.58,27.15,26.41,9.9,13.2,43.57,6.460000,7.320000,21.770000,32.900000,21.770000,40.240000,201.640000,3.440000,0.000000,3.370000,2.320000,70.600000,3.370000,53.220000,8.000000,131.410000

31,07:30-07:45,18.1,17.91,48.84,27.15,27.15,18.89,17.9,48.84,11.98,53.72,10.8,27.15,32.82,12.67,16.41,59.9,6.460000,7.320000,21.770000,32.900000,21.770000,47.060000,201.640000,4.510000,0.000000,4.400000,2.320000,70.600000,4.400000,53.220000,8.000000,131.410000

32,07:45:08:00,24.93,18.75,49.54,27.15,27.15,19.18,18.75,49.54,15.46,56.25,10.92,27.15,42,15.59,21,77.29,6.460000,7.320000,21.770000,32.900000,21.770000,53.510000,166.140000,5.630000,0.000000,5.490000,2.320000,70.600000,5.490000,53.220000,8.000000,131.410000

33,08:00-08:15,30.84,19.51,50.51,32.34,32.33,19.54,19.5,50.51,19.01,58.53,11.13,32.33,48,19.5,24,95.07,6.460000,7.320000,21.770000,32.900000,21.770000,59.750000,166.140000,6.740000,0.000000,6.580000,2.320000,70.600000,6.580000,53.220000,7.820000,131.410000

34,08:15-08:30,38.66,20.47,51.51,32.34,32.33,19.53,20.45,51.51,22.52,61.4,11.79,32.33,52,22.79,26,112.61,6.460000,7.320000,21.770000,32.900000,21.770000,65.830000,166.140000,7.850000,0.000000,7.660000,2.320000,70.600000,7.660000,53.220000,7.820000,131.410000

35,08:30-08:45,44.4,21.42,52.51,32.34,32.33,19.37,21.42,52.51,26.02,64.26,12.13,32.33,58.67,25.85,29.33,130.1,6.460000,7.320000,21.770000,32.900000,21.770000,72.200000,166.140000,8.960000,0.000000,8.730000,2.320000,70.600000,8.730000,53.220000,7.820000,131.410000

36,08:45:09:00,51.27,22.33,53.47,32.34,32.33,31.82,22.31,53.47,29.51,66.98,12.79,32.33,66,28.72,33,147.53,6.460000,7.320000,21.770000,32.900000,21.770000,78.840000,166.140000,9.970000,0.000000,9.730000,2.320000,70.600000,9.730000,53.220000,7.820000,131.410000

37,09:00:09:15,56.81,23.31,43.44,32.34,32.33,32.13,23.31,43.44,32.68,69.93,13.79,32.33,70.67,31.33,35.33,163.39,6.310000,7.320000,21.770000,32.900000,21.770000,85.220000,166.140000,10.660000,0.000000,10.400000,2.320000,70.600000,10.400000,53.220000,7.820000,132.770000

38,09:15-09:30,62.7,24.56,44.11,32.34,32.33,32.23,24.54,44.11,35.76,73.67,23.58,32.33,75.34,33.63,37.66,178.82,6.310000,7.320000,21.770000,32.900000,21.770000,90.230000,166.140000,10.880000,0.000000,10.610000,2.320000,70.600000,10.610000,53.220000,7.820000,132.770000

39,09:30-09:45,67.92,25.29,45.22,32.34,32.33,33.41,25.28,45.22,38.43,75.87,23.5,32.33,80,34.59,40,192.18,6.310000,7.320000,21.770000,32.900000,21.770000,94.280000,166.140000,10.960000,0.000000,10.690000,2.320000,70.600000,10.690000,53.220000,8.650000,132.770000

40,09:45-10:00,72.48,35.33,45.44,32.34,32.33,34.58,26.05,45.44,41.04,105.98,23.44,32.33,85.34,36.6,42.66,205.21,6.310000,7.320000,21.770000,32.900000,21.770000,98.080000,166.140000,11.000000,0.000000,10.730000,2.320000,70.600000,10.730000,53.220000,8.650000,132.770000

41,10:00-10:15,76.85,35.54,45.88,32.34,32.33,35.93,26.99,45.88,43.34,106.63,24.53,32.33,92,38.36,46,216.72,6.310000,7.320000,21.770000,32.900000,21.770000,101.050000,166.140000,11.020000,0.000000,10.760000,2.320000,70.600000,10.760000,53.220000,8.470000,132.770000

42,10:15-10:30,80.97,35.88,46.39,32.34,32.33,36.93,27.32,46.39,45.67,107.63,25.72,32.33,91.34,39.81,45.66,228.35,6.310000,7.320000,21.770000,32.900000,21.770000,103.500000,201.640000,11.050000,0.000000,10.780000,2.320000,70.600000,10.780000,53.220000,8.470000,132.770000

43,10:30-10:45,83.79,36.71,46.31,32.34,32.33,37.8,28.2,46.31,47.26,110.13,26.59,32.33,90.67,41.08,45.33,236.3,6.310000,7.320000,21.770000,51.940000,21.770000,106.800000,201.640000,11.080000,0.000000,10.810000,2.320000,70.600000,10.810000,53.220000,8.470000,132.770000

44,10:45-11:00,85.15,37.54,46.87,32.34,32.33,38.75,28.47,46.87,47.26,112.61,27,32.33,90.67,42.18,45.33,236.3,6.310000,7.320000,21.770000,51.940000,21.770000,110.840000,201.640000,11.090000,0.000000,10.820000,2.320000,116.160000,10.820000,53.220000,8.470000,132.770000

45,11:00-11:15,86.13,37.63,48.38,32.66,32.67,32.03,29.4,48.38,47.26,112.88,27.13,32.67,90,40.36,45,236.3,6.230000,7.160000,21.770000,51.940000,21.770000,114.210000,201.640000,11.100000,0.000000,10.830000,2.320000,116.160000,10.830000,101.370000,8.280000,132.770000

46,11:15-11:30,86.64,37.65,49.05,32.66,32.67,32.26,29.48,49.05,47.26,112.94,27.5,32.67,90,41.06,45,236.3,6.230000,7.160000,21.770000,51.940000,21.770000,115.680000,201.640000,11.110000,0.000000,10.840000,2.320000,116.160000,10.840000,101.370000,8.280000,132.770000

47,11:30-11:45,86.7,37.52,55.51,32.66,32.67,33.26,29.64,55.51,47.26,112.55,27.91,32.67,89.34,41.72,44.66,236.3,6.230000,7.160000,21.770000,51.940000,21.770000,116.960000,201.640000,11.110000,0.000000,10.840000,2.320000,116.160000,10.840000,101.370000,8.280000,132.770000

48,11:45-12:00,86.7,37.56,61.37,32.66,32.67,33.8,29.76,61.37,47.26,112.67,28.39,32.67,89.34,42.49,44.66,236.3,6.230000,7.160000,21.770000,51.940000,21.770000,118.260000,201.640000,11.120000,0.000000,10.850000,2.320000,116.160000,10.850000,101.370000,8.280000,132.770000

49,12:00-12:15,86.7,37.6,44.85,32.66,32.67,34.06,29.93,44.85,47.26,112.81,28.47,32.67,88.67,43.19,44.33,236.3,6.230000,7.160000,21.770000,51.940000,21.770000,118.680000,230.670000,11.120000,0.000000,10.850000,2.320000,116.160000,10.850000,101.370000,8.190000,132.770000

50,12:15-12:30,91.27,29.91,45.71,32.66,32.67,34.26,29.91,45.71,47.26,89.73,28.1,32.67,88.67,43.67,44.33,236.3,6.230000,7.160000,21.770000,51.940000,21.770000,118.860000,261.640000,11.120000,0.000000,10.850000,2.320000,116.160000,10.850000,101.370000,8.190000,132.770000

51,12:30-12:45,91.27,29.99,46.68,32.66,32.67,26.07,29.97,46.68,47.31,89.96,27.89,32.67,89.34,42.17,44.66,236.53,6.230000,7.160000,21.770000,51.130000,21.770000,118.550000,261.640000,11.080000,0.000000,10.810000,3.840000,116.160000,10.810000,72.340000,8.190000,132.770000

52,12:45-13:00,91.23,29.87,47.17,32.66,32.67,26.3,29.88,47.17,47.31,89.62,28.15,32.67,90,42.12,45,236.53,6.230000,7.160000,21.770000,51.590000,21.770000,121.570000,261.640000,11.110000,0.000000,10.840000,3.840000,116.160000,10.840000,53.220000,8.190000,132.770000

53,13:00-13:15,91.13,30.15,47.52,32.66,32.67,26.87,30.15,47.52,47.31,90.45,28.64,32.67,90.67,42.02,45.33,236.53,6.230000,7.390000,21.770000,51.590000,21.770000,122.760000,261.640000,11.100000,0.000000,10.830000,3.840000,116.160000,10.830000,53.220000,7.820000,132.770000

54,13:15-13:30,91.1,29.51,62.41,32.66,32.67,27.58,29.5,62.41,47.31,88.52,28.59,32.67,90.67,41.92,45.33,236.53,6.230000,7.390000,21.770000,51.590000,21.770000,122.730000,261.640000,11.070000,0.000000,10.800000,3.840000,116.160000,10.800000,53.220000,7.820000,132.770000

55,13:30-13:45,91.13,29.65,63.25,32.66,32.67,28.7,29.66,63.25,47.31,88.96,28.65,32.67,91.34,41.8,45.66,236.53,6.230000,7.390000,21.770000,51.940000,21.770000,126.430000,261.640000,11.050000,0.000000,10.780000,3.840000,116.160000,10.780000,53.220000,7.820000,132.770000

56,13:45-14:00,90.9,35.46,64.67,32.66,32.67,29.77,35.46,64.67,47.31,106.39,28.64,32.67,92.67,41.54,46.33,236.53,6.230000,7.390000,21.770000,51.940000,21.770000,122.000000,261.640000,11.040000,0.000000,10.770000,3.840000,116.160000,10.770000,53.220000,7.820000,132.770000

57,14:00-14:15,90,35.46,65.17,32.66,32.67,43.05,35.46,65.17,47.31,106.39,35.84,32.67,94,39.26,47,236.53,6.770000,7.390000,30.970000,63.460000,20.930000,116.360000,261.640000,11.010000,0.000000,10.740000,3.840000,116.160000,10.740000,85.160000,8.000000,132.770000

58,14:15-14:30,89.43,35.39,65.25,32.66,32.67,43.16,35.38,65.25,47.31,106.16,36.19,32.67,92,38.28,46,236.53,6.770000,7.390000,30.970000,63.460000,18.860000,110.630000,261.640000,11.000000,0.000000,10.730000,3.840000,116.160000,10.730000,101.370000,8.000000,132.770000

59,14:30-14:45,88.37,35.25,65.27,32.66,32.67,43.18,35.24,65.27,47.31,105.74,35.88,32.67,90.67,37.22,45.33,236.53,6.770000,7.390000,30.970000,87.290000,18.860000,104.820000,261.640000,10.960000,0.000000,10.700000,3.840000,116.160000,10.700000,101.370000,8.000000,132.770000

60,14:45-15:00,86.57,35.06,66.22,32.66,32.67,43.05,35.06,66.22,45.94,105.18,35.59,32.67,88.67,36.25,44.33,229.71,6.770000,7.390000,30.970000,87.290000,18.860000,98.480000,261.640000,10.880000,0.000000,10.610000,3.840000,116.160000,10.610000,101.370000,8.000000,132.770000

61,15:00-15:15,82.47,35.7,70.44,32.66,32.67,43.21,35.71,70.44,43.77,107.11,35.77,32.67,84,35.07,42,218.86,6.770000,7.620000,30.970000,87.290000,19.520000,92.800000,261.640000,10.760000,0.000000,10.510000,3.840000,116.160000,10.510000,101.370000,8.190000,132.770000

62,15:15-15:30,77.73,35.99,70.77,32.66,32.67,43.2,35.97,70.77,41.43,107.96,35.26,32.67,78.67,33.63,39.33,207.13,6.770000,7.620000,30.970000,87.290000,8.710000,87.520000,261.640000,10.600000,0.000000,10.340000,3.840000,116.160000,10.340000,101.370000,8.190000,132.770000

63,15:30-15:45,73.33,36.74,71.11,32.66,32.67,43.05,36.74,71.11,38.81,110.22,35.1,32.67,73.34,30.72,36.66,194.06,7.010000,7.620000,19.050000,87.290000,19.050000,81.190000,261.640000,10.220000,0.000000,9.970000,3.840000,116.160000,9.970000,101.370000,8.840000,132.770000

64,15:45-16:00,67.67,36.87,77.95,32.66,32.67,43.07,36.86,77.95,36.19,110.6,35.01,32.67,68.67,29.18,34.33,180.94,7.010000,7.620000,19.050000,87.290000,19.050000,74.390000,261.640000,9.750000,0.000000,9.520000,3.840000,116.160000,9.520000,101.370000,8.840000,132.770000

65,16:00-16:15,61.93,36.98,78.43,32.66,32.67,43.05,36.99,78.43,33.15,110.95,35.28,32.67,60.67,27.52,30.33,165.76,7.010000,8.310000,19.050000,87.290000,19.050000,66.880000,261.640000,8.780000,0.000000,8.570000,3.840000,116.160000,8.570000,101.370000,9.120000,132.770000

66,16:15-16:30,56.17,37.07,79.1,32.66,32.67,43.03,37.08,79.1,30.26,111.22,35.6,32.67,52.67,25.53,26.33,151.31,7.010000,8.310000,20.840000,87.290000,20.840000,58.520000,261.640000,8.080000,0.000000,7.880000,3.840000,116.160000,7.880000,101.370000,9.120000,132.770000

67,16:30-16:45,49.83,37.19,77.93,32.66,32.67,43.07,37.19,77.93,27.11,111.57,35.72,32.67,48.67,23.17,24.33,135.56,7.010000,8.310000,20.840000,87.290000,20.840000,49.190000,261.640000,7.200000,0.000000,7.020000,3.840000,116.160000,7.020000,101.370000,9.120000,132.770000

68,16:45-17:00,43.03,37.24,78.71,32.66,32.67,43.08,37.24,78.71,23.69,111.72,35.77,32.67,41.34,20.64,20.66,118.44,7.010000,8.310000,20.840000,87.290000,20.840000,39.730000,261.640000,6.450000,0.000000,6.290000,3.840000,116.160000,6.290000,101.370000,9.120000,132.770000

69,17:00-17:15,35.87,36.87,77.66,33,33,43.03,36.86,77.66,20.24,110.6,35.98,24.26,37.34,17.23,18.66,101.22,7.700000,8.310000,20.840000,87.290000,20.840000,31.500000,261.640000,5.490000,0.000000,5.360000,3.840000,116.160000,5.360000,101.370000,9.490000,132.770000

70,17:15-17:30,29.07,36.48,78.71,33,33,43.13,36.49,78.71,16.83,109.45,35.85,14.55,30,14.43,15,84.17,7.700000,8.310000,21.770000,87.290000,21.770000,24.740000,261.640000,4.750000,0.000000,4.640000,3.840000,116.160000,4.640000,101.370000,9.490000,132.770000

71,17:30-17:45,22.13,36.73,77.89,21.74,22.48,43.18,36.72,77.89,13.32,110.19,35.43,8.48,22.67,11.67,11.33,66.59,7.780000,8.310000,21.770000,87.290000,21.770000,18.990000,261.640000,3.890000,0.000000,3.790000,3.840000,116.160000,3.790000,101.370000,9.490000,132.770000

72,17:45-18:00,15.6,36.2,79.01,12.44,10.48,43.03,36.21,79.01,10.26,108.61,35.26,2.62,14.67,9.07,7.33,51.33,7.780000,8.310000,21.770000,87.290000,21.770000,13.860000,261.640000,3.050000,0.000000,2.970000,3.840000,116.160000,2.970000,101.370000,9.490000,132.770000

73,18:00-18:15,10,36.14,78.36,0,0,43.06,36.13,78.36,7.58,108.42,34.41,0,10,6.67,5,37.91,7.780000,8.310000,21.770000,87.290000,21.770000,9.610000,261.640000,2.420000,0.000000,2.360000,3.840000,116.160000,2.360000,101.370000,9.770000,132.770000

74,18:15-18:30,5.77,36.06,79.31,0,0,43.1,36.06,79.31,5.16,108.19,39.47,0,4.67,4.68,2.33,25.78,7.780000,8.310000,21.560000,87.290000,21.560000,5.910000,261.640000,1.670000,0.000000,1.630000,3.840000,116.160000,1.630000,101.370000,9.770000,132.770000

75,18:30-18:45,2.87,35.96,78.37,0,0,43.05,35.96,78.37,3.53,107.88,39.49,0,2,3.51,1,17.64,8.420000,9.090000,21.560000,87.290000,21.560000,2.980000,261.640000,1.140000,0.000000,1.110000,3.840000,116.160000,1.110000,101.370000,10.240000,132.770000

76,18:45-19:00,0.9,35.9,79.57,0,0,43.07,35.89,79.57,2.23,107.69,39.39,0,1.33,2.49,0.67,11.13,8.420000,9.090000,21.560000,87.290000,21.560000,1.310000,261.640000,0.000000,0.000000,0.000000,3.840000,116.160000,0.000000,101.370000,10.240000,132.770000

