Time,Block,NR/2024/20350/A/20867,NR/2024/19683/A/21029,NR/2024/19475/A/21329,NR/2024/20592/C,NR/2024/20570/C,NR/2024/20538/C,NR/2024/19432/A/21406,NR/2024/20130/A/21132,NR/2024/20050/A/21342,NR/2024/19791/A/21393,NR/2024/20211/A/21115,NR/2024/20602/C,NR/2024/19779/A/21092,NR/2024/20141/A/21119,NR/2024/20048/A/21343,NR/2024/20583/C,NR/2024/20090/A/21033,NR/2024/20033/A/21402,NR/2024/20584/C,NR/2024/19699/A/21404,NR/2024/20524/A/21359,NR/2024/19355/A/21485,NR/2024/20565/C,NR/2024/20578/C,NR/2024/20109/A/21484,NR/2024/20212/A/21116,NR/2024/20144/A/21117,NR/2024/20041/A/21344,NR/2024/20569/C,NR/2024/20564/C,NR/2024/20581/C,NR/2024/20142/A/21118,NR/2024/19918/A/21392,NR/2024/19966/A/21106,NR/2024/19919/A/21391,NR/2024/19757/A/21401,NR/2024/20031/A/21400,NR/2024/20034/A/21399,NR/2024/20559/C,NR/2024/19637/A/21107,NR/2024/19760/A/21064,NR/2024/20037/A/21063,NR/2024/19588/A/21128,NR/2024/20052/A/20866,NR/2024/20567/C,Total
,,DIAPL,IEXL,AEL,IEXL,NVVNL,TPDDL,NVVNL,DTCP,PTC,APPCPL,JHPL-DL,PXIL,ITCLH,BAL184,PTC,HPXL,IEXL,NVVNL,IEXL,NVVNL,HPXL,TPDDL,IEXL,PXIL,TPDDL,UHL,BAL234,PTC,NVVNL,IEXL,PXIL,BAL224,APPCPL,BRPL,APPCPL,NVVNL,NVVNL,NVVNL,PXIL,INSTINCT,TPTCL,TPTCL,GMRETL,DIAPL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,MAHARASHTRA,NA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,NA,KARNATAKA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,MAHARASHTRA,KERALA,TAMIL NADU,NA,NA,NA,NA,NA,MAHARASHTRA,RAJASTHAN,HIMACHAL PRADESH,NA,
,,GBHHPL,NHCPL_HP,APL_Raipur TPP,SINGOLI,SORANG_HEP,JHAJJAR,SEIL,SHPPBPL,HP,TANGEDCO,SHPPBPL,JSWEL MSEB,ITCWIND,SHPPBPL,HP,KSEB,A_A_Energy_MH_Bio,SKS Raigarh,HP-GOVT,JP BINA,GBHHPL,JPL-2,JSWEL,SKS Raigarh,JHAJJAR,SHPPBPL,SHPPBPL,JPL_DHULE,KAMENG,JSWEL MSEB,HP-GOVT,SHPPBPL,Nagaland_Ben,IEPLBELA2022,KSEB,TANGEDCO,RKM_POWER,RKM_POWER,IND_BHARAT,JPL-2,SIMHAPURI,JPL_DHULE,RUVNL,GBHHPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,MES (Delhi),BRPL,BRPL,TPDDL,TPDDL,TPDDL,DTCP,BRPL,BYPL,JHPL-DL,BRPL,ITCLH,BAL184,BYPL,BRPL,MES (Delhi),NDMC,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,TPDDL,UHL,BAL234,BRPL,TPDDL,BRPL,BRPL,BAL224,BYPL,BRPL,BYPL,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,TPDDL,BYPL,DIAPL,MES (Delhi),
,,North-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,West-North,South-West-North,North-North,North-North,South-East-North,West-North,West-North,North-North,West-North,North-North,West-North,South-East-West-North,West-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,North-North,North East-East-North,West-North,South-West-North,South-West-North,West-North,West-North,East-West-North,West-North,South-West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2112.19

2,00:15-00:30,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2112.19

3,00:30-00:45,0.000000,1.930000,192.980000,0.000000,26.050000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,0.000000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2112.19

