Time,Block,NR/2023/18074/A/2806,WR/2023/20914/A/2885,NR/2024/18285/A/2874,NR/2023/18183/A/2890,NR/2024/18295/C,WR/2023/20937/A/2889,NR/2023/18204/A/2773,Total
,,ITCLH,APPCPL,HPXL,MANIKARAN,NVVNL,MANIKARAN,IEXL,Total

,,ANDHRA PRADESH,DELHI,MP,DELHI,NA,DELHI,ANDHRA PRADESH,
,,ITCWIND,BRPL,MSPIL,BRPL,SOLAPUR_SOLAR,BRPL,SNJSUGARLTDAP,
,,DELHI,GOA,DELHI,HIMACHAL PRADESH,DELHI,GOA,DELHI,
,,ITCLH,GOA_Beneficiary,NDMC,HP,MES (Delhi),GOA_Beneficiary,MES (Delhi),
,,South-West-North,North-West,West-North,North-North,West-North,North-West,South-East-North,
1,00:00-00:15,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

2,00:15-00:30,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

3,00:30-00:45,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

4,00:45-01:00,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

5,01:00-01:15,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

6,01:15-01:30,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

7,01:30-01:45,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

8,01:45-02:00,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

9,02:00-02:15,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

10,02:15-02:30,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

11,02:30-02:45,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

12,02:45-03:00,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

13,03:00-03:15,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

14,03:15-03:30,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

15,03:30-03:45,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

16,03:45-04:00,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

17,04:00-04:15,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

18,04:15-04:30,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

19,04:30-04:45,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

20,04:45-05:00,0.380000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.74

21,05:00-05:15,0.430000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.79

22,05:15-05:30,0.430000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.79

23,05:30-05:45,0.430000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.79

24,05:45-06:00,0.430000,0.000000,9.600000,0.000000,0,0.000000,5.760000,15.79

25,06:00-06:15,0.380000,0.000000,9.600000,158.480000,0,0.000000,5.760000,174.22

