Block,Time,L_NR_2019_11,SH-06,LT-59,L_NR_2012_01,L_NR_2018_61,LT-36,LT-31,LT_MEJA_Delhi,L_NR_2012_07,L_NR_2020_02,SH-07,L_NR_2012_02,L_NR_2012_04,LT-05,L_NR_2019_19,LT-35,L_NR_2021_14,L_NR_2019_07,L_NR_2020_05,L_NR_2021_15,L_NR_2019_06,L_NR_2020_07,L_NR_2021_12,L_NR_2022_10,L_NR_2021_17,L_NR_2020_06,L_NR_2021_13,L_NR_2019_05,L_NR_2022_09,L_NR_2021_16,L_NR_2022_08
1,00:00-00:15,4.130000,30.810000,4.270000,100.860000,5.85,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,57.56,0,0,19.18,0,41.06,0,19.19,0,0,41.06,0,8.35

2,00:15-00:30,4.130000,30.810000,4.270000,100.860000,5.98,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,57,0,0,19,0,40.91,0,19,0,0,40.91,0,8.48

3,00:30-00:45,4.130000,30.810000,4.270000,100.860000,5.99,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,57.25,0,0,19.09,0,41.25,0,19.08,0,0,41.25,0,8.57

4,00:45-01:00,4.130000,30.810000,4.270000,100.860000,5.87,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,57.78,0,0,19.25,0,41.42,0,19.26,0,0,41.42,0,8.63

5,01:00-01:15,4.130000,30.810000,4.270000,100.860000,5.89,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,58.43,0,0,19.47,0,41.45,0,19.48,0,0,41.45,0,8.75

6,01:15-01:30,4.130000,30.810000,4.270000,100.860000,5.95,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,59.15,0,0,19.71,0,23.43,0,19.72,0,0,23.43,0,8.96

7,01:30-01:45,4.130000,30.810000,4.270000,100.860000,2.45,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,39.68,0,0,13.22,0,23.76,0,13.23,0,0,23.76,0,9.13

8,01:45-02:00,4.130000,30.810000,4.270000,100.860000,2.45,0.000000,0.000000,11.320000,75.990000,3.430000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,40.48,0,0,13.5,0,23.99,0,13.49,0,0,23.99,0,9.31

9,02:00-02:15,4.060000,30.810000,4.110000,100.860000,2.42,0.000000,0.000000,11.320000,75.990000,3.280000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,40.5,0,0,13.5,0,24.06,0,13.5,0,0,24.06,0,7.72

10,02:15-02:30,4.060000,30.810000,4.110000,100.860000,2.43,0.000000,0.000000,11.320000,75.990000,3.280000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,39.6,0,0,13.19,0,24.17,0,13.2,0,0,24.17,0,7.8

11,02:30-02:45,4.060000,30.810000,4.110000,100.860000,2.44,0.000000,0.000000,11.320000,75.990000,3.280000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,38.98,0,0,13,0,24.27,0,12.99,0,0,24.27,0,7.9

12,02:45-03:00,4.060000,30.810000,4.110000,100.860000,2.52,0.000000,0.000000,11.320000,75.990000,3.280000,30.810000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,38.58,0,0,12.85,0,24.32,0,12.86,0,0,24.32,0,8.02

13,03:00-03:15,4.060000,39.000000,4.110000,100.860000,2.48,0.000000,0.000000,11.320000,75.990000,3.280000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,38.04,0,0,12.68,0,24.35,0,12.68,0,0,24.35,0,8.01

14,03:15-03:30,4.060000,39.000000,4.110000,100.860000,2.54,0.000000,0.000000,11.320000,75.990000,3.280000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,38.49,0,0,12.82,0,24.4,0,12.83,0,0,24.4,0,11.51

15,03:30-03:45,4.060000,34.880000,4.110000,100.860000,2.58,0.000000,0.000000,11.320000,75.990000,3.280000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,80.16,0,0,26.71,0,36.46,0,26.72,0,0,36.46,0,11.23

16,03:45-04:00,4.060000,34.880000,4.110000,100.860000,2.46,0.000000,0.000000,11.320000,75.990000,3.280000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,79.86,0,0,26.61,0,36.6,0,26.62,0,0,36.6,0,10.75

17,04:00-04:15,3.990000,34.880000,3.880000,100.860000,2.53,0.000000,0.000000,11.320000,75.990000,3.150000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,79.16,0,0,26.38,0,36.09,0,26.39,0,0,36.09,0,10.56

18,04:15-04:30,3.990000,34.880000,3.880000,100.860000,2.52,0.000000,0.000000,11.320000,75.990000,3.150000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,78.34,0,0,26.12,0,35.81,0,26.11,0,0,35.81,0,18.66

19,04:30-04:45,3.990000,34.880000,3.880000,100.860000,2.43,0.000000,0.000000,11.320000,75.990000,3.150000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,78.13,0,0,26.05,0,43.94,0,26.04,0,0,43.94,0,18.42

20,04:45-05:00,3.990000,34.880000,3.880000,100.860000,2.5,0.000000,0.000000,11.320000,75.990000,3.150000,39.000000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,78.86,0,0,26.27,0,43.49,0,26.29,0,0,43.49,0,18.12

21,05:00-05:15,3.990000,36.390000,3.880000,100.860000,2.55,0.000000,0.000000,11.320000,75.990000,3.150000,36.390000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,79.2,0,0,26.41,0,43.61,0,26.4,0,0,43.61,0,17.75

22,05:15-05:30,3.990000,36.390000,3.880000,100.860000,2.54,0.000000,0.000000,11.320000,75.990000,3.150000,36.390000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,79.96,0,0,26.65,0,43.8,0,26.65,0,0,43.8,0,17.35

23,05:30-05:45,3.990000,36.390000,3.880000,100.860000,2.42,0.000000,0.000000,11.320000,75.990000,3.150000,36.390000,130.280000,270.820000,115.610000,0.000000,0.000000,0,0,77.82,0,0,25.93,0,42.36,0,25.94,0,0,42.36,0,16.69

24,05:45-06:00,3.990000,36.390000,3.880000,100.860000,2.52,0.000000,0.000000,11.320000,75.990000,3.150000,36.390000,130.280000,270.820000,115.610000,0.210000,0.000000,0,0,94.17,0,0,31.39,0,51.42,0,31.39,0,0,51.42,0,18.18

25,06:00-06:15,3.990000,37.740000,3.730000,100.860000,2.4,0.000000,0.000000,11.320000,75.990000,3.050000,37.740000,130.280000,270.820000,115.610000,3.510000,0.000000,0.03,0.77,90.6,0,5.48,30.2,0,50.16,0.12,30.2,0,0,50.16,0.24,17.81

26,06:15-06:30,3.990000,44.930000,3.730000,100.860000,2.59,0.000000,0.000000,11.320000,75.990000,3.050000,44.930000,130.280000,270.820000,115.610000,9.030000,0.000000,0.03,3.66,86.8,0.34,11.46,28.94,0.42,49.6,0.85,28.93,0.08,2.48,49.6,1.69,17.25

27,06:30-06:45,3.990000,44.930000,3.730000,100.860000,2.58,0.580000,0.560000,11.320000,75.990000,3.050000,44.930000,130.280000,270.820000,115.610000,15.110000,0.560000,1.32,8.88,84.83,1.05,20.56,28.26,4.39,48.54,2.28,28.28,0.88,8.89,48.54,4.57,16.63

