Column1,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2025/08/01/6475,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/4125,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/8128,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2952,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/09/3786,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1044
1,00:00-00:15,14.33,41.67,11.21,41.66,13.67,0,0,14.33,43.01,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,14.15,27.25,86.57,0,32,99.99,7.17,129.86,2.76

2,00:15-00:30,14.5,41.67,11,41.66,14,0,0,14.5,43.5,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,14.15,27.25,86.57,0,32,99.99,7.17,129.86,2.76

3,00:30-00:45,14.83,41.33,11,41.34,14.33,0,0,14.83,44.51,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,14.15,27.25,86.57,0,32,99.99,7.17,129.86,2.76

4,00:45-01:00,15.17,41,10.8,41,14.67,0,0,15.17,45.49,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,14.15,27.25,86.57,0,32,99.99,7.17,129.86,2.76

5,01:00-01:15,15,41,10.8,41,14.67,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,20.71,0,24,19.2,0,0,16.59,47.99,14.54,-0,95.98,14.54,12.62,10.71,3.99,10.46,115.17,47.99,24,15.21,269.94,0,14.15,27.25,86.57,26.93,26.93,99.99,0,129.86,2.76

