Block,Time Block,CHAMERA2,BRBCL,DHAULIGNGA,CHAMERA1,BSIUL,CHAMERA3,DADRT2,ANTA_GF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,DADRI_RF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_LF,DADRI_CRF,TANAKPUR,SALAL,SEWA2,SINGRAULI,TEHRIPSP,TALA,TEHRI,TelanganaSTPP,SASAN,TANDA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,TALST2,RSTPSU7,URI2,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,RAMPUR,RIHAND3,RAPPC,RIHAND2,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,PARBATI2,MAPS,NLCEXP,KOTESHWR,KUDGI,JHAJJAR,KHSTPP-II,KGSU1AND2,KHSTPP-I,KGSU3AND4,KKNP,KOLDAM,KKNPPU2,KISHANGANGA,FSTPP I & II,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,45.32,14.73,0,40.54,12.54,32.64,457.99,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,141.61,78,6.81,56.35,0,328.36,5.34,0.89,0,0,0,0,37.48,26.63,0,43.28,50.36,20.72,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,517.74,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

2,00:15-00:30,45.32,14.12,0,40.54,12.54,32.64,318.53,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,78,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,37.48,26.63,0,43.28,50.36,20.82,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,240.01,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

3,00:30-00:45,45.32,13.09,0,40.54,12.54,32.64,179.07,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,0,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,37.48,26.63,0,43.28,50.36,20.82,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,182.93,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

4,00:45-01:00,45.32,11.14,0,40.54,12.54,32.64,164.76,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,0,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,37.48,26.63,0,43.28,25.48,20.82,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,182.93,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

5,01:00-01:15,45.32,11.03,0,40.54,12.54,32.64,164.76,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,0,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,37.48,24.52,0,39.15,25.48,19.55,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,182.93,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

6,01:15-01:30,45.32,11.27,0,40.54,12.54,32.64,164.76,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,0,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,37.48,24.47,0,37.66,25.48,19.55,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,182.93,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

7,01:30-01:45,45.32,11.18,0,40.54,12.54,32.64,164.76,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,0,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,22.49,23.13,0,37.66,25.48,18.05,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,182.93,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

8,01:45-02:00,45.32,11.41,0,40.54,12.54,32.64,164.76,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,142.14,0,6.81,56.35,0,328.94,5.34,0.89,0,0,0,0,22.49,23.13,0,37.66,29.73,18.05,3.1,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,31.46,0,0,0,39.02,0,182.93,142.63,0,31.53,0,0,8.29,0,6.78,18.72,53.26,0,0,0,0,0

9,02:00-02:15,45.32,11.32,0,40.54,12.54,32.64,123.52,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,124.76,0,6.73,56.35,0,328.94,4.11,0.89,0,0,0,0,22.49,18.95,0,30.27,29.73,13.22,2.22,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,21.45,0,0,0,39.02,0,145.3,113.66,0,27.3,0,0,8.29,0,6.78,15.54,53.26,0,0,0,0,0

10,02:15-02:30,45.32,12.61,0,40.54,12.54,32.64,94.67,0,0,0,0,0,0,0,0,0,0,0,12.56,81.02,0,124.76,0,6.73,56.35,0,328.94,4.11,0.89,0,0,0,0,22.49,17.16,0,28.19,29.73,13.22,2.22,0,5.48,125.84,62.92,120.48,94.56,0,0,0,0,169.07,0,0,0,23.3,0,21.45,0,0,0,39.02,0,144.34,113.66,0,27.3,0,0,8.29,0,6.78,15.54,53.26,0,0,0,0,0

