Block,Time,KGSU3AND4,KOLDAM,NAPP,UNCHAHAR1,VALLURNTECL,AURY_GF,DADRI_CRF,BRBCL,FSTPP I & II,KHSTPP-I,NJPC,NTPL,RIHAND1,RSTPSU7,SASAN,TEHRIPSP,UNCHAHAR4,CHAMERA3,DHAULIGNGA,DULHASTI,JHAJJAR,KGSU1AND2,KKNP,PARBATI2,PARBATI3,RAMPUR,SIMHST2,TANDA2,ANTA_LF,DADRI_GF,BSIUL,NLCTS2EXP,RAPPC,RAPPD,SALAL,SEWA2,SINGRAULI_HYDRO,TEHRI,UNCHAHAR2,URI2,DADRI_LF,NNTPP,RIHAND3,SIMHST1,TALA,TelanganaSTPP,ANTA_GF,CHAMERA1,KKNPPU2,NLCIIST2,RIHAND2,TALST2,UNCHAHAR3,ANTA_CRF,AURY_CRF,AURY_LF,AURY_RF,KHSTPP-II,KISHANGANGA,KOTESHWR,MAPS,NLCIIST1,SINGRAULI,TANAKPUR,DADRI_RF,CHAMERA2,DADRT2,KUDGI,NLCEXP,RAPPB,RSTPSU1TO6,URI,ANTA_RF
1,00:00-00:15,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,52.04,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,148.3,6.97,45.08,0,0,113.75,11.91,102.77000000000001,47.12,689.39,0,0,0,0,17.67,51.53

2,00:15-00:30,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,52.04,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,148.3,6.97,45.08,0,0,113.75,11.91,102.77000000000001,47.12,689.39,0,0,0,0,17.67,51.53

3,00:30-00:45,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,52.04,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,52.36,51.53

4,00:45-01:00,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,52.04,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,52.36,51.53

5,01:00-01:15,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,33.52,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,17.67,51.53

6,01:15-01:30,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,33.52,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,17.67,52.34

7,01:30-01:45,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,17.67,52.34

8,01:45-02:00,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,303.75,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,13.04,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,17.67,52.34

9,02:00-02:15,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,26.49,52.34

10,02:15-02:30,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,81.34,18.34,0,82.36,44.52,37.41,0,0,130.84,0,23.99,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,26.49,52.34

11,02:30-02:45,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,81.34,18.34,0,82.36,44.52,33.52,0,0,130.84,0,24.28,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,17.67,52.47

12,02:45-03:00,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,81.34,18.34,0,82.36,44.52,33.52,0,0,130.84,0,24.28,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,17.67,52.47

13,03:00-03:15,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,79.6,18.34,0,82.36,44.52,37.41,0,0,130.84,0,24.44,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,3.85,102.77,47.12,689.39,0,0,0,0,22.08,52.43

14,03:15-03:30,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,79.6,18.34,0,82.36,44.52,37.41,0,0,130.84,0,24.44,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,3.85,102.77,47.12,689.39,0,0,0,0,22.08,52.43

15,03:30-03:45,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,37.41,0,0,130.84,0,24.44,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,3.85,102.77,47.12,689.39,0,0,0,0,24.29,52.43

16,03:45-04:00,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,225,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,37.41,0,0,130.84,0,24.44,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,24.29,52.55

17,04:00-04:15,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,153.56,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,33.52,0,0,130.84,0,18.93,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,22.08,52.55

18,04:15-04:30,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,153.56,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,33.52,0,0,130.84,0,18.93,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,11.91,102.77,47.12,689.39,0,0,0,0,22.08,52.55

19,04:30-04:45,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,153.56,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,33.52,0,0,130.84,0,18.76,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,13.11,102.77,47.12,689.39,0,0,0,0,17.67,52.55

20,04:45-05:00,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,153.56,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,33.52,0,0,130.84,0,18.7,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,13.11,102.77,47.12,689.39,0,0,0,0,17.67,52.55

21,05:00-05:15,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,115.2,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,33.52,0,0,130.84,0,18.49,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,13.11,102.77,47.12,689.39,0,0,0,0,22.08,52.04

22,05:15-05:30,0,8.63,24.11,21.65,0,0,0,24.99,20.15,45.53,175.8,0,48.09,0,115.2,192.57,3.23,22.61,42.46,38.32,667.27,0,0,25.69,48.33,5.68,0,5.25,0,0,19.56,0,65.6,39.04,78.44,18.34,0,82.36,44.52,33.52,0,0,130.84,0,18.35,0,0,42.15,0,0,125.27,0,27.38,0,0,0,79.23,98.87,6.97,45.08,0,0,113.75,13.11,102.77,47.12,689.39,0,0,0,0,22.08,52.04

