Time,Block,NR/2023/13704/A,NR/2023/14114/F,NR/2023/14113/F,NR/2023/14316/C,NR/2023/13983/F,NR/2023/11205/A,NR/2023/14120/F,NR/2023/14294/D,NR/2023/11315/A,NR/2023/11954/A,NR/2023/14136/F,NR/2023/14301/C,NR/2023/13283/A,NR/2023/13859/A,NR/2023/13573/A,NR/2023/14116/F,NR/2023/11458/A,NR/2023/14119/F,NR/2023/11892/A,NR/2023/11697/A,NR/2023/14121/F,NR/2023/11739/A,NR/2023/13983/F/II,NR/2023/11469/A,NR/2023/13858/A,NR/2023/14118/F,NR/2023/11470/A,NR/2023/11203/A,NR/2023/14284/D,NR/2023/13573/A/II,NR/2023/14115/F,NR/2023/13284/A,NR/2023/14307/C,NR/2023/12646/A,NR/2023/14117/F,NR/2023/11328/A,NR/2023/11204/A,NR/2023/11325/A,NR/2023/14285/D,NR/2023/11264/A,NR/2023/13283/A/II,NR/2023/13704/A/II,NR/2023/14187/F,NR/2023/14295/C,NR/2023/11654/A,ER/2023/8735/C,NR/2023/14286/D,NR/2023/14288/D,NR/2023/14289/D,Total
,,HPXL,SHPPBPL,SHPPBPL,IEXL,ITCLH,KEIPL,SHPPBPL,KEIPL,GMRETL,KEIPL,SJVNL,PXIL,APPCPL,MANIKARAN,NVVNL,SHPPBPL,STATKRAFT,SHPPBPL,TPTCL,APPCPL,SHPPBPL,NVVNL,ITCLH,NVVNL,MANIKARAN,SHPPBPL,NVVNL,KEIPL,NVVNL,NVVNL,SHPPBPL,APPCPL,TPDDL,MANIKARAN,SHPPBPL,APPCPL,KEIPL,APPCPL,NVVNL,TPTCL,APPCPL,HPXL,GBHHPL,KEIPL,TPTCL,HPXL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,ANDHRA PRADESH,KERALA,HIMACHAL PRADESH,UTTAR PRADESH,MEGHALAYA,MEGHALAYA,WEST BENGAL,DELHI,GOA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,UTTARAKHAND,KERALA,MEGHALAYA,NA,NA,GOA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,NA,DELHI,NA,NA,NA,
,,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,NSLSUGAR,ITCWIND,KSEB,SHPPBPL,LAPL-UP,Meghalaya_Ben,Meghalaya_Ben,IPCL_WB,BYPL,GOA_Beneficiary,HP,SKS Raigarh,SHPPBPL,TANGEDCO,SHPPBPL,TPC MSEB,HP,SHPPBPL,JP BINA,ITCWIND,JPNIGRIE_JNSTPP,HP,SHPPBPL,KAMENG,Meghalaya_Ben,SORANG_HEP,SKS Raigarh,SHPPBPL,HP,CHANJUII,TANGEDCO,SHPPBPL,UTTARAKHAND,KSEB,Meghalaya_Ben,KAMENG,KWHEP,GOA_Beneficiary,B_S_ISPAT_MH,GBHHPL,LMEL MSEB,JPL-2,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,
,,NDMC,BAL224,BAL184,MES (Delhi),ITCLH,BRPL,MHIL,BYPL,BYPL,BYPL,NDMC,ASIL_UP,BRPL,BRPL,NDMC,AISHER,BYPL,JHPL-DL,BYPL,BYPL,UHL,BRPL,ITCLH,BRPL,BRPL,MAX-HPTL,BRPL,BYPL,TPDDL,NDMC,BAL234,BRPL,TPDDL,BRPL,BMDRC,BYPL,BYPL,BYPL,TPDDL,BRPL,BRPL,NDMC,DIAPL,BYPL,BRPL,VSL,MES (Delhi),BYPL,BRPL,
,,West-North,North-North,North-North,South-West-North,South-West-North,South-East-North,North-North,North-North,North East-East-North,North East-East-North,East-North,North-North,West-North,North-North,West-East-North,North-North,South-West-North,North-North,West-North,North-North,North-North,West-North,South-East-North,West-North,North-North,North-North,North East-East-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,South-East-North,North East-East-North,North East-East-North,North-North,West-East-North,West-East-North,North-North,West-North,West-North,North-East,West-North,North-North,North-North,
1,00:00-00:15,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.870000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.31

2,00:15-00:30,6.510000,0.520000,0.380000,4.840000,0.000000,232.430000,0.610000,38.720000,22.260000,36.520000,0.000000,0.000000,23.250000,142.300000,1.130000,0.870000,98.740000,1.020000,66.700000,33.400000,0.610000,42.580000,0.870000,85.160000,77.440000,0.870000,21.300000,63.160000,45.500000,27.910000,0.950000,77.920000,18.710000,23.160000,0.930000,48.400000,83.250000,24.200000,147.860000,21.590000,0.950000,0.260000,9.680000,18.390000,258.460000,18.000000,0,0,0,1828.31
