Column1,Block,NR/2024/22898/A/36075,NR/2024/22899/A/36076,NR/2024/23021/C,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,NR/30092023/31122025/SH-07,NR/2024/22835/A/36309,NR/2024/23022/C,NR/2024/22860/A/36303,NR/2024/23020/C,NR/2024/22734/A/36271,NR/2024/22837/A/36291,NR/2024/22816/A/36014,NR/2024/22802/A/36299,NR/2024/22753/A/36292,NR/2024/23028/C,NR/2024/22754/A/36298,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22832/A/36296,NR/2024/22848/A/36308,NR/2024/22833/A/36294,NR/2024/22820/A/36047,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/2024/22888/A/36290,NR/2024/22872/A/36072,NR/2024/21658/A/36033,NR/2024/22839/A/36289,NR/2024/22874/A/36301,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,Total
,,SJVNL,SJVNL,NVVNL,TPTCL,PUNJAB,TPTCL,MANIKARAN,AEL,NVVNL,APPCPL,BAWANA_GAS,MANIKARAN,NVVNL,APPCPL,TPDDL,TPDDL,NVVNL,TPTCL,NVVNL,PTC,NVVNL,PTC,DELHI,NVVNL,APPCPL,NVVNL,IEXL,INSTINCT,DELHI,APPCPL,DIAPL,ITCLH,NVVNL,NVVNL,MANIKARAN,JITPL,
,,NA,NA,NA,NA,DELHI_UT,NA,MP_State,NA,NA,Arunachal_State,DELHI_UT,MSEB_State,NA,Nagaland_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,UTTARAKHAND_STATE,NA,KARNATAKA_STATE,NA,NA,KERALA_State,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,MP_State,ODISHA_STATE,NA,
,,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,JITPL,BAWANA_GAS,SIMHAPURI,BLAPOWER_MP,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,Arunachal_Ben,BAWANA_GAS,AEML,Kameng,Nagaland_Ben,JHAJJAR,JPL2,JPL2,SIMHAPURI,JPNIGRIE_JNSTPP,HP,SORANG_HEP,HP,CHANJUII,RKM_POWER,UTTARAKHAND,RKM_POWER,NSLSUGAR,JPL2,SKS_Raigarh,KSEB,GBHHPL,ITCWIND,TRN_ENERGY,JP_BINA,MAADURGA_THERMAL,JITPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,MES_Delhi,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BYPL,TPDDL,BYPL,TPDDL,TPDDL,NDMC,BRPL,BRPL,BRPL,TPDDL,BYPL,TPDDL,NDMC,BYPL,NDMC,MES_Delhi,BRPL,NDMC,BYPL,DIAPL,ITCLH,NDMC,TPDDL,BRPL,NDMC,
,,North-North,North-North,West-North,East-North,North-North,South-East-North,West-North,West-North,West-North,North East-East-North,North-North,West-North,North East-East-North,North East-East-North,North-North,West-North,West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,South-West-North,North-North,South-West-North,West-North,West-North,East-North,East-North,
1,00:00-00:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.87,8.8,48.4,0,17.5,1539.5408

2,00:15-00:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.87,8.8,48.4,0,17.5,1539.5408

3,00:30-00:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.87,8.8,48.4,0,17.5,1539.5408

4,00:45-01:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.87,8.8,48.4,0,17.5,1539.5408

5,01:00-01:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

6,01:15-01:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

7,01:30-01:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

8,01:45-02:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

9,02:00-02:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

10,02:15-02:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

11,02:30-02:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

12,02:45-03:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,32.91,26.87,90.98,164.78,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.78,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.68,8.8,48.4,0,17.5,1539.3508000000002

13,03:00-03:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.6,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.63,8.8,48.4,0,17.5,1492.6608000000003

14,03:15-03:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.6,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.63,8.8,48.4,0,17.5,1492.6608000000003

15,03:30-03:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.6,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.63,8.8,48.4,0,17.5,1492.6608000000003

16,03:45-04:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.6,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.63,8.8,48.4,0,17.5,1492.6608000000003

17,04:00-04:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.58,8.8,48.4,0,17.5,1492.3308

18,04:15-04:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.58,8.8,48.4,0,17.5,1492.3308

19,04:30-04:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.58,8.8,48.4,0,17.5,1492.3308

20,04:45-05:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,67.75,8.71,0.58,8.8,48.4,0,17.5,1492.3308

21,05:00-05:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.87,90.98,164.78,0,241.98,0,26.39,0,0,181.48,28.07,60.49,14.32,26.39,84.38,26.39,4.84,96.79,0,25.17,8.71,0.58,8.8,48.4,0,17.5,1449.7508

