Block,Time,CHAMERA1,BSIUL,CHAMERA2,SALAL,SEWA2,CHAMERA3,DADRT2,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,NJPC,PARBATI3,RAMPUR,RAPPC,RIHAND1,RIHAND2,DHAULIGNGA,SINGRAULI,KISHANGANGA,RIHAND3,NAPP,RAPPB,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,URI2,TANDA2,UNCHAHAR2,URI,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,42.14808,0,44.219014,83.664,0,32.084375,686.059097,53.784869,413.807464,5.348961,38.641619,167.094861,21.080869,3.533363,60.087841,79.216552,121.704045,40.404278,127.751375,4.368913,127.60189,44.985377,0,0.777249,9.4794,65.711852,20.954002,27.044661,1.620974,36.053228,2.89881,43.709279,30.912,0,48.137697,0,0,0,77.328618,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.143,15.00135,345.375

2,00:15-00:30,42.14808,0,44.219014,83.664,0,32.084375,686.059097,53.784869,413.807464,5.348961,38.641619,167.094861,21.080869,3.533363,60.087841,79.216552,121.704045,40.404278,127.751375,4.368913,127.60189,44.985377,0,0.777249,5.6364,65.711852,20.954002,27.044661,1.620974,36.053228,2.89881,43.709279,30.912,0,48.137697,0,0,0,77.328618,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.143,15.00135,345.375

3,00:30-00:45,42.14808,0,44.219014,83.664,0,32.084375,686.059097,53.784869,413.807464,5.348961,38.641619,167.094861,21.080869,3.533363,60.087841,79.216552,121.704045,40.404278,127.751375,4.368913,127.60189,44.985377,0,0.777249,5.6364,65.711852,20.954002,27.044661,1.620974,36.053228,2.89881,43.709279,30.912,0,48.137697,0,0,0,77.328618,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.143,15.00135,345.375

4,00:45-01:00,42.14808,0,44.219014,83.664,0,32.084375,686.059097,53.784869,413.807464,5.348961,38.641619,167.094861,21.080869,3.533363,60.087841,79.216552,121.704045,40.404278,127.751375,4.368913,127.60189,44.985377,0,0.777249,5.6364,65.711852,20.954002,27.044661,1.620974,36.053228,2.89881,43.709279,30.912,0,48.137697,0,0,0,77.328618,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.143,15.00135,345.375

5,01:00-01:15,42.14808,0,44.219014,83.664,0,32.084375,686.059097,53.784869,413.807464,5.348961,38.641619,167.094861,21.080869,3.533363,60.087841,79.216552,121.704045,40.404278,127.751375,4.368913,127.60189,44.985377,0,0.777249,5.6364,65.711852,20.954002,27.044661,1.620974,36.053228,2.89881,43.709279,30.912,0,48.137697,0,0,0,77.328618,0,0,0,76.455759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.143,15.00135,345.375

