Block,Time,NR/23122023/31122023/HP-17,NR/01102023/22052037/LT-59,NR/23122023/31122023/HP-21,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/23122023/23122023/DD20231223NR21887,NR/01102023/31102037/L_NR_2019_11,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/31052040/LT-31,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/20122023/29022024/IEX_LDC_231218_00501,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/23122023/31122023/SJVN231223NR1310,NR/22102023/11042047/L_NR_2021_17,NR/23122023/31122023/SJVN231223NR1309,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,114.620000,1.090000,147.310000,0.000000,188.240000,0.000000,1.300000,11.520000,23.050000,148.550000,25.870000,55.340000,71.450000,25.870000,1.660000,14.410000,5.760000,0.000000,96.040000,0.000000,52.820000,0.000000,8.160000,0,23.56,28.2,7.34,48.02,0,0,9.4,0,0,0,23.56,0,0,0,0,0,0,9.4,0,12.12,0,0,0

2,00:15-00:30,114.620000,1.090000,147.310000,0.000000,169.030000,0.000000,1.300000,11.520000,23.050000,148.550000,25.870000,55.340000,71.450000,25.870000,1.660000,14.410000,5.760000,0.000000,96.040000,0.000000,52.820000,0.000000,8.160000,0,24.19,30.54,7.34,48.02,0,0,10.17,0,0,0,24.19,0,0,0,0,0,0,10.18,0,12.53,0,0,0

3,00:30-00:45,114.620000,1.090000,147.310000,0.000000,169.030000,0.000000,1.300000,11.520000,23.050000,148.550000,25.870000,55.340000,71.450000,25.870000,1.660000,14.410000,5.760000,0.000000,96.040000,0.000000,52.820000,0.000000,8.160000,0,35.67,32.89,7.34,48.02,0,0,10.97,0,0,0,35.67,0,0,0,0,0,0,10.96,0,16.93,0,0,0

4,00:45-01:00,114.620000,1.090000,147.310000,0.000000,169.030000,0.000000,1.300000,11.520000,23.050000,148.550000,25.870000,55.340000,71.450000,25.870000,1.660000,14.410000,5.760000,0.000000,96.040000,0.000000,52.820000,0.000000,8.160000,0,37.54,35.38,7.34,48.02,0,0,11.79,0,0,0,37.54,0,0,0,0,0,0,11.79,0,17.17,0,0,0

5,01:00-01:15,114.620000,1.090000,147.310000,0.000000,169.030000,0.000000,1.220000,11.520000,23.050000,148.550000,25.870000,55.340000,71.450000,25.870000,1.660000,14.410000,5.760000,0.000000,96.040000,0.000000,52.820000,0.000000,8.160000,0,38.88,36.42,7.34,48.02,0,0,12.13,0,0,0,38.88,0,0,0,0,0,0,12.14,0,17.62,0,0,0

6,01:15-01:30,114.620000,1.090000,147.310000,0.000000,169.030000,0.000000,1.220000,11.520000,23.050000,148.550000,25.870000,55.340000,71.450000,25.870000,1.660000,14.410000,5.760000,0.000000,96.040000,0.000000,52.820000,0.000000,8.160000,0,40.21,37.29,7.34,48.02,0,0,12.42,0,0,0,40.21,0,0,0,0,0,0,12.43,0,17.84,0,0,0

