Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/03/01/5143,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNA/SR/2025/03/01/7500,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNARE/SR/2025/01/13/4532,GNA/NR/2025/03/01/4651,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,0,0,0,0,48.34,16.67,0,12,0,49.99,0,0,0,16.67,0,0,48.33,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,27.25,69.95,200,229.16,1.39,1.26,86.52,0,7,0,1,17.27,63.42,0,23.02,23.02,0,42,271.21

2,00:15-00:30,0,0,0,0,0,47.66,17,0,11.67,0,51,0,0,0,17,0,0,47.67,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,28.26,69.95,200,229.16,1.39,1.26,86.52,0,7,0,1,17.27,63.42,0,23.02,23.02,0,42,271.21

3,00:30-00:45,0,0,0,0,0,47.34,17.17,0,11.67,0,51.49,0,0,0,17.17,0,0,47.33,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,29.27,69.95,200,229.16,0.93,1.26,86.52,0,7,0,1,17.27,63.42,0,23.02,23.02,0,42,271.21

4,00:45-01:00,0,0,0,0,0,46.66,17.33,0,11.33,0,52.01,0,0,0,17.33,0,0,46.67,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,29.27,69.95,200,229.16,0.93,1.26,86.52,0,7,0,1,17.27,63.42,0,23.02,23.02,0,42,271.21

5,01:00-01:15,0,0,0,0,0,46,17.5,0,11,0,52.5,0,0,0,17.5,0,0,46,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,29.27,69.95,200,229.16,0.93,1.26,86.52,0,7,0,1,17.27,63.42,0,23.02,23.02,0,42,271.21

6,01:15-01:30,0,0,0,0,0,45.34,17.33,0,10.67,0,52.01,0,0,0,17.33,0,0,45.33,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,29.27,69.95,200,229.16,0.93,1.26,86.52,0,7,0,1,17.27,63.42,0,23.02,23.02,0,42,271.21

