Block,Time,KOTESHWR,UNCHAHAR3,ANTA_CRF,DADRI_RF,URI,AURY_GF,CHAMERA1,NJPC,URI2,TANDA2,RIHAND3,AURY_CRF,KISHANGANGA,DADRI_LF,CHAMERA2,JHAJJAR,BSIUL,ANTA_RF,RIHAND2,KOLDAM,RIHAND1,DADRI_GF,AURY_RF,RAPPB,SINGRAULI_HYDRO,PARBATI3,UNCHAHAR4,DHAULIGNGA,DADRI_CRF,SALAL,ANTA_GF,NAPP,DULHASTI,TEHRI,CHAMERA3,RAMPUR,AURY_LF,SINGRAULI,UNCHAHAR2,TALA,RAPPC,SASAN,BRBCL,KHSTPP-II,DADRT2,KHSTPP-I,TANAKPUR,SEWA2,ANTA_LF,UNCHAHAR1,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.091856,14.385950,0.000000,0.000000,26.647800,0.000000,0.000000,0.000000,19.481859,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,346.846220,12.591665,0.000000,114.049688,0.000000,88.826000,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,0.000000,12.341021,0.000000,41.761737,0.000000,0.000000,0.000000,0.000000,0.000000,120.566812,28.534886,0.000000,51.581741,374.734688,19.236177,142.180399,361.097000,44.798312,6.431389,10.193131,0.000000,7.769572,7.657960,0,0,0,0,0

2,00:15-00:30,8.091856,14.385950,0.000000,0.000000,26.647800,0.000000,0.000000,0.000000,19.481859,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,346.846220,12.591665,0.000000,114.049688,0.000000,88.826000,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,0.000000,12.341021,0.000000,41.761737,0.000000,0.000000,0.000000,0.000000,0.000000,120.566812,22.689250,0.000000,51.581741,374.734688,16.602915,142.180399,361.097000,44.798312,6.431389,10.193131,0.000000,7.769572,7.657960,0,0,0,0,0

3,00:30-00:45,8.091856,14.385950,0.000000,0.000000,25.581888,0.000000,0.000000,0.000000,19.481859,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,346.846220,12.591665,0.000000,114.049688,0.000000,88.826000,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,0.000000,12.341021,0.000000,41.761737,0.000000,0.000000,0.000000,0.000000,0.000000,120.566812,22.689250,0.000000,51.581741,374.734688,15.741614,142.180399,361.097000,44.798312,6.431389,10.193131,0.000000,7.769572,7.657960,0,0,0,0,0

4,00:45-01:00,8.091856,14.385950,0.000000,0.000000,25.581888,0.000000,0.000000,0.000000,19.481859,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,346.846220,12.591665,0.000000,114.049688,0.000000,88.826000,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,0.000000,12.341021,0.000000,41.761737,0.000000,0.000000,0.000000,0.000000,0.000000,120.566812,22.689250,0.000000,51.581741,374.734688,13.405939,114.093232,361.097000,36.033522,6.431389,10.193131,0.000000,7.769572,7.657960,0,0,0,0,0

5,01:00-01:15,8.091856,14.385950,0.000000,0.000000,24.515976,0.000000,0.000000,0.000000,19.481859,0.000000,119.399161,0.000000,0.000000,0.000000,0.000000,346.846220,12.591665,0.000000,114.049688,0.000000,88.826000,0.000000,0.000000,0.000000,0.646451,0.000000,0.000000,0.000000,0.000000,12.341021,0.000000,41.761737,0.000000,0.000000,0.000000,0.000000,0.000000,120.566812,22.689250,0.000000,51.581741,374.734688,13.374076,114.093232,361.097000,36.033522,0.000000,10.193131,0.000000,7.769572,7.657960,0,0,0,0,0

