Time,Block,WR/2024/21675/A/7874,WR/2024/21740/A/7906,NER/2024/2023/A/7870,NR/2024/18388/A/7626,WR/2024/21710/A/7902,NR/2024/18691/A/7903,SR/2024/12219/C,NR/2024/18755/C,Total
,,APPCPL,MANIKARAN,APPCPL,ITCLH,MANIKARAN,MANIKARAN,IEXL,NVVNL,Total

,,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,NA,
,,BRPL,BYPL,BRPL,ITCWIND,BRPL,BRPL,BYPL,SOLAPUR_SOLAR,
,,GOA,MAHARASHTRA,MANIPUR,DELHI,GOA,HIMACHAL PRADESH,TAMIL NADU,DELHI,
,,GOA_Beneficiary,AEML,Manipur_Ben,ITCLH,GOA_Beneficiary,HP,TANGEDCO,MES (Delhi),
,,North-West,North-West,North-East-North East,South-West-North,North-West,North-North,North-East-South,West-North,
1,00:00-00:15,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

2,00:15-00:30,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

3,00:30-00:45,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

4,00:45-01:00,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

5,01:00-01:15,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

6,01:15-01:30,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

7,01:30-01:45,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

8,01:45-02:00,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

9,02:00-02:15,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

10,02:15-02:30,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

11,02:30-02:45,0.000000,50.000000,25.000000,0.390000,0.000000,0.000000,150.00,0,225.39

