Block,Time,KOTESHWR,ANTA_RF,BSIUL,SINGRAULI_HYDRO,AURY_LF,TEHRI,AURY_GF,RIHAND1,DADRI_LF,URI,DHAULIGNGA,ANTA_CRF,TANAKPUR,UNCHAHAR1,DADRI_GF,CHAMERA1,AURY_CRF,RAMPUR,UNCHAHAR3,DADRI_CRF,DULHASTI,RAPPC,URI2,KISHANGANGA,PARBATI3,ANTA_LF,CHAMERA3,ANTA_GF,UNCHAHAR2,SEWA2,SALAL,GANDHAR-NAPM,UNCHAHAR4,AURY_RF,KHSTPP-I,LARA-I,NJPC,CHAMERA2,BRBCL,KAWAS-APM,RIHAND3,KHSTPP-II,RIHAND2,MOUDA_II,DADRI_RF,NAPP,FSTPP I & II,DADRT2,TAPS-II,JHAJJAR,SIPAT I,SOLAPUR,SINGRAULI,SIPAT II,SASAN,RAPPB,KOLDAM,TALA,KAWAS-ComGas,TANDA2,VSTPS II,NLCIIST2,NLCEXP,TALST2,KGSU1AND2,KHARGONE-I,KSTPS I&II,NNTPP,VSTPS I,NTPL,KSTPS7,GANDHAR-RLNG,RSTPSU1TO6,GANDHAR-ComGas,RSTPSU7,VSTPS III,KAWAS-RLNG,NLCTS2EXP,KAWAS-NAPM,VALLURNTECL,MOUDA,KGSU3AND4,SIMHST2,VSTPS IV,GANDHAR-APM,KKNP,MAPS,GADARWARA-I,KAPS,KAWAS-zLIQ,KUDGI,VSTPS V,NLCIIST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.823919,0.000000,12.621308,1.034894,0.000000,49.651177,0.000000,92.331090,0.000000,46.773830,0.000000,0.000000,1.110127,13.847176,0.000000,40.584386,0.000000,1.573941,22.767674,0.000000,36.418010,62.541305,35.282808,4.068498,0.000000,0.000000,21.482687,0.000000,37.130676,17.436898,59.301159,0.000000,2.301331,0.000000,34.682310,4.072013,51.167436,44.701835,14.443459,0.000000,123.684601,142.042795,117.887847,3.358207,0.000000,45.735721,19.960917,376.216489,1.311170,598.769351,5.081459,1.693819,141.734604,1.788485,328.228538,0.000000,5.151506,0.000000,0.000000,3.938161,0.929022,0.87,1.76,2.62,1.94,1.866966,2.839546,0.19,2.270088,3.64,1.283197,0.000000,7.66,0.000000,1.87,1.874035,0.000000,0.83,0.000000,3.44,1.853390,2.10,1.78,2.566393,0.000000,0.00,0.24,4.106229,1.097871,0.000000,8.98,1.269510,0.88,0,0,0,0,0

2,00:15-00:30,26.823919,0.000000,12.621308,1.034894,0.000000,49.651177,0.000000,92.331090,0.000000,4.252166,0.000000,0.000000,1.110127,13.847176,0.000000,40.584386,0.000000,1.573941,22.767674,0.000000,36.418010,62.541305,35.282808,4.068498,0.000000,0.000000,21.482687,0.000000,37.130676,17.436898,59.301159,0.000000,2.301331,0.000000,34.682310,4.072013,51.167436,44.701835,14.443459,0.000000,123.684601,142.042795,117.887847,3.358207,0.000000,45.735721,19.960917,356.958489,1.311170,598.769351,5.081459,1.693819,141.748509,1.788485,328.228538,0.000000,5.151506,0.000000,0.000000,3.938161,0.929022,0.87,1.76,2.62,1.94,1.866966,2.839546,0.19,2.270088,3.64,1.283197,0.000000,7.66,0.000000,1.87,1.874035,0.000000,0.84,0.000000,3.44,1.853390,2.10,1.78,2.566393,0.000000,0.00,0.24,4.106229,1.097871,0.000000,8.98,1.269510,0.88,0,0,0,0,0

3,00:30-00:45,26.823919,0.000000,12.621308,1.034894,0.000000,49.651177,0.000000,92.331090,0.000000,4.252166,0.000000,0.000000,1.110127,13.847176,0.000000,40.584386,0.000000,1.311617,22.516839,0.000000,36.418010,62.541305,31.131890,4.068498,0.000000,0.000000,21.482687,0.000000,37.130676,17.436898,59.301159,0.000000,2.301331,0.000000,34.430126,4.072013,42.674055,44.701835,14.443459,0.000000,123.684601,142.042795,117.887847,3.358207,0.000000,45.735721,19.860198,360.574086,1.311170,597.928482,5.081459,1.693819,141.748509,1.788485,328.228538,0.000000,5.151506,0.000000,0.000000,3.938161,0.929022,0.87,1.76,2.74,1.94,1.866966,2.839546,0.19,2.270088,3.64,1.283197,0.000000,7.66,0.000000,1.87,1.874035,0.000000,0.86,0.000000,3.44,1.853390,2.10,1.78,2.566393,0.000000,0.00,0.24,4.106229,1.097871,0.000000,8.98,1.269510,0.88,0,0,0,0,0

4,00:45-01:00,26.823919,0.000000,12.621308,1.034894,0.000000,49.651177,0.000000,92.331090,0.000000,15.945624,0.000000,0.000000,1.110127,13.847176,0.000000,40.584386,0.000000,1.277401,22.516839,0.000000,36.418010,62.541305,31.131890,4.068498,0.000000,0.000000,21.482687,0.000000,37.130676,17.436898,59.301159,0.000000,2.301331,0.000000,34.430126,4.072013,41.431122,44.701835,14.443459,0.000000,123.684601,142.042795,117.887847,3.358207,0.000000,45.735721,19.860198,360.574086,1.311170,597.666638,5.081459,1.693819,141.748509,1.788485,328.228538,0.000000,5.151506,0.000000,0.000000,3.938161,0.929022,0.87,1.76,2.76,1.94,1.866966,2.839546,0.19,2.270088,3.64,1.283197,0.000000,7.66,0.000000,1.87,1.874035,0.000000,0.86,0.000000,3.44,1.853390,2.10,1.78,2.566393,0.000000,0.00,0.24,4.106229,1.097871,0.000000,8.98,1.269510,0.88,0,0,0,0,0

5,01:00-01:15,26.823919,0.000000,12.621308,1.034894,0.000000,49.651177,0.000000,92.331090,0.000000,51.025997,0.000000,0.000000,1.110127,13.847176,0.000000,40.584386,0.000000,0.638700,22.516839,0.000000,36.418010,62.541305,31.131890,4.068498,0.000000,0.000000,21.482687,0.000000,37.130676,17.436898,59.301159,0.000000,2.301331,0.000000,34.430126,4.072013,20.715561,44.701835,13.538273,0.000000,123.684601,142.042795,117.887847,3.358207,0.000000,45.735721,19.860198,360.239684,1.311170,597.666638,5.081459,1.693819,141.748509,1.788485,328.228538,0.000000,3.434338,0.000000,0.000000,3.938161,0.929022,0.87,1.76,2.76,1.94,1.866966,2.839546,0.19,2.270088,3.64,1.283197,0.000000,7.66,0.000000,1.87,1.874035,0.000000,0.84,0.000000,3.44,1.853390,2.10,1.78,2.566393,0.000000,0.00,0.24,4.106229,1.097871,0.000000,8.98,1.269510,0.88,0,0,0,0,0

