Block,Time Block,CHAMERA1,CHAMERA3,BSIUL,BRBCL,CHAMERA2,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,KGSU1AND2,JHAJJAR,KGSU3AND4,KHSTPP-II,KHSTPP-I,KISHANGANGA,KUDGI,KKNPPU2,KKNP,KOTESHWR,KOLDAM,NNTPP,NTPL,NLCTS2EXP,NAPP,MAPS,NLCEXP,NJPC,NLCIIST2,NLCIIST1,RSTPSU7,SASAN,SALAL,SEWA2,PARBATI2,RAPPB,RAMPUR,PARBATI3,RIHAND2,RSTPSU1TO6,RAPPD,RIHAND3,RAPPC,RIHAND1,TelanganaSTPP,TEHRI,TEHRIPSP,SINGRAULI,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALA,TANAKPUR,TANDA2,TALST2,UNCHAHAR2,UNCHAHAR1,VALLURNTECL,UNCHAHAR3,URI2,URI,UNCHAHAR4,ANTA_GF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_CRF,AURY_GF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.57,32.67,12.55,17.2,45.35,40.87,465.83,16.86,53.87,0,183.96,0,142.74,43.82,6.79,0,0,0,19.53,8.3,0,0,0,23.7,0,0,169.2,0,0,0,330.25,82.21,0,0,0,5.49,31.48,120.57,0,23.42,125.93,62.97,94.63,0,48.68,68.06,144.27,0,1,0,28.43,12.33,5.34,0,33.08,14.9,0,20.9,37.51,34.01,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,40.57,32.67,12.55,14.48,45.35,40.87,348.57,14.1,53.87,0,126.15,0,142.74,41.3,6.79,0,0,0,19.53,8.3,0,0,0,23.7,0,0,169.2,0,0,0,330.25,82.21,0,0,0,5.49,31.48,120.57,0,23.42,125.93,62.97,94.63,0,48.68,68.06,144.27,0,1,0,28.43,12.33,5.34,0,32.14,14.9,0,19.58,37.51,34.01,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,40.57,32.67,12.55,13.22,45.35,40.87,233.12,14.1,53.87,0,126.15,0,142.74,37.77,6.79,0,0,0,19.53,8.3,0,0,0,23.7,0,0,169.2,0,0,0,330.25,82.21,0,0,0,5.49,31.48,120.57,0,23.42,125.93,62.97,94.63,0,48.68,68.06,144.44,0,1,0,28.02,12.33,5.34,0,32.14,14.9,0,19.58,24,34.01,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,40.57,32.67,12.55,13.22,45.35,40.87,138.05,14.1,53.87,0,126.15,0,142.74,37.77,6.79,0,0,0,19.53,8.3,0,0,0,23.7,0,0,169.2,0,0,0,330.25,82.21,0,0,0,5.49,31.48,120.57,0,23.42,125.93,62.97,94.63,0,48.68,68.06,144.44,0,1,0,28.02,12.33,5.34,0,32.14,14.9,0,19.58,24,34.01,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,40.57,32.67,12.55,13.22,45.35,40.87,70.68,14.1,53.87,0,126.15,0,142.74,37.77,6.79,0,0,0,19.53,8.3,0,0,0,23.7,0,0,169.2,0,0,0,330.25,82.21,0,0,0,5.49,31.48,120.57,0,23.42,125.93,62.97,94.63,0,48.68,68.06,144.44,0,1,0,28.02,12.33,2.94,0,31.44,14.69,0,19.58,24,34.01,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

