Block,Time Block,NLCIIST2,NLCTS2EXP,NNTPP,NLCIIST1,NLCEXP,NJPC,MAPS,NAPP,KUDGI,SASAN,SIMHST1,SALAL,SEWA2,FSTPP I & II,DHAULIGNGA,DULHASTI,RSTPSU7,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,KKNP,KISHANGANGA,KHSTPP-II,KKNPPU2,KOLDAM,KOTESHWR,KHSTPP-I,KGSU3AND4,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,AURY_RF,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KGSU1AND2,JHAJJAR,UNCHAHAR2,URI,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPD,RIHAND3,TANAKPUR,TEHRIPSP,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR1,TALST2,TALA,SINGRAULI_HYDRO,CHAMERA3,DADRT2,RAPPB,RAMPUR,RAPPC,NTPL,PARBATI2,PARBATI3,SIMHST2,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,17.64,17.38,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,23.81,45.32,40.54,0,545.48,43.28,50.36,3.1,0,37.48,26.63,120.48,94.56,0,23.58,125.84,12.56,0,54.28,0,5.34,20.82,0,19.66,0.92,32.64,452.57,0,5.48,62.78,0,0,20.02,0,141.01,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,17.64,17.38,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,331.48,43.28,50.36,3.1,0,37.48,26.63,120.48,94.56,0,23.58,125.84,12.56,0,54.28,0,5.34,20.82,0,19.66,0.92,32.64,313.34,0,5.48,62.78,0,0,20.02,0,141.01,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,11.75,17.38,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,244.66,37.74,50.36,3.1,0,37.48,24.6,120.48,94.56,0,23.58,125.84,10.6,0,54.28,0,5.34,19.76,0,19.36,0.92,32.64,174.28,0,5.48,62.78,0,0,8.58,0,141.01,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,5.89,17.38,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,244.66,37.74,19.11,3.1,0,37.48,24.6,120.48,94.56,0,23.58,125.84,10.6,0,54.28,0,5.34,19.76,0,19.36,0.92,32.64,168.75,0,5.48,62.78,0,0,8.58,0,141.01,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,17.38,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,222.54,32.11,19.11,3.1,0,37.48,21.12,120.48,94.56,0,23.58,125.84,10.6,0,54.28,0,5.34,16.62,0,19.36,0.92,32.64,127.53,0,5.48,62.78,0,0,20.02,0,141.01,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,16.85,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,212.92,32.11,19.11,3.1,0,37.48,21.12,120.48,94.56,0,23.58,125.84,10.6,0,54.28,0,5.34,16.62,0,19.36,0.92,32.64,99.63,0,5.48,62.78,0,0,20.02,0,141.01,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,16.85,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,212.92,32.11,19.11,3.1,0,20.99,19.56,120.48,94.56,0,23.58,125.84,10.6,0,54.28,0,5.34,16.51,0,19.36,0.92,32.64,54.43,0,5.48,62.78,0,0,20.02,0,141.01,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,16.85,0,53.26,0,0,0,0,0,0,6.78,142.63,0,8.29,39.02,43.79,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,40.54,0,212.92,32.11,19.11,3.1,0,20.99,19.56,120.48,94.56,0,23.58,125.84,10.6,0,54.28,0,5.34,16.51,0,19.36,0.92,32.64,54.43,0,5.48,62.78,0,0,20.02,0,141.01,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,12.39,0,53.26,0,0,0,0,0,0,6.78,113.66,0,8.29,39.02,34.17,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,31.15,0,204.27,23.8,25.48,2.22,0,20.99,14.65,96.58,58,0,23.58,125.84,10.6,0,54.28,0,4.18,11.86,0,19.66,0.92,32.64,54.43,0,5.48,62.78,0,0,31.46,0,123.97,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,12.39,0,53.26,0,0,0,0,0,0,6.78,113.66,0,8.29,39.02,34.17,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,31.15,0,204.27,23.8,25.48,2.22,0,20.99,14.65,96.58,58,0,23.58,125.84,10.6,0,54.28,0,4.18,11.86,0,19.66,0.92,32.64,54.43,0,5.48,62.78,0,0,31.46,0,123.97,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,12.39,0,53.26,0,0,0,0,0,0,6.78,113.66,0,8.29,29.27,34.17,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,31.15,0,204.27,23.8,25.48,2.22,0,20.99,14.65,96.58,58,0,23.58,125.84,10.6,0,54.28,0,4.18,11.86,0,19.66,0.92,32.64,54.43,0,5.48,62.78,0,0,31.46,0,123.97,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,169.07,0,23.18,0,333.26,0,81.02,0,12.39,0,53.26,0,0,0,0,0,0,6.78,113.66,0,8.29,29.27,34.17,0,0,0,0,0,0,0,0,0,12.54,24.04,45.32,31.15,0,171.51,23.8,25.48,2.22,0,20.99,14.65,96.58,58,0,23.58,125.84,10.6,0,54.28,0,4.18,11.86,0,19.66,0.92,32.64,54.43,0,5.48,62.78,0,0,20.02,0,123.97,0,0,0,0,0

