Block,Time,KOLDAM,SINGRAULI_HYDRO,RAPPC,RIHAND1,URI2,AURY_LF,TEHRI,KOTESHWR,TANAKPUR,AURY_RF,ANTA_CRF,DADRI_CRF,UNCHAHAR1,TANDA2,URI,JHAJJAR,NAPP,SEWA2,UNCHAHAR2,DADRI_RF,UNCHAHAR3,RIHAND2,DHAULIGNGA,RAMPUR,KISHANGANGA,CHAMERA1,ANTA_LF,DADRT2,PARBATI3,CHAMERA3,DADRI_LF,ANTA_GF,DULHASTI,SALAL,SINGRAULI,DADRI_GF,AURY_CRF,CHAMERA2,NJPC,ANTA_RF,RAPPB,RIHAND3,UNCHAHAR4,BSIUL,AURY_GF,FSTPP I & II,KHSTPP-II,BRBCL,TALA,SASAN,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.845837,52.571777,88.430400,8.016639,0.000000,0.000000,9.003560,6.772135,0.000000,0.000000,0.000000,13.940572,0.000000,1.485631,227.115508,20.736544,0.000000,30.803328,0.000000,17.753845,90.425344,0.000000,0.000000,0.000000,0.000000,0.000000,511.358400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,10.573200,132.440288,19.223982,0.000000,402.521724,29.104944,0,0,0,0,0

2,00:15-00:30,0.000000,0.845837,52.571777,88.430400,8.016639,0.000000,0.000000,9.003560,6.772135,0.000000,0.000000,0.000000,13.940572,0.000000,1.485631,227.115508,20.736544,0.000000,28.285905,0.000000,17.753845,95.415752,0.000000,0.000000,0.000000,0.000000,0.000000,463.298400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,10.573200,139.620548,18.410852,0.000000,402.521724,29.104944,0,0,0,0,0

3,00:30-00:45,0.000000,0.845837,52.571777,88.430400,8.016639,0.000000,0.000000,9.003560,6.772135,0.000000,0.000000,0.000000,13.940572,0.000000,1.485631,227.115508,20.736544,0.000000,28.285905,0.000000,17.753845,78.436515,0.000000,0.000000,0.000000,0.000000,0.000000,415.238400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,10.573200,127.634288,19.223982,0.000000,402.521724,29.104944,0,0,0,0,0

4,00:45-01:00,0.000000,0.845837,52.571777,88.430400,8.016639,0.000000,0.000000,9.003560,6.772135,0.000000,0.000000,0.000000,13.940572,0.000000,1.485631,227.115508,20.736544,0.000000,28.285905,0.000000,17.753845,80.433312,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,10.573200,127.634288,18.714905,0.000000,402.521724,29.104944,0,0,0,0,0

5,01:00-01:15,0.000000,0.845837,52.571777,88.430400,4.525522,0.000000,0.000000,9.003560,6.772135,0.000000,0.000000,0.000000,9.535104,0.000000,1.485631,223.959600,20.736544,0.000000,20.513329,0.000000,13.797959,94.681180,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,4.806000,127.634288,17.037515,0.000000,402.521724,29.104944,0,0,0,0,0

6,01:15-01:30,0.000000,0.845837,52.571777,88.430400,4.525522,0.000000,0.000000,9.003560,6.772135,0.000000,0.000000,0.000000,9.535104,0.000000,1.485631,223.959600,20.736544,0.000000,18.358920,0.000000,12.380256,95.431108,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,4.806000,119.944688,14.614563,0.000000,402.521724,29.104944,0,0,0,0,0

7,01:30-01:45,0.000000,0.845837,52.571777,88.430400,4.525522,0.000000,0.000000,9.003560,0.000000,0.000000,0.000000,0.000000,9.535104,0.000000,1.485631,223.959600,20.736544,0.000000,18.080172,0.000000,12.380256,95.431108,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.000000,0.000000,0.000000,0.000000,0.000000,2.233829,120.029850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.056351,0.000000,0.000000,0.000000,4.806000,119.944688,15.182433,0.000000,402.521724,29.104944,0,0,0,0,0

