Block,Time,DULHASTI,KGSU1AND2,NJPC,NLCIIST2,RAPPB,RIHAND2,CHAMERA3,DHAULIGNGA,KKNP,KOTESHWR,MAPS,PARBATI3,RIHAND3,SIMHST2,TALA,TANDA2,UNCHAHAR3,URI2,ANTA_LF,AURY_CRF,AURY_GF,DADRI_GF,DADRI_RF,BRBCL,KHSTPP-II,KKNPPU2,KUDGI,NAPP,NLCEXP,RAMPUR,RIHAND1,SALAL,SIMHST1,UNCHAHAR4,RSTPSU7,SASAN,ANTA_CRF,DADRI_LF,JHAJJAR,KGSU3AND4,KHSTPP-I,RSTPSU1TO6,SINGRAULI_HYDRO,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_GF,FSTPP I & II,KISHANGANGA,KOLDAM,NLCIIST1,NNTPP,URI,ANTA_RF,BSIUL,CHAMERA2,DADRT2,NTPL,RAPPC,SEWA2,TANAKPUR,TelanganaSTPP,AURY_LF,CHAMERA1,NLCTS2EXP,SINGRAULI,TALST2,UNCHAHAR2,AURY_RF,DADRI_CRF
1,00:00-00:15,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,5.76,0,0,0,0,139.69,0,42.39,0,91.52

2,00:15-00:30,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,5.76,0,0,0,0,139.69,0,42.39,0,91.52

3,00:30-00:45,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,5.76,0,0,0,0,139.69,0,42.39,0,91.52

4,00:45-01:00,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,5.76,0,0,0,0,139.69,0,42.39,0,91.52

5,01:00-01:15,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,5.76,0,0,0,0,139.69,0,42.39,0,91.52

6,01:15-01:30,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,5.76,0,0,0,0,139.69,0,42.39,0,91.52

7,01:30-01:45,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

8,01:45-02:00,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

9,02:00-02:15,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

10,02:15-02:30,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

11,02:30-02:45,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

12,02:45-03:00,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.1,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

13,03:00-03:15,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.42,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

14,03:15-03:30,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.42,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

15,03:30-03:45,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.42,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

16,03:45-04:00,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.42,0,434.65,0,45.53,0,0.65,0,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

17,04:00-04:15,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.42,0,434.65,0,45.53,0,0.65,14.17,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

18,04:15-04:30,16.48,0,0,0,0,118.76,0,0,0,8.87,0,0,62.16,0,0,0,26.4,4.31,0,70.81,0,0,0,20,148.3,0,0,43.57,0,0,92,1.4,0,0,0,343.12,44.42,0,434.65,0,45.53,0,0.65,14.17,10.28,0,0,20.8,0,0,0,0,0.55,0,0,0,683.14,0,52.79,0,0,0,0,0,0,139.69,0,42.39,0,91.52

