Block,Time,DHAULIGNGA,KKNP,PARBATI2,TANAKPUR,UNCHAHAR4,AURY_LF,AURY_RF,CHAMERA2,DADRT2,KGSU1AND2,KOTESHWR,NLCIIST1,SALAL,TelanganaSTPP,UNCHAHAR2,URI,FSTPP I & II,KHSTPP-I,KISHANGANGA,RIHAND2,RSTPSU7,UNCHAHAR1,ANTA_GF,DADRI_GF,CHAMERA1,DULHASTI,KGSU3AND4,KHSTPP-II,MAPS,RAMPUR,RAPPD,SASAN,SIMHST2,SINGRAULI,TALA,TANDA2,TEHRI,BRBCL,NAPP,NLCEXP,NTPL,RAPPC,SEWA2,SIMHST1,TALST2,URI2,ANTA_LF,CHAMERA3,KOLDAM,NJPC,NLCTS2EXP,RSTPSU1TO6,ANTA_RF,DADRI_LF,DADRI_RF,KUDGI,PARBATI3,RAPPB,UNCHAHAR3,BSIUL,JHAJJAR,KKNPPU2,NLCIIST2,NNTPP,RIHAND1,RIHAND3,SINGRAULI_HYDRO,VALLURNTECL,ANTA_CRF,AURY_CRF,AURY_GF,DADRI_CRF
1,00:00-00:15,10.95,0,41.33,6.27,2.3,0,80.77,48.81,458.92,0,10.43,0,84.24,0,44.5,51.34,18.76,45.53,8.63,124.58,0,21.94,0,0,42.15,59.5,0,148.3,0,6.5,21.66,414,0,150.34,0,5.7,30.82,20,26.03,0,0,67.88,18.9,0,0,38.1,0,35.03,9.59,165.99,0,0,49.86,0,98.41,0,42.96,0,27.68,13.04,468.67,0,0,0,97.23,95.79,1.08,0,0,0,0,0

2,00:15-00:30,10.95,0,41.33,6.27,2.3,0,80.77,48.81,458.92,0,10.43,0,84.24,0,44.5,51.34,18.76,45.53,8.63,124.58,0,21.94,0,0,42.15,59.5,0,148.3,0,6.5,21.66,414,0,150.34,0,5.7,30.82,20,26.03,0,0,67.88,12.61,0,0,38.1,0,35.03,9.59,165.99,0,0,49.86,0,98.41,0,42.96,0,27.68,13.04,468.67,0,0,0,97.23,95.79,1.08,0,0,0,0,0

3,00:30-00:45,10.95,0,41.33,6.27,2.3,0,80.77,48.81,458.92,0,10.43,0,84.24,0,44.5,51.34,18.76,45.53,8.63,124.58,0,21.94,0,0,42.15,59.5,0,148.3,0,6.5,21.66,414,0,150.34,0,5.7,30.82,20,26.03,0,0,67.88,5.95,0,0,38.1,0,35.03,9.59,165.99,0,0,49.86,0,98.41,0,42.96,0,27.68,13.04,468.67,0,0,0,97.23,95.79,1.08,0,0,0,0,0

4,00:45-01:00,10.95,0,41.33,6.27,2.3,0,80.77,48.81,458.92,0,10.43,0,84.24,0,44.5,51.34,18.76,45.53,8.63,124.58,0,21.94,0,0,42.15,59.5,0,148.3,0,6.5,21.66,414,0,150.34,0,5.7,30.82,20,26.03,0,0,67.88,5.95,0,0,38.1,0,35.03,9.59,165.99,0,0,49.86,0,98.41,0,42.96,0,27.68,13.04,468.67,0,0,0,97.23,95.79,1.08,0,0,0,0,0

5,01:00-01:15,10.95,0,45.08,0.51,2.3,0,80.77,48.81,458.92,0,10.43,0,84.24,0,44.5,51.34,18.76,45.53,8.63,124.58,0,21.94,0,0,42.15,59.5,0,148.3,0,6.5,21.66,414,0,150.34,0,5.7,30.82,20,26.03,0,0,67.88,5.95,0,0,38.1,0,35.03,9.59,165.99,0,0,51.17,0,98.41,0,42.96,0,27.68,13.04,468.67,0,0,0,97.23,95.79,1.08,0,0,0,0,0

