Block,Time,BRBCL,SASAN,KHSTPP-I,FSTPP I & II,KUDGI,TALA,KHSTPP-II,UNCHAHAR2,AURY_GF,DADRI_GF,DADRT2,ANTA_GF,CHAMERA3,CHAMERA1,NJPC,URI2,DULHASTI,KISHANGANGA,AURY_CRF,RIHAND1,TEHRI,RAPPC,CHAMERA2,KOTESHWR,NAPP,JHAJJAR,TANDA2,RIHAND3,KOLDAM,PARBATI3,UNCHAHAR4,ANTA_RF,UNCHAHAR1,ANTA_CRF,DADRI_RF,UNCHAHAR3,RAPPB,SINGRAULI_HYDRO,URI,DHAULIGNGA,TANAKPUR,DADRI_CRF,SALAL,AURY_LF,BSIUL,SEWA2,RIHAND2,AURY_RF,SINGRAULI,RAMPUR,ANTA_LF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.480989,327.994650,31.057015,12.752837,90.51,27.531277,94.937436,40.923403,0.000000,0.000000,472.475352,0.000000,28.397762,41.183964,147.648759,31.297612,31.708370,0.000000,0.000000,88.816800,53.521776,49.248723,0.000000,23.416356,37.633223,331.132200,0.000000,119.386794,0.000000,0.000000,0.000000,0.000000,12.683232,0.000000,0.000000,21.902030,0.000000,0.627915,45.829469,35.325627,0.000000,0.000000,82.451918,0.000000,18.981116,15.257228,114.037875,0.000000,134.489874,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,14.480989,327.994650,31.057015,12.752837,88.82,27.531277,94.937436,40.923403,0.000000,0.000000,540.053352,0.000000,28.397762,41.183964,147.648759,31.297612,31.708370,0.000000,0.000000,88.816800,40.141332,49.248723,0.000000,23.416356,37.633223,263.554200,0.000000,119.386794,0.000000,0.000000,0.000000,0.000000,12.683232,0.000000,0.000000,21.902030,0.000000,0.627915,45.829469,35.325627,0.000000,0.000000,82.451918,0.000000,18.981116,15.257228,114.037875,0.000000,134.489874,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,14.444443,327.994650,31.057015,12.752837,87.85,27.531277,94.937436,40.923403,0.000000,0.000000,580.926361,0.000000,28.397762,41.183964,147.648759,31.297612,31.708370,0.000000,0.000000,88.816800,40.141332,49.248723,0.000000,23.416356,37.633223,263.554200,0.000000,119.386794,0.000000,0.000000,0.000000,0.000000,12.683232,0.000000,0.000000,21.902030,0.000000,0.627915,45.829469,35.325627,0.000000,0.000000,82.451918,0.000000,18.981116,15.257228,114.037875,0.000000,134.489874,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,14.233760,327.994650,31.057015,12.752837,84.96,27.531277,94.937436,40.923403,0.000000,0.000000,580.926361,0.000000,28.397762,41.183964,147.648759,31.297612,31.708370,0.000000,0.000000,88.816800,40.141332,49.248723,0.000000,23.416356,37.633223,263.554200,0.000000,119.386794,0.000000,0.000000,0.000000,0.000000,12.683232,0.000000,0.000000,21.902030,0.000000,0.627915,45.829469,35.325627,0.000000,0.000000,82.451918,0.000000,18.981116,15.257228,114.037875,0.000000,134.489874,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,14.480989,327.994650,31.057015,12.752837,83.02,27.531277,94.937436,34.390444,0.000000,0.000000,524.606952,0.000000,28.397762,41.183964,147.648759,30.793734,31.708370,0.000000,0.000000,88.816800,40.141332,49.248723,0.000000,23.416356,37.633223,263.554200,0.000000,119.386794,0.000000,0.000000,0.000000,0.000000,12.683232,0.000000,0.000000,21.902030,0.000000,0.627915,45.829469,35.325627,12.119439,0.000000,82.451918,0.000000,18.981116,15.257228,114.037875,0.000000,134.489874,0.000000,0.000000,0.000000,0,0,0,0,0

