Block,Time,BSIUL,KISHANGANGA,KOTESHWR,MAPS,NLCTS2EXP,AURY_LF,CHAMERA1,CHAMERA2,RIHAND1,RIHAND3,RSTPSU1TO6,TEHRI,TelanganaSTPP,ANTA_GF,ANTA_RF,AURY_RF,KKNP,KKNPPU2,NLCIIST1,RIHAND2,SALAL,UNCHAHAR3,KOLDAM,NJPC,RAPPB,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,UNCHAHAR2,URI,DADRI_LF,DHAULIGNGA,KGSU3AND4,KHSTPP-I,NAPP,SIMHST2,ANTA_LF,BRBCL,KUDGI,NTPL,RAMPUR,RSTPSU7,SIMHST1,SINGRAULI,TANDA2,UNCHAHAR4,URI2,VALLURNTECL,AURY_GF,DADRI_CRF,DULHASTI,KGSU1AND2,KHSTPP-II,SASAN,TALA,TALST2,ANTA_CRF,CHAMERA3,DADRT2,FSTPP I & II,JHAJJAR,NLCEXP,NLCIIST2,NNTPP,PARBATI3,RAPPC,SEWA2,AURY_CRF,DADRI_GF,DADRI_RF
1,00:00-00:15,6.52,0,6.41,0,0,0,0,0,92,124.33,0,0,0,0,28.46,52.67,0,0,0,118.76,2.33,26.4,0,0,0,0.8,0,20.85,42.39,33.67,0,0,0,45.53,41.66,0,0,20,0,0,0,0,0,139.69,0,0,28.25,0,0,0,16.48,0,148.3,412.88,0,0,0,0,683.14,18.2,434.65,0,0,0,0,25.76,0,0,0,59.73

2,00:15-00:30,6.52,0,6.41,0,0,0,0,0,92,124.33,0,0,0,0,28.46,52.67,0,0,0,118.76,2.33,26.4,0,0,0,0.8,0,20.85,42.39,33.67,0,0,0,45.53,41.66,0,0,20,0,0,0,0,0,139.69,0,0,28.25,0,0,0,16.48,0,148.3,412.88,0,0,0,0,683.14,18.2,434.65,0,0,0,0,25.76,0,0,0,59.73

3,00:30-00:45,6.52,0,6.41,0,0,0,0,0,92,124.33,0,0,0,0,28.46,52.67,0,0,0,118.76,13.36,26.4,0,0,0,0.8,0,20.85,42.39,33.67,0,0,0,45.53,41.66,0,0,20,0,0,0,0,0,139.69,0,0,28.25,0,0,0,16.48,0,148.3,412.88,0,0,0,0,683.14,18.2,434.65,0,0,0,0,25.76,0,0,0,59.73

4,00:45-01:00,13.04,0,6.41,0,0,0,0,0,92,124.33,0,0,0,0,28.46,52.67,0,0,0,118.76,70.88,26.4,0,0,0,0.8,0,20.85,42.39,33.67,0,0,0,45.53,41.66,0,0,20,0,0,0,0,0,139.69,0,0,28.25,0,0,0,16.48,0,148.3,412.88,0,0,0,0,683.14,18.2,434.65,0,0,0,0,25.76,0,0,0,59.73

5,01:00-01:15,13.04,0,6.41,0,0,0,0,0,92,124.33,0,0,0,0,28.46,52.67,0,0,0,118.76,70.88,26.4,0,0,0,0.8,0,20.85,42.39,33.67,0,0,0,45.53,41.66,0,0,20,0,0,0,0,0,139.69,0,0,28.25,0,0,0,16.48,0,148.3,405,0,0,0,0,683.14,18.2,434.65,0,0,0,0,25.76,0,0,0,59.73

