Block,Time,URI2,ANTA_LF,NJPC,UNCHAHAR2,SEWA2,RIHAND2,BSIUL,DHAULIGNGA,DADRI_RF,PARBATI3,ANTA_GF,UNCHAHAR1,AURY_LF,UNCHAHAR3,KOTESHWR,TEHRI,DADRI_GF,RAPPB,DADRT2,SALAL,UNCHAHAR4,DADRI_CRF,RIHAND3,DADRI_LF,SINGRAULI,CHAMERA3,KOLDAM,NAPP,SINGRAULI_HYDRO,DULHASTI,TANAKPUR,RAPPC,CHAMERA2,AURY_RF,ANTA_CRF,AURY_GF,CHAMERA1,URI,AURY_CRF,KISHANGANGA,JHAJJAR,RIHAND1,ANTA_RF,RAMPUR,TANDA2,KUDGI,KHSTPP-I,TALA,FSTPP I & II,KHSTPP-II,SASAN,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,31.372176,0.000000,148.642010,20.511464,15.293577,114.309562,12.620356,35.409788,0.000000,0.000000,0.000000,18.864303,0.000000,25.537700,34.349479,65.354587,0.000000,0.000000,664.596964,83.210588,0.000000,0.000000,57.442188,0.000000,134.810287,28.124079,0.000000,37.516181,0.925605,47.839755,6.198118,50.348463,38.233943,0.000000,0.000000,0.000000,41.282082,32.050224,0.000000,0.000000,460.068772,88.868670,0.000000,0.000000,0.000000,0.00,31.098118,20.484274,13.789725,142.750870,405.243729,14.515500,0,0,0,0,0

2,00:15-00:30,31.372176,0.000000,148.642010,20.511464,15.293577,114.309562,12.620356,35.409788,0.000000,0.000000,0.000000,19.339484,0.000000,25.537700,34.349479,65.354587,0.000000,0.000000,664.596964,83.210588,0.000000,0.000000,57.442188,0.000000,134.810287,28.124079,0.000000,37.516181,0.925605,47.839755,4.958495,50.348463,38.233943,0.000000,0.000000,0.000000,41.282082,32.050224,0.000000,0.000000,440.714772,89.028400,0.000000,0.000000,0.000000,0.00,31.131877,20.484274,13.789725,142.750870,405.243729,14.204276,0,0,0,0,0

3,00:30-00:45,30.591126,0.000000,148.642010,20.511464,15.293577,114.309562,12.620356,35.409788,0.000000,0.000000,0.000000,18.510649,0.000000,25.537700,34.349479,65.354587,0.000000,0.000000,664.596964,83.210588,0.000000,0.000000,57.442188,0.000000,134.810287,28.124079,0.000000,37.516181,0.925605,47.839755,4.958495,50.348463,38.233943,0.000000,0.000000,0.000000,41.282082,32.050224,0.000000,0.000000,440.714772,89.028400,0.000000,0.000000,0.000000,0.00,31.131877,20.484274,13.789725,142.750870,405.243729,14.515500,0,0,0,0,0

4,00:45-01:00,30.591126,0.000000,148.642010,20.511464,15.293577,114.309562,12.620356,35.409788,0.000000,0.000000,0.000000,18.510649,0.000000,25.537700,34.349479,65.354587,0.000000,0.000000,664.596964,83.210588,0.000000,0.000000,57.442188,0.000000,134.810287,28.124079,0.000000,37.516181,0.925605,47.839755,6.198118,50.348463,38.233943,0.000000,0.000000,0.000000,41.282082,32.050224,0.000000,0.000000,392.329772,89.028400,0.000000,0.000000,0.000000,0.00,31.131877,20.484274,13.789725,142.750870,405.243729,14.515500,0,0,0,0,0

5,01:00-01:15,30.591126,0.000000,148.642010,20.511464,10.216357,114.309562,12.620356,35.409788,0.000000,0.000000,0.000000,18.510649,0.000000,25.537700,34.349479,65.354587,0.000000,0.000000,664.596964,83.210588,0.000000,0.000000,57.442188,0.000000,134.810287,28.124079,0.000000,37.516181,0.925605,47.839755,11.652463,50.348463,38.233943,0.000000,0.000000,0.000000,41.282082,32.050224,0.000000,0.000000,363.298772,89.028400,0.000000,0.000000,0.000000,0.00,31.131877,20.484274,13.789725,142.750870,405.243729,9.677871,0,0,0,0,0

