Block,Time,TEHRI,UNCHAHAR3,KOTESHWR,SALAL,AURY_LF,UNCHAHAR1,CHAMERA3,PARBATI3,ANTA_CRF,AURY_GF,BSIUL,ANTA_GF,SINGRAULI_HYDRO,KISHANGANGA,UNCHAHAR2,SINGRAULI,DADRI_RF,CHAMERA1,RAPPC,JHAJJAR,URI,NJPC,TANAKPUR,ANTA_RF,DULHASTI,RIHAND1,AURY_RF,RAPPB,ANTA_LF,SEWA2,RAMPUR,AURY_CRF,KOLDAM,NAPP,DADRT2,DADRI_CRF,RIHAND2,CHAMERA2,UNCHAHAR4,DHAULIGNGA,RIHAND3,DADRI_LF,DADRI_GF,TANDA2,URI2,KHSTPP-I,KHSTPP-II,TALA,KUDGI,SASAN,FSTPP I & II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.384613,25.477003,7.615075,79.647431,0.000000,19.844762,28.397762,62.676664,0.000000,0.000000,12.654077,0.000000,0.960341,0.000000,40.923403,134.489874,0.000000,41.183964,49.003704,630.551107,45.829469,147.648759,6.183387,0.000000,47.726051,88.816800,0.000000,0.000000,0.000000,10.192075,0.000000,0.000000,0.000000,37.839432,443.655362,0.000000,114.037875,38.143070,0.000000,35.325627,119.386794,0.000000,0.000000,0.000000,31.687208,33.595254,94.937436,26.963622,31.86,404.280181,17.512453,11.140233,0,0,0,0,0

2,00:15-00:30,40.384613,21.902030,7.615075,79.647431,0.000000,16.737912,28.397762,50.387122,0.000000,0.000000,12.654077,0.000000,0.960341,0.000000,40.923403,134.489874,0.000000,41.183964,49.003704,565.608745,45.829469,147.648759,6.183387,0.000000,47.726051,88.816800,0.000000,0.000000,0.000000,10.192075,0.000000,0.000000,0.000000,37.839432,443.558822,0.000000,114.037875,38.143070,0.000000,35.325627,119.386794,0.000000,0.000000,0.000000,31.687208,33.595254,94.937436,26.963622,28.96,404.280558,17.512453,11.140233,0,0,0,0,0

3,00:30-00:45,30.288460,17.947269,5.711306,79.647431,0.000000,13.544562,28.397762,34.410718,0.000000,0.000000,12.654077,0.000000,0.960341,0.000000,40.923403,134.489874,0.000000,41.183964,49.003704,441.399861,45.829469,147.648759,6.183387,0.000000,47.726051,88.816800,0.000000,0.000000,0.000000,10.192075,0.000000,0.000000,0.000000,37.839432,381.855865,0.000000,114.037875,38.143070,0.000000,35.325627,119.386794,0.000000,0.000000,0.000000,31.687208,33.595254,94.937436,26.963622,28.96,404.280558,17.512453,11.651443,0,0,0,0,0

4,00:45-01:00,20.192306,17.947269,5.711306,79.647431,0.000000,13.544562,28.397762,34.410718,0.000000,0.000000,12.654077,0.000000,0.960341,0.000000,40.923403,134.489874,0.000000,41.183964,49.003704,345.993583,45.829469,147.648759,6.183387,0.000000,47.726051,88.816800,0.000000,0.000000,0.000000,10.192075,0.000000,0.000000,0.000000,37.839432,310.858800,0.000000,114.037875,38.143070,0.000000,35.325627,119.386794,0.000000,0.000000,0.000000,31.687208,33.595254,94.937436,26.963622,26.07,404.280558,17.512453,11.670721,0,0,0,0,0

5,01:00-01:15,20.192306,13.361708,5.711306,79.647431,0.000000,10.668716,28.397762,34.410718,0.000000,0.000000,12.654077,0.000000,0.960341,0.000000,29.707675,134.489874,0.000000,41.183964,49.003704,345.702562,45.829469,147.648759,6.430722,0.000000,47.726051,88.816800,0.000000,0.000000,0.000000,10.192075,0.000000,0.000000,0.000000,37.839432,310.858800,0.000000,114.037875,38.143070,0.000000,35.325627,119.386794,0.000000,0.000000,0.000000,31.687208,23.667553,94.937436,26.963622,26.07,404.280558,17.512453,11.670721,0,0,0,0,0

