Column1,Time,GNA/NR/2025/03/01/4651,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,GNA/NR/2025/03/01/3469,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/8036,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/5143,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/1906,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/9482,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,6.75,66.13,0,8.67,0,2.72,1.36,272.49,23.41,100.4,0,237.82,6.55,30.28,32,23.41,260.78,17.35,74.72,79.27,25.87,23.41,2.61,200,0,0,42,61.99,13.34,0,0,20.67,20.67,50.34,50.33,0,0,8.8,0,0,0,0,0,0,0,0,0

2,00:15-00:30,6.75,66.13,0,8.67,0,2.72,1.36,272.49,23.41,100.4,0,237.82,6.55,30.28,32,23.41,260.78,17.35,86.93,79.27,25.87,23.41,2.61,200,0,0,42,61.5,13,0,0,20.5,20.5,49.66,49.67,0,0,7.2,0,0,0,0,0,0,0,0,0

3,00:30-00:45,6.75,66.13,0,8.67,0,2.72,1.36,272.49,23.41,100.4,0,237.82,6.55,30.78,32,23.41,260.78,17.35,86.93,79.27,25.87,23.41,2.61,200,0,0,42,60.49,12.66,0,0,20.17,20.17,48.66,48.67,0,0,7,0,0,0,0,0,0,0,0,0

4,00:45-01:00,6.75,66.13,0,8.67,0,2.72,1.36,272.49,23.41,100.4,0,237.82,6.55,30.78,32,23.41,260.78,17.35,86.93,79.27,25.87,23.41,2.61,200,0,0,42,60,12.34,0,0,20,20,48.34,48.33,0,0,7,0,0,0,0,0,0,0,0,0

5,01:00-01:15,6.75,66.13,0,8.67,0,2.72,1.36,272.49,23.41,100.4,0,237.82,6.46,30.78,32,23.41,260.78,17.35,86.93,79.27,25.87,23.41,2.61,200,0,0,42,58.99,12,0,0,19.67,19.67,48,48,0,0,7,0,0,0,0,0,0,0,0,0

6,01:15-01:30,6.75,66.13,0,8.67,0,2.72,1.36,272.49,23.41,100.4,0,237.82,6.46,30.78,32,23.41,260.78,17.35,86.93,79.27,25.87,23.41,2.61,200,0,0,42,58.01,12,0,0,19.33,19.33,47.34,47.33,0,0,7,0,0,0,0,0,0,0,0,0

