Time,Block,NR/2023/13383/A,NR/2023/16291/F,NR/2023/16077/A,NR/2023/16437/F,NR/2023/13148/A,NR/2023/16871/C,NR/2023/13519/A,NR/2023/16869/C,NR/2023/16861/C,NR/2023/13254/A,NR/2023/16724/F,NR/2023/13165/A,NR/2023/13150/A,NR/2023/16520/F,ER/2023/10679/C,NR/2023/13908/A,NR/2023/13636/A,ER/2023/10677/C,NR/2023/16291/F/II,NR/2023/13385/A,NR/2023/16858/C,NR/2023/16866/C,NR/2023/16857/D,NR/2023/13253/A,NR/2023/13242/A,NR/2023/13376/A,NR/2023/16191/A,NR/2023/16856/D,NR/2023/16842/D,NR/2023/13387/A,NR/2023/16841/D,NR/2023/16185/A,NR/2023/15770/A,NR/2023/16864/C,NR/2023/16073/A,Total
,,APPCPL,ITCLH,APPCPL,NVVNL,KEIPL,SJVNL,STATKRAFT,SJVNL,GBHHPL,APPCPL,IEXL,GMRETL,KEIPL,IEXL,IEXL,TPTCL,NVVNL,IEXL,ITCLH,NVVNL,KEIPL,TPDDL,KEIPL,APPCPL,APPCPL,APPCPL,MANIKARAN,NVVNL,IEXL,NVVNL,IEXL,MANIKARAN,NVVNL,SJVNL,APPCPL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,UTTAR PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,MEGHALAYA,UTTAR PRADESH,DELHI,NA,NA,DELHI,ANDHRA PRADESH,MP,ODISHA,HIMACHAL PRADESH,UTTAR PRADESH,UTTARAKHAND,SIKKIM,MEGHALAYA,HIMACHAL PRADESH,NA,TAMIL NADU,NA,TAMIL NADU,HIMACHAL PRADESH,NA,NA,GOA,
,,HP,ITCWIND,HP,KAMENG,Meghalaya_Ben,BCMLB001,HP,RSRPL_BKN,GBHHPL,Meghalaya_Ben,Teesta_III,Meghalaya_Ben,Meghalaya_Ben,PPGCL,EDWPCL12,JPL,KAMENG,BYPL,ITCWIND,JP BINA,MAITHAN_ISPAT,CHANJUII,LAPL-UP,UTTARAKHAND,SIKKIM,Meghalaya_Ben,HP,SOLAPUR_SOLAR,OPGPGPLU4TN,JPNIGRIE_JNSTPP,OPGPGUNIT1TN,HP,SKS Raigarh,DIKCHU,GOA_Beneficiary,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,ITCLH,BRPL,TPDDL,BYPL,NDMC,BYPL,NDMC,DIAPL,BYPL,BRPL,BYPL,BYPL,BRPL,VLSEZ,BRPL,BRPL,IPCL_WB,ITCLH,BRPL,BYPL,TPDDL,BYPL,BYPL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,
,,North-North,South-West-North,North-North,North East-East-North,North East-East-North,North-North,North-North,North-North,North-North,North East-East-North,East-North,North East-East-North,North East-East-North,North-North,North-East,West-North,North East-East-North,North-East,South-East-North,West-North,East-North,North-North,North-North,North-North,East-North,North East-East-North,North-North,West-North,South-East-North,West-North,South-East-North,North-North,West-North,East-North,West-North,
1,00:00-00:15,46.110000,0.830000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.040000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.79

2,00:15-00:30,46.110000,0.830000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.040000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.79

3,00:30-00:45,46.110000,0.830000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.040000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.79

4,00:45-01:00,46.110000,0.830000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.040000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.79

5,01:00-01:15,46.110000,0.470000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.150000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.44

6,01:15-01:30,46.110000,0.470000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.150000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.44

7,01:30-01:45,46.110000,0.470000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.150000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.44

8,01:45-02:00,46.110000,0.470000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.150000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.44

9,02:00-02:15,46.110000,0.630000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.36

10,02:15-02:30,46.110000,0.630000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.36

11,02:30-02:45,46.110000,0.630000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.36

12,02:45-03:00,46.110000,0.630000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,0.000000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1349.36

13,03:00-03:15,46.110000,0.630000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.71

14,03:15-03:30,46.110000,0.630000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.71

15,03:30-03:45,46.110000,0.630000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.71

16,03:45-04:00,46.110000,0.630000,107.590000,148.040000,0.000000,0.000000,0.000000,0,7.070000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1447.71

