Time,Block,NR/2023/18162/C,WR/2023/20577/A/1854,NR/2023/18165/C,NR/2023/17270/A,NR/2023/18164/C,WR/2023/19446/A,NR/2023/18105/A/1747,NR/2023/18062/A/1753,NR/2023/18163/C,WR/2023/20256/A/1858,NR/2023/17525/A,NER/2023/1742/C,NR/2023/18074/A/1761,Total
,,NVVNL,APPCPL,SJVNL,GMRETL,SJVNL,MANIKARAN,IEXL,IEXL,TPDDL,MANIKARAN,APPCPL,PXIL,ITCLH,Total

,,NA,DELHI,NA,DELHI,NA,DELHI,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,ANDHRA PRADESH,
,,SOLAPUR_SOLAR,BRPL,RSRPL_BKN,BYPL,RSRPL_BKN,BYPL,BSHP,SNJSUGARLTDAP,CHANJUII,BRPL,BYPL,BYPL,ITCWIND,
,,DELHI,GOA,DELHI,RAJASTHAN,DELHI,MAHARASHTRA,DELHI,DELHI,DELHI,GOA,HIMACHAL PRADESH,ARUNACHAL PRADESH,DELHI,
,,MES (Delhi),GOA_Beneficiary,NDMC,RUVNL,NDMC,AEML,MES (Delhi),MES (Delhi),TPDDL,GOA_Beneficiary,HP,Arunachal_Ben,ITCLH,
,,West-North,North-West,North-North,North-North,North-North,North-West,North-North,South-East-North,North-North,North-West,North-North,North-East-North East,South-West-North,
1,00:00-00:15,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.430000,182.84

2,00:15-00:30,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.430000,182.84

3,00:30-00:45,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.430000,182.84

4,00:45-01:00,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.430000,182.84

5,01:00-01:15,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

6,01:15-01:30,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

7,01:30-01:45,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

8,01:45-02:00,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

9,02:00-02:15,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

10,02:15-02:30,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

11,02:30-02:45,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

12,02:45-03:00,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

13,03:00-03:15,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

14,03:15-03:30,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

15,03:30-03:45,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

16,03:45-04:00,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.340000,182.75

17,04:00-04:15,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

18,04:15-04:30,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

19,04:30-04:45,0,0.000000,0,0.000000,0,75.000000,0.960000,4.790000,2.010000,0.000000,59.650000,40.000000,0.380000,182.79

