Column1,Block,NR/2024/23856/C,NR/2024/23857/C,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,NR/2024/23769/A/42372,NR/2024/23807/A/42371,NR/2024/23844/C,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9061,WR/2024/24788/A/42527,NR/2024/23420/A/42369,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/3646,NR/2024/23851/C,Total
,,SJVNL,SJVNL,NDMC,NDMC,BAWANA_GAS,IEXL,IEXL,DIAPL,PUNJAB,NDMC,APPCPL,ITCLH,DELHI,NDMC,NDMC,NDMC,MANIKARAN,APPCPL,PTC,PTC,NVVNL,
,,NA,NA,NA,NA,DELHI_UT,KARNATAKA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,TPSL_BKN2,RSRPL_BKN,TRN_ENERGY,SKS_Raigarh,BAWANA_GAS,NSLSUGAR,KGEPL_HP,GBHHPL,BAWANA_GAS,JPL2,BRPL,ITCWIND,CHANJUII,RKM_POWER,RKM_POWER,JITPL,BRPL,BYPL,BRPL,BYPL,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,
,,NDMC,NDMC,NDMC,NDMC,HARYANA,MES_Delhi,MES_Delhi,DIAPL,PUNJAB,NDMC,GOA_Beneficiary,ITCLH,TPDDL,NDMC,NDMC,NDMC,AEML,AEML,HP,HP,MES_Delhi,
,,North-North,North-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,North-West,South-West-North,North-North,West-North,West-North,East-North,North-West,North-West,North-North,North-North,West-North,
1,00:00-00:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

2,00:15-00:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

3,00:30-00:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

4,00:45-01:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

5,01:00-01:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

6,01:15-01:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

7,01:30-01:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

8,01:45-02:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

9,02:00-02:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

10,02:15-02:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

11,02:30-02:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

12,02:45-03:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.48,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.9200000000001

13,03:00-03:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.87

14,03:15-03:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.87

15,03:30-03:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.87

16,03:45-04:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.75,26.17,26.17,17.45,0,0,285.39,95.12,0,562.87

17,04:00-04:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

18,04:15-04:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

19,04:30-04:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

20,04:45-05:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

21,05:00-05:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

22,05:15-05:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

23,05:30-05:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

24,05:45-06:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,285.39,95.12,0,562.79

25,06:00-06:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,0,0,0,182.28000000000003

26,06:15-06:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,0,0,0,182.28000000000003

27,06:30-06:45,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,0,0,0,182.28000000000003

28,06:45-07:00,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.43,3.67,26.17,26.17,17.45,0,0,0,0,0.16,182.44000000000003

29,07:00-07:15,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.58,3.67,26.17,26.17,17.45,0,0,0,0,0.54,182.97

30,07:15-07:30,0,0,7.2,8.72,26.91,5.76,4.8,1.92,26.91,26.17,0,0.58,3.67,26.17,26.17,17.45,0,0,0,0,0.97,183.4

31,07:30-07:45,0,0,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.58,3.67,33.14,33.14,22.1,0,0,0,0,1.44,211.74999999999997

32,07:45-08:00,0,0,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.58,3.67,33.14,33.14,22.1,0,0,0,0,1.93,212.23999999999998

33,08:00-08:15,0,0,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.67,33.14,33.14,22.1,0,0,0,0,2.46,213.14999999999998

34,08:15-08:30,0,0,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.67,33.14,33.14,22.1,0,0,0,0,3.06,213.74999999999997

35,08:30-08:45,0,0,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.67,33.14,33.14,22.1,0,0,0,0,3.66,214.34999999999997

36,08:45-09:00,0,0,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.67,33.14,33.14,22.1,0,0,0,0,4.22,214.90999999999997

37,09:00-09:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,4.73,268.1000000000001

38,09:15-09:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,5.31,268.68000000000006

39,09:30-09:45,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,5.89,269.26000000000005

40,09:45-10:00,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,6.4,269.77000000000004

41,10:00-10:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,6.84,270.21000000000004

42,10:15-10:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,7.17,270.5400000000001

43,10:30-10:45,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,7.39,270.76000000000005

44,10:45-11:00,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,7.58,270.95000000000005

45,11:00-11:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,7.71,271.08000000000004

46,11:15-11:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,7.86,271.2300000000001

47,11:30-11:45,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,7.84,271.21000000000004

48,11:45-12:00,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.67,33.14,33.14,22.1,0,0,0,0,8.17,271.5400000000001

49,12:00-12:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,7.13,270.40000000000003

50,12:15-12:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,6.44,269.71000000000004

51,12:30-12:45,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,8.33,271.6

52,12:45-13:00,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,7.43,270.70000000000005

53,13:00-13:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,7.23,270.4100000000001

54,13:15-13:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,4.03,267.21000000000004

55,13:30-13:45,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,6.56,269.74000000000007

56,13:45-14:00,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,7.64,270.82000000000005

57,14:00-14:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.57,33.14,33.14,22.1,0,0,0,0,6.07,269.44000000000005

58,14:15-14:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.57,33.14,33.14,22.1,0,0,0,0,4.31,267.68000000000006

59,14:30-14:45,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.57,33.14,33.14,22.1,0,0,0,0,2.1,265.4700000000001

60,14:45-15:00,28.79,23.99,7.2,11.04,26.91,5.76,4.8,1.92,26.91,33.14,0,0.96,3.57,33.14,33.14,22.1,0,0,0,0,2.98,266.3500000000001

61,15:00-15:15,28.79,23.99,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,5.77,270

62,15:15-15:30,28.79,23.99,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,4.43,268.66

63,15:30-15:45,28.79,22.55,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,1.93,264.72

64,15:45-16:00,26.68,15.64,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.86,3.57,33.14,33.14,22.1,0,0,0,0,1.19,254.95999999999995

65,16:00-16:15,22.17,15.64,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,1.62,250.79

66,16:15-16:30,17.66,9.02,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,2.26,240.29999999999998

67,16:30-16:45,13.34,8.25,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,2,234.94999999999996

68,16:45-17:00,9.5,1.34,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.77,3.57,33.14,33.14,22.1,0,0,0,0,1.09,223.28999999999996

69,17:00-17:15,0,0,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.58,3.67,33.14,33.14,22.1,0,0,0,0,0.57,211.84

70,17:15-17:30,0,0,7.2,11.04,26.91,5.76,4.8,2.88,26.91,33.14,0,0.58,3.67,33.14,33.14,22.1,0,0,0,0,0.33,211.60000000000002

