Block,Time Block,NAPP,NLCIIST2,NLCEXP,MAPS,NJPC,NLCIIST1,RSTPSU7,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,KGSU1AND2,KGSU3AND4,CHAMERA2,JHAJJAR,BRBCL,CHAMERA1,BSIUL,CHAMERA3,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,AURY_GF,AURY_CRF,ANTA_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ANTA_CRF,ANTA_LF,ANTA_GF,RIHAND3,RSTPSU1TO6,NLCTS2EXP,RAMPUR,NTPL,RAPPC,RIHAND1,PARBATI3,RIHAND2,RAPPB,NNTPP,SEWA2,SINGRAULI,SASAN,SALAL,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,TANAKPUR,URI2,UNCHAHAR3,TALA,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,341.25,16.9,0,0,0,8.8,20.08,327.76,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,11.5,4.41,25.48,0,0,40.94,14.41,2.13,0,19.85,0,0,0,0,0,0,0

2,00:15-00:30,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,379.87,19.14,0,0,0,8.8,20.08,327.76,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,11.5,4.41,25.48,0,0,40.94,14.41,2.13,0,19.85,0,0,0,0,0,0,0

3,00:30-00:45,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,360.56,19.31,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,13.47,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,2.13,0,19.85,0,0,0,0,0,0,0

4,00:45-01:00,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,331.59,19.26,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,2.13,0,19.85,0,0,0,0,0,0,0

5,01:00-01:15,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,321.94,17.13,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,2.13,0,19.85,0,0,0,0,0,0,0

6,01:15-01:30,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,312.28,15.17,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,2.13,0,19.85,0,0,0,0,0,0,0

7,01:30-01:45,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,273.66,10.82,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,1.6,0,19.85,0,0,0,0,0,0,0

8,01:45-02:00,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,273.66,10.81,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,13.47,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,1.6,0,19.85,0,0,0,0,0,0,0

9,02:00-02:15,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,273.66,11.39,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,11.51,4.41,25.48,0,0,40.94,14.41,1.6,0,19.85,0,0,0,0,0,0,0

10,02:15-02:30,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,10.81,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,11.51,4.41,25.48,0,0,40.94,14.41,1.6,0,19.85,0,0,0,0,0,0,0

11,02:30-02:45,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,14.07,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,25.48,0,0,40.94,14.41,1.6,0,19.85,0,0,0,0,0,0,0

12,02:45-03:00,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,16.81,0,0,0,8.8,20.08,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,21.97,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

13,03:00-03:15,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,21.97,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

14,03:15-03:30,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,17.44,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,21.97,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

15,03:30-03:45,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,18.17,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

16,03:45-04:00,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

17,04:00-04:15,39.7,0,0,0,0,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

18,04:15-04:30,39.7,0,0,0,20.11,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,320.92,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

19,04:30-04:45,39.7,0,0,0,20.11,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,320.92,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

20,04:45-05:00,39.7,0,0,0,41.52,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,320.92,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

21,05:00-05:15,39.7,0,0,0,42.79,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

22,05:15-05:30,39.7,0,0,0,68.12,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,3.86,256.28,19.31,0,0,0,8.8,17.3,327.76,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,2.25,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

23,05:30-05:45,39.7,0,0,0,90.33,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,7.72,256.28,19.31,0,1.06,9.35,17.6,17.3,316.1,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,13.47,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

24,05:45-06:00,39.7,0,0,0,112.92,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,11.59,256.28,19.31,11.44,6.3,18.69,26.53,17.3,316.1,47.72,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,2.46,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

25,06:00-06:15,39.7,0,0,0,135.5,0,0,19.04,143.18,0,0,0,0,42.78,0,0,0,38.15,256.28,19.31,13.57,18.89,28.06,36.35,17.3,327.76,47.72,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,6.14,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,0,0,0,35.29,30.06,3.2,0,17.11,0,0,0,0,0,0,0

26,06:15-06:30,39.7,0,0,0,135.5,0,0,19.04,143.18,0,0,0,0,42.78,0,0,0,38.15,256.28,19.31,13.57,18.89,28.06,36.35,17.3,327.76,47.72,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,31.96,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,0,0,0,35.29,30.06,37.84,0,17.11,0,0,0,0,0,0,0

27,06:30-06:45,39.7,0,0,0,135.5,0,0,19.04,143.18,0,0,0,0,42.78,0,0,0,38.15,256.28,19.31,13.57,18.89,28.06,36.35,17.3,327.76,47.72,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,31.96,114.66,0,0,0,128.89,336.94,76.64,0,0,0,0,6.81,4.41,0,0,0,35.29,30.06,37.84,0,17.11,0,0,0,0,0,0,0

28,06:45-07:00,39.7,0,0,0,135.5,0,0,19.04,143.18,0,0,0,0,42.78,0,0,0,38.15,256.28,19.31,13.57,18.89,28.06,36.35,17.3,327.76,47.72,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,31.96,114.66,0,0,0,128.89,336.94,13.47,0,0,0,0,6.81,4.41,0,0,0,35.29,29.62,3.2,0,17.11,0,0,0,0,0,0,0

29,07:00-07:15,39.7,0,0,0,112.92,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,11.59,256.28,19.31,11.44,6.3,18.69,26.53,17.3,327.76,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,31.96,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,14.41,1.6,0,17.11,0,0,0,0,0,0,0

30,07:15-07:30,39.7,0,0,0,112.92,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,11.59,256.28,19.31,0,6.3,9.35,17.6,17.3,327.76,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,31.96,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

31,07:30-07:45,39.7,0,0,0,90.33,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,11.59,256.28,19.31,0,6.3,9.35,8.8,17.3,323.11,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,31.96,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

32,07:45-08:00,39.7,0,0,0,67.75,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,11.59,256.28,19.31,0,6.3,9.35,8.8,17.3,290.21,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,4.91,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

33,08:00-08:15,39.7,0,0,0,40.23,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,11.59,256.28,19.31,0,6.3,9.35,8.8,17.3,290.21,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,2.46,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

34,08:15-08:30,39.7,0,0,0,40.23,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,9.35,8.8,17.3,286.37,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

35,08:30-08:45,39.7,0,0,0,40.23,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,9.35,8.8,17.3,310.5,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,3.2,0,17.11,0,0,0,0,0,0,0

36,08:45-09:00,39.7,0,0,0,40.23,0,0,8.56,143.18,0,0,0,0,42.78,0,0,0,2.32,256.28,19.31,0,0,9.35,8.8,17.3,299.4,31.82,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,6.81,4.41,0,0,0,35.29,0,37.84,0,17.11,0,0,0,0,0,0,0

37,09:00-09:15,39.7,0,0,0,22.58,0,0,8.56,123.42,0,0,0,0,36.88,0,0,0,2.32,256.28,19.31,0,0,9.35,0,17.3,318.99,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,11.5,4.41,0,0,0,35.29,0,37.84,0,17.11,0,0,0,0,0,0,0

38,09:15-09:30,39.7,0,0,0,22.58,0,0,8.56,123.42,0,0,0,0,36.88,0,0,0,2.32,256.28,19.31,0,0,9.35,0,17.3,303.34,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,88.83,0,114.66,0,0,0,128.89,336.94,12.34,0,0,0,0,11.5,4.41,0,0,0,35.29,0,3.2,0,17.11,0,0,0,0,0,0,0

39,09:30-09:45,39.7,0,0,0,22.58,0,0,8.56,123.42,0,0,0,0,36.88,0,0,0,2.32,256.28,19.31,0,0,0,0,17.3,299.68,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,113.48,336.94,12.34,0,0,0,0,7.42,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

40,09:45-10:00,39.7,0,0,0,22.58,0,0,8.56,123.42,0,0,0,0,36.88,0,0,0,2.32,256.28,19.31,0,0,0,0,17.3,290.03,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,113.48,336.94,12.34,0,0,0,0,7.42,4.41,0,0,0,35.29,0,1.6,0,17.11,0,0,0,0,0,0,0

41,10:00-10:15,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,290.03,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,113.48,336.94,12.34,0,0,0,0,7.42,4.41,0,0,0,30.68,0,1.6,0,15.42,0,0,0,0,0,0,0

42,10:15-10:30,39.7,0,0,0,22.58,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,290.03,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,113.48,336.94,12.34,0,0,0,0,7.42,4.41,0,0,0,30.68,0,1.6,0,14.97,0,0,0,0,0,0,0

43,10:30-10:45,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,261.24,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,85.33,336.94,12.34,0,0,0,0,7.42,4.41,0,0,0,30.68,0,1.6,0,14.97,0,0,0,0,0,0,0

44,10:45-11:00,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,237.11,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,99.76,0,0,0,85.33,336.94,12.34,0,0,0,0,7.42,4.41,0,0,0,30.68,0,1.6,0,14.97,0,0,0,0,0,0,0

45,11:00-11:15,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,212.97,15.91,0,0,0,0,0,0,0,0,0,0,0,0,118.34,0,0,0,0,50.11,76.05,0,87.05,0,0,0,85.33,336.94,12.34,0,0,0,0,5.56,4.41,0,0,0,30.68,0,1.6,0,14.97,0,0,0,0,0,0,0

46,11:15-11:30,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,19.31,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,118.34,0,0,0,0,50.11,76.05,0,87.05,0,0,0,85.33,336.94,12.34,0,0,0,0,5.56,4.41,0,0,0,30.68,0,3.2,0,14.97,0,0,0,0,0,0,0

47,11:30-11:45,39.7,0,0,0,0,0,0,8.56,106.36,0,0,0,0,31.8,0,0,0,2.32,237.94,18.76,0,0,0,0,15.1,181.38,15.91,0,0,0,0,0,0,0,0,0,0,0,0,120.03,0,0,0,0,50.11,76.05,0,87.05,0,0,0,86.51,336.94,12.34,0,0,0,0,5.56,4.41,0,0,0,30.68,0,37.84,0,14.97,0,0,0,0,0,0,0

