Column1,Time,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/8090,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/7119,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/2171,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/6020,NR/01102023/31052040/LT-31,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821
1,00:00-00:15,100.81,8.8,273.62,24.08,24.08,21.77,7.96,227.97,66.36,17.5,5.24,5.68,75.76,8.59,163.3,4.37,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,70,0,0,0,31.66,0,28,70,7.4,31.67,0,0,95,24.19,32.9

2,00:15-00:30,100.81,8.8,273.62,24.08,24.08,21.77,7.96,227.97,66.36,17.5,5.24,5.68,75.76,8.59,163.3,4.37,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,70,0,0,0,31.66,0,28,70,7.4,31.67,0,0,95,24.19,32.9

3,00:30-00:45,72.58,8.8,273.62,24.08,24.08,21.77,7.96,227.97,70.54,17.5,5.24,5.68,75.76,8.59,163.3,4.37,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,71,0,0,0,31.66,0,28,71,7.2,31.67,0,0,95,24.19,32.9

4,00:45-01:00,72.58,8.8,273.62,24.08,24.08,21.77,7.96,227.97,70.54,17.5,5.24,5.68,75.76,8.59,163.3,4.37,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,70.67,0,0,0,31.66,0,12.66,70.67,7,31.67,0,0,95,24.19,32.9

5,01:00-01:15,72.58,8.8,273.62,24.08,24.08,21.77,7.96,227.97,70.54,17.5,5.16,5.68,75.76,8.5,163.3,4.19,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,55.67,0,0,0,18.34,0,12.66,55.67,7,18.33,0,0,55,24.19,32.9

6,01:15-01:30,72.58,8.8,273.62,24.08,24.08,21.77,7.96,171.9,70.54,17.5,5.16,5.68,75.76,8.5,163.3,4.19,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,55,0,0,0,18.34,0,12.66,55,7,18.33,0,0,55,24.19,32.9

7,01:30-01:45,72.58,8.8,273.62,26.91,26.91,21.77,7.96,171.9,70.54,17.5,5.16,5.68,75.76,8.5,163.3,4.19,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,26.67,0,0,0,7.34,0,10,26.67,7,7.33,0,0,22,24.19,32.9

8,01:45-02:00,72.58,8.8,273.62,26.91,26.91,21.77,7.96,171.9,70.54,17.5,5.16,5.68,75.76,8.5,163.3,4.19,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,26,0,0,0,7,0,10,26,7,7,0,0,21,24.19,32.9

9,02:00-02:15,53.22,8.8,273.62,26.91,26.91,21.77,7.96,171.9,70.54,17.5,5,5.68,75.76,8.41,163.3,4.19,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,25,0,0,0,7,0,11,25,7,7,0,0,21,24.19,32.9

10,02:15-02:30,53.22,8.8,273.62,26.91,26.91,21.77,7.96,171.9,70.54,17.5,5,5.68,75.76,8.41,163.3,4.19,0,0,2.42,31.3,96.77,0,0,0,0,0,0,0,24.67,0,0,0,6.84,0,11.66,24.67,7,6.83,0,0,20.5,24.19,32.9

11,02:30-02:45,53.22,8.8,273.62,26.91,26.91,21.77,7.96,171.9,70.54,17.5,5,5.68,75.76,8.41,163.3,4.19,0,0,2.42,30.78,96.77,0,0,0,0,0,0,0,24.67,0,0,0,6.84,0,12.34,24.67,7,6.83,0,0,20.5,24.19,32.9

12,02:45-03:00,53.22,8.8,273.62,26.91,26.91,21.77,7.96,171.9,70.54,17.5,5,5.68,57.77,8.41,163.3,4.19,0,0,2.42,30.78,96.77,0,0,0,0,0,0,0,23.33,0,0,0,6.84,0,13.34,23.33,7,6.83,0,0,20.5,24.19,32.9

