Block,Time,UNCHAHAR3,KHSTPP-I,SASAN,BRBCL,TALA,FSTPP I & II,KHSTPP-II,RIHAND3,DULHASTI,UNCHAHAR1,RAPPB,SINGRAULI_HYDRO,CHAMERA2,RAPPC,AURY_CRF,DADRT2,AURY_RF,TEHRI,DADRI_LF,AURY_GF,RAMPUR,JHAJJAR,AURY_LF,URI2,DHAULIGNGA,ANTA_LF,ANTA_RF,DADRI_CRF,DADRI_GF,KISHANGANGA,DADRI_RF,SALAL,NJPC,UNCHAHAR2,RIHAND2,NAPP,SINGRAULI,ANTA_CRF,URI,PARBATI3,CHAMERA1,RIHAND1,KOTESHWR,UNCHAHAR4,ANTA_GF,TANAKPUR,SEWA2,KOLDAM,CHAMERA3,BSIUL,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.660560,31.031278,333.691312,14.469000,9.330190,13.793780,143.050180,125.957564,57.080594,20.560096,0.000000,1.107212,46.782935,65.584005,0.000000,664.046023,0.000000,62.103359,0.000000,0.000000,6.506724,407.485624,0.000000,26.203454,41.994958,0.000000,0.000000,0.000000,0.000000,8.045392,0.000000,64.449749,173.591783,42.125722,119.976948,47.373781,118.073879,0.000000,38.337062,4.120860,40.656038,93.620163,37.808120,2.980614,0.000000,12.480091,0.000000,9.850160,33.598227,6.289964,5.040023,0,0,0,0,0

2,00:15-00:30,26.660560,31.031278,333.691312,14.469000,9.330190,13.793780,143.050180,125.957564,57.080594,20.561243,0.000000,1.107212,46.782935,65.584005,0.000000,664.046023,0.000000,62.103359,0.000000,0.000000,6.506724,407.485624,0.000000,26.203454,41.994958,0.000000,0.000000,0.000000,0.000000,8.045392,0.000000,64.449749,173.591783,42.125722,119.976948,47.373781,118.073879,0.000000,38.337062,4.120860,40.656038,93.620163,37.808120,2.980614,0.000000,12.480091,0.000000,9.850160,33.598227,6.289964,5.040023,0,0,0,0,0

3,00:30-00:45,26.660560,31.031278,333.691312,14.469000,9.330190,13.793780,143.050180,125.957564,57.080594,20.561243,0.000000,1.107212,46.782935,65.584005,0.000000,664.046023,0.000000,62.103359,0.000000,0.000000,6.506724,407.485624,0.000000,26.203454,41.994958,0.000000,0.000000,0.000000,0.000000,8.045392,0.000000,64.449749,173.591783,42.125722,119.976948,47.373781,118.073879,0.000000,38.337062,4.120860,40.656038,93.620163,37.808120,2.980614,0.000000,12.480091,0.000000,9.850160,33.598227,6.289964,5.040023,0,0,0,0,0

4,00:45-01:00,26.660560,31.031278,333.691312,14.469000,9.330190,13.793780,143.050180,125.957564,57.080594,20.561243,0.000000,1.107212,46.782935,65.584005,0.000000,664.046023,0.000000,62.103359,0.000000,0.000000,6.506724,407.485624,0.000000,26.203454,41.994958,0.000000,0.000000,0.000000,0.000000,8.045392,0.000000,64.449749,173.591783,42.125722,119.976948,47.373781,118.073879,0.000000,38.337062,18.396695,40.656038,93.620163,37.808120,2.980614,0.000000,12.480091,0.000000,9.850160,33.598227,6.289964,5.040023,0,0,0,0,0

5,01:00-01:15,26.660560,31.031278,333.691312,14.469000,9.613782,13.793780,143.050180,125.957564,57.080594,20.561243,0.000000,1.107212,46.782935,65.584005,0.000000,664.046023,0.000000,62.103359,0.000000,0.000000,6.506724,407.485624,0.000000,26.203454,41.994958,0.000000,0.000000,0.000000,0.000000,8.045392,0.000000,64.449749,173.591783,42.125722,119.976948,47.373781,118.073879,0.000000,38.337062,18.396695,40.656038,93.620163,37.808120,2.980614,0.000000,12.480091,0.000000,9.850160,33.598227,6.289964,5.040023,0,0,0,0,0

