Block,Time Block,JHAJJAR,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA3,CHAMERA2,DADRT2,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR1,SINGRAULI,TALST2,TANAKPUR,TALA,SINGRAULI_HYDRO,TANDA2,SIMHST2,KGSU1AND2,KGSU3AND4,KOLDAM,KKNPPU2,KHSTPP-II,KKNP,KOTESHWR,KISHANGANGA,NLCEXP,KUDGI,NJPC,MAPS,NAPP,RIHAND1,RAPPB,RSTPSU1TO6,NLCIIST1,RAPPD,NLCIIST2,NLCTS2EXP,RAMPUR,RIHAND3,NNTPP,RAPPC,NTPL,PARBATI3,RIHAND2,PARBATI2,SEWA2,SASAN,RSTPSU7,SALAL,SIMHST1,KHSTPP-I,BRBCL,CHAMERA1,BSIUL,UNCHAHAR3,URI,UNCHAHAR4,AURY_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,451.77,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,6.06,7.38,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,41.5,120.34,31.21,18.26,395.81,0,81.38,0,43.98,17.74,40.72,18.89,26.74,49.28,1.87,19.31,0,0,0,11.82,0,0,36.8,0,0,0,23.39,0,0,0,0,0,0,0

2,00:15-00:30,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,6.06,7.38,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,41.5,120.34,31.21,18.26,398.84,0,81.38,0,43.98,15.77,40.72,18.89,26.74,49.28,1.87,19.31,0,0,0,11.82,0,0,36.8,0,0,0,23.39,0,0,0,0,0,0,0

3,00:30-00:45,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,6.06,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,31.21,18.26,398.84,0,81.38,0,43.98,13.29,40.72,18.89,26.74,49.28,1.87,2.1,0,0,0,1.16,0,0,36.8,0,0,0,1.76,0,0,0,0,0,0,0

4,00:45-01:00,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,6.06,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,31.21,18.26,398.84,0,81.38,0,43.98,11.3,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,6.06,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,31.21,18.26,398.84,0,81.38,0,43.98,11.18,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,6.06,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,31.21,18.26,398.84,0,81.38,0,43.98,11.07,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,2.36,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,31.21,18.26,398.84,0,81.38,0,43.98,10.84,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,443.08,21.14,17.58,56.69,33.84,47.15,443.32,0,42.51,29.3,21.19,145.23,0,2.36,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,31.21,18.26,398.84,0,81.38,0,43.98,10.91,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,443.08,21.14,17.58,56.69,33.84,47.15,399.94,0,42.51,29.3,21.19,145.23,0,1.98,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,38.47,18.26,398.84,0,81.38,0,43.98,11.26,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,443.08,21.14,17.58,56.69,33.84,47.15,332.32,0,42.51,29.3,21.19,145.23,0,1.98,5.68,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,38.47,12.18,398.84,0,81.38,0,43.98,11.58,40.72,18.89,26.74,49.28,1.87,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,419.49,21.14,17.58,56.69,33.84,47.15,332.32,0,42.51,29.3,21.19,145.23,0,1.98,5.11,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,38.47,12.18,398.84,0,81.38,0,43.98,14.25,40.72,12.6,26.74,49.28,1.74,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,461.83,21.14,17.58,56.69,33.84,47.15,360.05,0,42.51,29.3,21.19,145.23,0,1.98,5.11,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,38.47,12.18,398.84,0,81.38,0,43.98,14.69,40.72,12.6,26.74,49.28,1.74,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,491.38,31.71,17.58,56.69,33.84,47.15,325.43,0,42.51,29.3,21.19,145.23,0,6.06,5.11,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,38.47,12.18,398.84,0,77.45,0,43.98,16.49,40.72,12.6,26.74,49.28,1.74,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,491.38,31.71,17.58,56.69,33.84,47.15,277.13,0,42.51,29.3,21.19,145.23,0,6.06,5.11,1.04,2.57,0,0,0,9.26,0,143.26,0,10.08,8.34,0,0,160.35,0,24.52,93.92,0,0,0,20.92,0,0,6.28,92.53,0,65.57,0,37.06,120.34,38.47,12.18,398.84,0,77.45,0,43.98,17.23,40.72,12.6,26.74,49.28,1.74,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0

