Block,Time Block,CHAMERA1,BSIUL,CHAMERA2,BRBCL,CHAMERA3,DADRT2,DULHASTI,KGSU3AND4,KGSU1AND2,JHAJJAR,DHAULIGNGA,FSTPP I & II,KHSTPP-I,KHSTPP-II,KKNPPU2,KKNP,KISHANGANGA,KOLDAM,KOTESHWR,KUDGI,MAPS,NJPC,NAPP,NLCIIST1,NLCEXP,NLCIIST2,NNTPP,NLCTS2EXP,NTPL,PARBATI3,PARBATI2,RAPPC,RAPPB,RAPPD,RAMPUR,SASAN,SINGRAULI,RIHAND2,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RSTPSU7,RSTPSU1TO6,SALAL,SEWA2,SIMHST2,RIHAND3,TALST2,TANAKPUR,TALA,TANDA2,TEHRIPSP,TEHRI,TelanganaSTPP,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,URI,ANTA_GF,ANTA_CRF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_LF,ANTA_RF,AURY_LF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,27.04,0,15.11,17.94,0,499.61,36,0,0,449.05,40.85,20.01,32.61,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,42.92,12.19,62.95,0,37.19,5.46,226.16,105.59,117.92,45.11,0,0,0,0,77.14,18.15,0,125.88,0,12.61,17.4,2.51,200.08,79.24,0,41.51,21.14,2.49,0,15.75,25.69,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,27.04,0,15.11,14.92,0,433.09,36,0,0,391.32,40.85,20.01,32.61,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,42.92,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,77.14,18.15,0,125.88,0,12.61,17.4,2.51,200.08,79.24,0,41.51,21.14,1.46,0,15.75,25.69,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,27.04,0,15.11,12.06,32.66,325.33,36,0,0,340.33,40.85,20.01,32.61,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,42.92,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,77.14,18.15,0,125.88,0,12.61,22.69,2.51,200.08,79.24,0,41.51,21.14,1.46,0,15.75,25.69,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,27.04,0,15.11,11.3,32.66,277.23,36,0,0,282.61,40.85,20.01,32.61,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,42.92,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,77.14,18.15,0,125.88,0,12.61,22.69,2.51,200.08,79.24,0,41.51,21.14,1.46,0,15.75,25.69,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,27.04,0,15.11,11.45,32.66,284.93,36,0,0,282.61,40.85,20.01,32.61,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,42.92,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,77.14,18.15,0,125.88,0,12.61,22.69,2.51,200.08,79.24,0,36.02,18.15,1.46,0,15.75,22.26,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,27.04,0,15.11,10.6,32.66,284.93,36,0,0,261.33,40.85,20.01,32.99,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,42.92,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,77.14,18.15,0,125.88,0,12.61,22.83,2.51,200.08,79.24,0,36.02,18.15,1.46,0,15.75,22.26,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,27.04,0,15.11,10.62,0,236.82,36,0,0,240.16,40.85,17.25,32.99,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,82.17,18.15,0,125.88,0,12.61,22.83,2.51,200.08,79.24,0,36.02,18.15,1.46,0,15.75,22.26,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,27.04,0,15.11,12.72,0,236.82,36,0,0,240.16,40.85,17.25,32.99,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,105.59,117.92,45.11,0,0,0,0,82.17,18.15,0,125.88,0,12.61,22.83,2.51,200.08,79.24,0,36.02,18.15,1.46,0,15.75,22.26,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,27.04,0,15.11,13.06,21.75,236.82,36,0,0,240.16,40.85,15.43,32.99,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,12.61,17.54,2.51,200.08,79.24,0,30.4,14.73,1.46,0,15.75,18.66,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,27.04,0,15.11,12.99,21.75,236.82,36,0,0,240.16,40.85,14.09,32.99,124.83,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,12.61,17.54,2.51,200.08,79.24,0,30.4,14.73,1.46,0,15.75,18.66,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,27.04,0,15.11,12.06,21.75,236.82,36,0,0,240.16,40.85,14.09,32.99,142.1,0,0,6.71,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,12.61,17.54,2.51,200.08,79.24,0,30.4,14.73,1.46,0,15.75,18.66,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,27.04,0,15.11,12.99,21.75,188.72,36,0,0,240.16,40.85,14.09,30.23,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,12.61,17.54,2.51,200.08,79.24,0,30.4,14.73,1.46,0,15.75,18.66,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,27.04,0,15.11,14.04,21.75,188.72,36,0,0,239.39,40.85,14.02,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,11.46,17.54,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,27.04,0,15.11,13.84,21.75,188.72,36,0,0,239.39,40.85,14.02,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,11.46,17.54,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,27.04,0,15.11,12.71,21.75,188.72,36,0,0,239.39,40.85,14.02,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,44.34,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,11.46,19.01,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,27.04,0,15.11,15.35,21.75,188.72,36,0,0,239.39,40.85,14.02,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,44.34,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,11.46,19.01,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,17.1,0,15.11,16.59,21.75,188.72,36,0,0,239.39,40.85,17.25,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,44.34,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,11.46,19.23,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,17.1,0,15.11,17.2,21.75,188.72,36,0,0,239.39,40.85,17.25,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,44.34,12.19,62.95,0,37.19,5.46,227.3,103.63,117.27,45.11,0,0,0,0,82.17,18.15,0,125.88,0,11.46,19.23,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,17.1,0,15.11,18.04,21.75,188.72,36,0,0,239.39,40.85,17.25,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,44.34,12.19,62.95,0,37.19,5.46,243.53,103.63,117.27,45.11,0,0,0,0,79.37,18.15,0,125.88,0,11.46,19.23,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,17.1,0,15.11,17.76,21.75,188.72,36,0,0,239.39,40.85,17.25,32.99,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,44.34,12.19,62.95,0,37.19,5.46,248.94,103.63,117.27,45.11,0,0,0,0,79.37,18.15,0,125.88,0,11.46,19.1,2.51,200.08,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,17.1,0,15.11,18.04,21.75,188.72,36,0,0,239.39,40.85,17.25,28.69,142.68,0,0,4.47,8.3,43.37,0,0,169.14,23.07,0,0,0,0,0,0,40.76,12.19,62.95,0,37.19,5.46,254.36,103.63,117.89,45.11,0,0,0,0,79.37,18.15,0,125.88,0,11.46,19.1,2.51,100.04,79.24,0,30.23,14.66,1.46,0,15.75,18.56,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

