Block,Time Block,NJPC,NLCIIST2,NTPL,NLCTS2EXP,NNTPP,NLCEXP,NLCIIST1,MAPS,NAPP,KOTESHWR,KOLDAM,KUDGI,KKNP,JHAJJAR,KHSTPP-I,KHSTPP-II,KISHANGANGA,KGSU1AND2,KGSU3AND4,KKNPPU2,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,BRBCL,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR4,URI,ANTA_LF,DADRI_CRF,URI2,AURY_CRF,AURY_RF,ANTA_GF,AURY_LF,DADRI_LF,ANTA_CRF,ANTA_RF,DADRI_GF,VALLURNTECL,AURY_GF,TEHRI,TANDA2,RIHAND2,RAPPD,RAPPC,RIHAND1,RAPPB,SIMHST1,RSTPSU1TO6,TALST2,RSTPSU7,SALAL,SEWA2,SINGRAULI_HYDRO,RIHAND3,TANAKPUR,SIMHST2,TALA,SINGRAULI,SASAN,DADRI_RF,RAMPUR,PARBATI3,PARBATI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,107.37,40.43,123.69,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.51,56.69,6.3,19.32,19.92,36.34,24.83,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,4.18,103.28,0,65.41,70.67,0,0,0,0,0,81.38,18.26,1.07,81.08,6.06,0,5.54,132.34,391.23,0,6.74,16.31,31.21,0,0,0,0,0

2,00:15-00:30,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.81,40.43,123.69,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.51,56.69,6.3,19.32,19.92,36.34,24.83,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,4.4,96.2,0,65.41,64.89,0,0,0,0,0,81.38,18.26,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,16.31,31.21,0,0,0,0,0

3,00:30-00:45,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.81,37.67,114.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.47,56.69,6.3,19.32,19.46,33.25,23.66,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,4.14,96.2,0,65.41,64.89,0,0,0,0,0,81.38,12.18,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,37.06,31.21,0,0,0,0,0

4,00:45-01:00,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.81,37.67,114.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.47,56.69,6.3,19.32,19.46,32.56,23.66,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,4.14,96.2,0,65.41,64.89,0,0,0,0,0,81.38,12.18,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,37.06,31.21,0,0,0,0,0

5,01:00-01:15,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.81,35.85,114.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.44,56.69,12.6,19.32,19.04,29.95,22.87,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,12.18,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,37.06,26.13,0,0,0,0,0

6,01:15-01:30,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.88,35.85,114.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.44,56.69,12.6,19.32,19.04,29.95,22.87,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,12.18,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,37.06,26.13,0,0,0,0,0

7,01:30-01:45,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.88,35.82,114.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.44,56.69,12.6,19.32,19.04,29.95,22.87,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,12.18,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,37.06,26.13,0,0,0,0,0

8,01:45-02:00,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,63.88,35.82,114.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.44,56.69,12.6,19.32,19.04,29.95,22.87,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,6.09,1.07,81.08,6.06,0,5.54,130.55,391.23,0,6.74,37.06,26.13,0,0,0,0,0

9,02:00-02:15,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,42.88,35.27,103.17,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.4,56.69,12.6,19.32,18.62,27.83,22.18,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,6.09,1.07,81.08,1.73,0,5.25,130.55,391.23,0,6.74,48.92,38.47,0,0,0,0,0

10,02:15-02:30,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,42.88,35.27,103.17,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.4,56.69,12.6,19.32,18.62,27.83,22.18,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,5.82,1.07,81.08,1.73,0,5.25,130.55,391.23,0,6.74,48.92,38.47,0,0,0,0,0

11,02:30-02:45,174.74,0,0,0,0,0,0,0,24.52,0,9.26,0,0,42.88,33.89,95.94,8.34,0,0,0,33.84,47.15,0,40.72,42.29,17.37,56.69,12.6,19.32,16.97,26,21.12,0,1.64,49.28,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,3.96,96.2,0,65.41,64.89,0,0,0,0,0,81.38,0,1.07,81.08,6.06,0,5.25,130.55,391.23,0,6.74,48.92,38.47,0,0,0,0,0

