Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/07/01/1044,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,NR/01102023/22052037/LT-59,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/6475,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/3698,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/6187,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/4125,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,13.5,0,10,0,12,13.5,35.38,0,40.5,35.38,0,0,0,0,0,0,0,0,0,3.25,86.93,40.96,33.73,19.28,10.5,20.48,26.94,7.77,20.8,9.35,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

2,00:15-00:30,0,13.33,0,10,0,11.67,13.33,35.18,0,40.01,35.18,0,0,0,0,0,0,0,0,0,3.25,86.93,40.96,33.73,19.28,10.5,20.48,26.94,6.98,20.8,9.35,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

3,00:30-00:45,0,13,0,10,0,11.67,13,35.41,0,39,35.42,0,0,0,0,0,0,0,0,0,3.24,86.93,40.96,33.73,19.28,10.5,20.48,26.94,6.79,20.8,9.35,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

4,00:45-01:00,0,12.83,0,10,0,11.33,12.83,35.94,0,38.51,35.93,0,0,0,0,0,0,0,0,0,3.23,86.93,40.96,33.73,19.28,10.5,20.48,26.94,6.79,20.8,9.35,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

5,01:00-01:15,0,13.17,0,10,0,11.33,13.17,36.73,0,39.49,36.73,0,0,0,0,0,0,0,0,0,3.24,86.93,40.96,33.73,19.28,10.5,20.48,26.94,6.79,20.8,8.41,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

6,01:15-01:30,0,13.5,0,10,0,12,13.5,36.8,0,40.5,36.79,0,0,0,0,0,0,0,0,0,3.24,86.93,40.96,33.73,19.28,10.5,20.48,26.94,6.79,20.8,8.41,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

7,01:30-01:45,0,13.83,0,8,0,12.67,13.83,36.46,0,41.51,36.45,0,0,0,0,0,0,0,0,0,3.24,86.93,40.96,33.73,19.28,10.5,20.48,26.94,6.79,20.8,8.41,8.03,115.65,0,15.28,0,81.92,100.41,20.48,130.4,271.07,10.76,15.94,0,26.94,-0,0,4.01,8.03,0

