Block,Time,RIHAND2,RSTPSU1TO6,SASAN,TANDA2,AURY_RF,DADRI_RF,CHAMERA2,KKNP,KOLDAM,NAPP,RIHAND1,URI2,AURY_CRF,DADRI_LF,CHAMERA1,DADRT2,DULHASTI,NNTPP,RAPPB,SIMHST1,TANAKPUR,UNCHAHAR4,BSIUL,KISHANGANGA,NLCIIST1,NLCTS2EXP,PARBATI3,RIHAND3,SEWA2,SIMHST2,SINGRAULI_HYDRO,TelanganaSTPP,URI,ANTA_RF,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,NLCIIST2,PARBATI2,TALST2,UNCHAHAR2,DHAULIGNGA,FSTPP I & II,KUDGI,RAMPUR,RAPPC,RSTPSU7,SALAL,SINGRAULI,TEHRI,UNCHAHAR3,AURY_GF,KKNPPU2,NLCEXP,NTPL,TALA,UNCHAHAR1,ANTA_GF,ANTA_LF,AURY_LF,BRBCL,CHAMERA3,KHSTPP-II,KOTESHWR,MAPS,NJPC,VALLURNTECL,ANTA_CRF,DADRI_CRF,DADRI_GF
1,00:00-00:15,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,39.63,0,0,28.1,684.54,39.62,0,0,0,0.25,2.28,19.56,8.56,0,0,16.86,130.75,18.88,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,3.27,69.26,0,79.38,150.25,12.1,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,82.89,0,0,0,0

2,00:15-00:30,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,39.63,0,0,28.1,684.54,39.62,0,0,0,6.27,2.28,19.56,8.56,0,0,16.86,130.75,18.88,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,79.38,150.25,12.1,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

3,00:30-00:45,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,39.63,0,0,28.1,684.54,39.62,0,0,0,6.27,2.28,19.56,8.56,0,0,16.86,130.75,18.88,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,79.38,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

4,00:45-01:00,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,39.63,0,0,28.1,684.54,39.62,0,0,0,6.27,2.28,19.56,8.56,0,0,16.86,130.75,18.88,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,79.38,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

5,01:00-01:15,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,6.27,2.28,19.56,8.56,0,0,16.86,130.75,18.88,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

6,01:15-01:30,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,6.27,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

7,01:30-01:45,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,6.27,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

8,01:45-02:00,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0.77,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,458.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

9,02:00-02:15,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

10,02:15-02:30,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

11,02:30-02:45,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

12,02:45-03:00,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,48.57,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

13,03:00-03:15,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,4.29,130.75,12.59,0,0.98,0,48.57,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

14,03:15-03:30,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,4.29,130.75,12.59,0,0.98,0,48.57,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

15,03:30-03:45,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,51.34,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,0,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

16,03:45-04:00,124.53,0,418.77,5.65,85.35,92.11,16.25,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,16.86,130.75,12.59,0,0.98,0,51.34,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,12.1,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

17,04:00-04:15,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,28.1,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,0,130.75,11.47,0,0.98,0,51.34,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,12.1,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

18,04:15-04:30,124.53,0,418.77,5.65,85.35,92.11,32.49,0,0,52.12,97.18,37.71,0,0,13.27,688.87,39.62,0,0,0,0,2.28,19.56,8.56,0,0,0,130.75,11.15,0,0.98,0,51.34,53.44,478.51,0,0,45.53,0,9,0,44.97,0,20.8,0,2.18,69.26,0,25.57,150.25,24.19,27.67,0,0,0,0,0,21.63,0,0,0,20,0,148.3,10.41,0,55.26,0,0,0,0

