Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/6187,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/8128,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/1044,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/2952,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/2414,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784
1,00:00-00:15,25.99,0,0,0,0,8.67,0,0,0,0,23.33,6.67,0,0,0,8.67,0,0,23.34,24.01,0,0,269.94,99.99,28.86,26.24,0,10.46,14.51,30.5,129.86,12.62,0,2.76,-0,3.99,115.17,19.2,14.54,40.79,10.71,20.4,33.59,86.57,20.71,20.4,15.21,0,14.54,81.58

2,00:15-00:30,25.5,0,0,0,0,8.5,0,0,0,0,22.67,6.67,0,0,0,8.5,0,0,22.66,23.61,0,0,269.94,99.99,28.86,26.75,0,10.46,14.51,30.5,129.86,12.62,0,2.76,-0,3.99,115.17,19.2,14.54,40.79,10.71,20.4,33.59,86.57,20.71,20.4,15.21,0,14.54,81.58

3,00:30-00:45,25.5,0,0,0,0,8.5,0,0,0,0,21.67,6.67,0,0,0,8.5,0,0,21.66,23.21,8.35,0,269.94,99.99,28.86,26.75,0,10.46,14.51,30.5,129.86,12.62,0,2.76,-0,3.99,115.17,19.2,14.54,40.79,10.71,20.4,33.59,86.57,20.71,20.4,15.21,0,14.54,81.58

4,00:45-01:00,25.01,0,0,0,0,8.33,0,0,0,0,20,6.67,0,0,0,8.33,0,0,20,22.81,8.35,0,269.94,99.99,28.86,26.75,0,10.46,14.51,30.5,129.86,12.62,0,2.76,-0,3.99,115.17,19.2,14.54,40.79,10.71,20.4,33.59,86.57,20.71,20.4,15.21,0,14.54,81.58

5,01:00-01:15,24.49,0,0,0,0,8.17,0,0,0,0,19.33,6.67,0,0,0,8.17,0,0,19.34,29.01,17.68,0,269.94,99.99,28.86,26.75,0,10.46,14.51,30.5,129.86,12.62,0,2.76,-0,3.99,115.17,19.2,14.54,40.79,10.71,20.4,33.59,86.57,20.71,20.4,15.21,0,14.54,81.58

