Block,Time,CHAMERA2,KGSU3AND4,KKNP,NJPC,NLCIIST1,NTPL,RIHAND2,TALA,DADRI_GF,KOLDAM,KOTESHWR,MAPS,NLCTS2EXP,PARBATI3,RAPPC,RSTPSU7,SASAN,SINGRAULI_HYDRO,TANDA2,UNCHAHAR1,ANTA_GF,AURY_GF,DULHASTI,JHAJJAR,RIHAND1,SALAL,UNCHAHAR3,BSIUL,CHAMERA1,KKNPPU2,KUDGI,NAPP,NLCIIST2,RIHAND3,DADRI_CRF,BRBCL,CHAMERA3,URI,VALLURNTECL,ANTA_CRF,DADRT2,KGSU1AND2,KISHANGANGA,NLCEXP,NNTPP,RSTPSU1TO6,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR4,URI2,AURY_CRF,AURY_LF,DADRI_LF,DADRI_RF,DHAULIGNGA,FSTPP I & II,KHSTPP-II,RAPPB,SEWA2,SIMHST2,TALST2,TelanganaSTPP,UNCHAHAR2,ANTA_RF,KHSTPP-I,RAMPUR,SIMHST1,ANTA_LF,AURY_RF
1,00:00-00:15,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,202.5,0.75,0,20.85,0,0,0,434.65,92,69.72,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,33.12,0,0,683.14,0,0,0,0,0,139.69,0,0,0,20.85,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.05,45.53,0,0,0,70.04

2,00:15-00:30,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,202.5,0.75,0,20.85,0,0,0,434.65,92,69.72,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,33.12,0,0,683.14,0,0,0,0,0,139.69,0,0,0,20.85,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.05,45.53,0,0,0,70.04

3,00:30-00:45,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,213.75,0,0,20.85,0,0,0,434.65,92,69.72,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,33.12,0,0,683.14,0,0,0,0,0,139.69,0,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.05,45.53,0,0,0,70.04

4,00:45-01:00,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,225,0,0,20.85,0,0,0,434.65,92,69.72,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,33.12,0,0,683.14,0,0,0,0,0,139.69,0,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.05,45.53,0,0,0,70.04

5,01:00-01:15,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,247.5,0,0,20.85,0,0,0,434.65,92,69.72,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,28.71,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.05,45.53,0,0,0,70.04

6,01:15-01:30,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,258.75,0,0,20.85,0,0,0,434.65,92,69.72,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,28.71,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

7,01:30-01:45,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,270,0,0,20.85,0,0,0,434.65,92,26.73,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,28.71,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

8,01:45-02:00,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,281.25,0,0,20.85,0,0,0,434.65,92,26.73,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,28.71,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

9,02:00-02:15,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,292.5,0.75,0,20.85,0,0,0,434.65,92,26.73,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,28.71,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

10,02:15-02:30,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,303.75,0.75,0,20.85,0,0,0,434.65,92,26.73,26.4,6.52,0,0,0,20.94,0,62.16,0,20,0,28.71,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

11,02:30-02:45,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,315,0.75,0,20.85,0,0,0,434.65,92,26.73,26.4,13.04,0,0,0,20.94,0,62.16,0,20,0,19.87,0,0,683.14,0,0,0,0,0,139.69,5.76,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

12,02:45-03:00,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,315,0.75,0,20.85,0,0,0,434.65,92,26.73,26.4,13.04,0,0,0,20.94,0,62.16,0,20,0,19.87,0,0,683.14,0,0,0,0,0,139.69,0,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.26,45.53,0,0,0,70.04

13,03:00-03:15,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,337.5,0.75,0,20.85,0,0,0,434.65,92,13.36,26.4,13.04,0,0,0,20.94,0,62.16,0,20,0,19.87,0,0,683.14,0,0,0,0,0,139.69,0,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.57,45.53,0,0,0,70.04

14,03:15-03:30,0,0,0,0,0,0,118.76,0,0,0,8.87,0,0,0,25.89,0,348.75,0.75,0,20.85,0,0,0,434.65,92,13.36,26.4,13.04,0,0,0,20.94,0,62.16,0,20,0,19.87,0,0,683.14,0,0,0,0,0,139.69,0,0,0,19.37,0,0,0,59.73,0,18.2,148.3,0,10.53,0,0,0,42.39,43.57,45.53,0,0,0,70.04

