Block,Time,SINGRAULI_HYDRO,ANTA_GF,CHAMERA1,RIHAND2,DADRI_LF,SINGRAULI,RAMPUR,AURY_RF,URI,DADRI_GF,ANTA_CRF,UNCHAHAR1,DADRI_CRF,AURY_CRF,ANTA_RF,TEHRI,TANAKPUR,BSIUL,UNCHAHAR4,DADRI_RF,UNCHAHAR3,KOTESHWR,SALAL,DHAULIGNGA,CHAMERA2,RAPPB,TANDA2,URI2,DULHASTI,KISHANGANGA,KOLDAM,AURY_LF,PARBATI3,RIHAND3,NJPC,CHAMERA3,ANTA_LF,AURY_GF,JHAJJAR,RAPPC,UNCHAHAR2,SEWA2,DADRT2,NAPP,RIHAND1,TALA,BRBCL,SASAN,KHSTPP-I,KHSTPP-II,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,20.260956,0.000000,0.000000,0.000000,0.000000,11.730181,6.285399,2.978451,0.000000,26.641213,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,397.309941,65.698230,21.137727,0.000000,528.344338,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

2,00:15-00:30,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,20.260956,0.000000,0.000000,0.000000,0.000000,11.730181,6.285399,2.978451,0.000000,26.641213,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,397.309941,65.698230,21.137727,0.000000,528.344338,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

3,00:30-00:45,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,20.260956,0.000000,0.000000,0.000000,0.000000,11.730181,6.285399,2.978451,0.000000,26.641213,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,397.309941,65.698230,21.137727,0.000000,528.344338,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

4,00:45-01:00,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,20.260956,0.000000,0.000000,0.000000,0.000000,11.730181,6.285399,2.978451,0.000000,26.641213,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,397.309941,65.698230,21.137727,0.000000,528.344338,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

5,01:00-01:15,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,20.080158,0.000000,0.000000,0.000000,0.000000,11.730181,12.570798,2.978451,0.000000,26.415294,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,368.044780,65.698230,20.956246,0.000000,463.141571,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

6,01:15-01:30,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,20.080158,0.000000,0.000000,0.000000,0.000000,11.730181,12.570798,2.978451,0.000000,26.415294,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,368.044780,65.698230,20.956246,0.000000,456.831826,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

7,01:30-01:45,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,18.190914,0.000000,0.000000,0.000000,0.000000,9.878047,12.570798,2.978451,0.000000,24.034461,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,368.044780,65.698230,18.960973,0.000000,456.831826,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

8,01:45-02:00,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,18.190914,0.000000,0.000000,0.000000,0.000000,9.878047,12.570798,2.978451,0.000000,24.034461,0.000000,76.723548,41.964482,46.748985,0.000000,5.164674,36.522672,57.039171,8.039553,9.865587,0.000000,4.117869,125.866158,173.465809,33.573845,0.000000,0.000000,276.215832,65.698230,18.960973,0.000000,456.831826,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

9,02:00-02:15,1.127284,0.000000,27.032576,119.889882,0.000000,143.601918,6.502002,0.000000,35.116805,0.000000,0.000000,18.954804,0.000000,0.000000,0.000000,0.000000,9.878047,12.570798,1.648269,0.000000,23.405709,0.000000,76.723548,41.964482,46.748985,0.000000,2.893069,36.522672,57.039171,8.039553,9.865587,0.000000,18.824545,125.866158,173.465809,33.573845,0.000000,0.000000,208.552874,65.698230,18.341668,0.000000,454.610422,47.086252,93.552223,4.534186,14.458500,265.674938,42.710409,47.549091,11.277630,0,0,0,0,0

