Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/30092023/31122025/SH-07,WR/01102023/30052048/L_NR_2022_10,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/9482,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/8625,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/5143,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/03/01/6891,NR/01102023/31052040/LT-31,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,109.01,0,0,0,0,36.33,0,9.6,0,0,26.87,40.34,0,259.56,0,69.95,3.95,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,27.25,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,36.33,40.33,0,0,0,0,0

2,00:15-00:30,109.01,0,0,0,0,36.33,0,8.6,0,0,26.87,40.66,0,259.56,0,69.95,3.95,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,27.25,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,36.33,40.67,0,0,0,0,0

3,00:30-00:45,109.01,0,0,0,0,36.33,0,8,0,0,26.87,40.66,0,259.56,0,69.95,3.95,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,27.76,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,36.33,40.67,0,0,0,0,0

4,00:45-01:00,109.01,0,0,0,0,36.33,0,7.6,0,0,26.87,40.34,0,259.56,0,69.95,3.95,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,36.33,40.33,0,0,0,0,0

5,01:00-01:15,109.01,0,0,0,0,36.33,0,7.6,0,0,26.87,40.34,0,259.56,0,69.95,3.86,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,36.33,40.33,0,0,0,0,0

6,01:15-01:30,109.01,0,0,0,0,36.33,0,7.4,0,0,26.87,40.66,0,259.56,0,69.95,3.86,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,36.33,40.67,0,0,0,0,0

7,01:30-01:45,100.01,0,0,0,0,33.33,0,7.4,0,0,26.87,40.34,0,259.56,0,69.95,3.86,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,33.33,40.33,0,0,0,0,0

8,01:45-02:00,100.01,0,0,0,0,33.33,0,7.2,0,0,26.87,40.34,0,259.56,0,69.95,3.86,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,200,190.26,26.87,0.78,86.52,63.42,0,36.67,33.33,40.33,0,0,0,0,0

9,02:00-02:15,100.01,0,0,0,0,33.33,0,7,0,0,26.87,48.34,0,259.56,0,69.95,3.86,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,0,190.26,26.87,0.78,86.52,63.42,0,36.67,33.33,48.33,0,0,0,0,0

10,02:15-02:30,100.01,0,0,0,0,33.33,0,6.8,0,0,26.87,55.66,0,259.56,0,69.95,3.86,0,1.26,0.92,0,5.76,8.63,271.21,23.02,22.06,23.02,0,17.27,28.26,42,0,0,190.26,26.87,0.78,86.52,63.42,0,36.67,33.33,55.67,0,0,0,0,0

