Block,Time,UNCHAHAR2,DULHASTI,RAPPB,DHAULIGNGA,BSIUL,AURY_CRF,UNCHAHAR4,RIHAND1,ANTA_GF,NJPC,ANTA_CRF,CHAMERA1,JHAJJAR,SINGRAULI,TANDA2,ANTA_LF,DADRI_LF,AURY_RF,SEWA2,DADRT2,CHAMERA2,SINGRAULI_HYDRO,TEHRI,DADRI_CRF,NAPP,RAMPUR,KISHANGANGA,KAPS,AURY_GF,RIHAND3,AURY_LF,GANDHAR-APM,GANDHAR-ComGas,KSTPS I&II,KSTPS7,UNCHAHAR3,GADARWARA-I,DADRI_GF,VSTPS V,SIPAT I,SIPAT II,VSTPS II,URI,VSTPS III,KAWAS-ComGas,KAWAS-NAPM,ANTA_RF,TALA,BRBCL,TANAKPUR,RAPPC,UNCHAHAR1,KHSTPP-II,FSTPP I & II,KHARGONE-I,CHAMERA3,DADRI_RF,KAWAS-zLIQ,TAPS-II,VSTPS IV,KOTESHWR,RIHAND2,KHSTPP-I,SALAL,GANDHAR-NAPM,LARA-I,MOUDA_II,SASAN,GANDHAR-RLNG,URI2,PARBATI3,KOLDAM,KKNP,SOLAPUR,TALST2,NTPL,KAWAS-APM,MAPS,KGSU3AND4,NLCEXP,KAWAS-RLNG,NLCTS2EXP,KGSU1AND2,NNTPP,MOUDA,RSTPSU1TO6,NLCIIST1,RSTPSU7,VSTPS I,KUDGI,VALLURNTECL,NLCIIST2,SIMHST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.433499,18.239262,0.000000,0.000000,12.625305,0.000000,0.000000,92.484511,0.000000,51.252458,0.000000,40.651823,589.979249,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,355.054484,29.760103,1.016289,48.563476,0.000000,46.538888,1.576556,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,14.982929,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,13.245006,1.111972,63.256399,12.569460,142.278820,19.994085,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,26.868491,118.083735,40.103428,45.950709,0.000000,4.078779,3.363787,336.586388,0.000000,35.210761,0.000000,3.127313,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.21,1.856470,7.67,0.98,1.87,2.294531,0.00,3.39,1.47,1.78,0,0,0,0,0

2,00:15-00:30,37.433499,18.239262,0.000000,0.000000,12.625305,0.000000,0.000000,92.484511,0.000000,51.252458,0.000000,40.651823,589.979249,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,355.026564,29.760103,1.016289,48.563476,0.000000,46.538888,1.576556,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,14.982929,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,11.401572,1.111972,63.256399,12.569460,142.278820,19.994085,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,26.868491,118.083735,40.103428,80.693928,0.000000,4.078779,3.363787,336.586388,0.000000,35.210761,0.000000,1.563656,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.22,1.856470,7.67,0.98,1.87,2.294531,0.00,3.44,1.47,1.78,0,0,0,0,0

3,00:30-00:45,22.994741,18.239262,0.000000,0.000000,12.625305,0.000000,0.000000,92.484511,0.000000,25.626229,0.000000,40.651823,514.273908,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,351.199398,29.760103,1.016289,48.563476,0.000000,46.538888,0.788278,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,10.068994,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,12.879984,1.111972,63.256399,10.635718,142.278820,19.994085,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,26.868491,118.083735,40.103428,80.693928,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.22,1.856470,7.67,0.98,1.87,2.294531,0.00,3.44,1.47,1.78,0,0,0,0,0

4,00:45-01:00,22.994741,18.239262,0.000000,0.000000,12.625305,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,27.101215,513.801303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,351.165960,29.760103,1.016289,48.563476,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,10.068994,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,12.371348,1.111972,63.256399,10.635718,142.278820,19.994085,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,26.868491,118.083735,27.312711,80.693928,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.22,1.856470,7.67,0.98,1.87,2.294531,0.00,3.44,1.47,1.78,0,0,0,0,0

5,01:00-01:15,13.950335,18.239262,0.000000,0.000000,12.625305,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,27.101215,417.351303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,351.241368,29.760103,1.016289,48.563476,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,10.616435,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,12.709142,1.111972,63.256399,10.992297,142.278820,0.000000,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,26.868491,118.083735,16.937874,80.693928,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.22,1.856470,7.67,0.98,1.87,2.304868,0.00,3.44,1.47,1.78,0,0,0,0,0

6,01:15-01:30,13.950335,18.239262,0.000000,0.000000,12.625305,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,13.550608,338.262303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,351.208030,29.760103,1.016289,48.563476,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,10.616435,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,51.110784,1.877149,0.000000,0.000000,0.000000,0.000000,11.916759,1.111972,63.256399,11.394414,142.278820,0.000000,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,26.868491,118.083735,16.937874,45.950709,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.22,1.856470,7.67,0.98,1.87,2.304868,0.00,3.44,1.47,1.78,0,0,0,0,0

7,01:30-01:45,13.950335,18.239262,0.000000,0.000000,6.259605,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,13.550608,338.262303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,351.241368,29.760103,1.016289,48.563476,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,10.632029,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,51.110784,1.877149,0.000000,0.000000,0.000000,0.000000,11.751854,1.111972,63.256399,11.796685,142.278820,0.000000,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,18.270574,118.083735,16.937874,34.743219,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.21,1.856470,7.67,0.98,1.87,2.304868,0.00,3.44,1.47,1.78,0,0,0,0,0

8,01:45-02:00,13.950335,18.239262,0.000000,0.000000,6.259605,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,0.000000,338.262303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,351.208030,29.760103,1.016289,36.422607,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,10.632029,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,11.120794,1.111972,63.256399,9.515288,142.278820,0.000000,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,9.027813,118.083735,16.937874,34.743219,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.21,1.856470,7.67,0.98,1.87,2.304868,0.00,3.44,1.47,1.78,0,0,0,0,0

9,02:00-02:15,13.950335,18.239262,0.000000,0.000000,6.259605,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,0.000000,338.262303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,363.027413,29.760103,0.995963,0.000000,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,13.559205,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,11.190502,1.111972,63.256399,6.230249,142.278820,0.000000,3.393268,21.518384,0.000000,0.000000,1.313349,2.570658,8.812865,118.083735,16.937874,34.743219,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.21,1.856470,7.67,0.98,1.87,2.315203,0.00,3.44,1.47,1.78,0,0,0,0,0

10,02:15-02:30,13.950335,18.239262,0.000000,0.000000,6.259605,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,0.000000,338.262303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,363.020065,29.760103,0.995963,0.000000,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,13.559205,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,11.118746,1.111972,63.256399,2.945209,142.278820,0.000000,3.393268,10.759192,0.000000,0.000000,1.313349,2.570658,8.812865,118.083735,16.937874,34.743219,0.000000,4.078779,3.363787,336.586388,0.000000,30.441153,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.21,1.856470,7.67,0.98,1.87,2.315203,0.00,3.44,1.47,1.78,0,0,0,0,0

11,02:30-02:45,22.637876,18.239262,0.000000,0.000000,6.259605,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,0.000000,338.262303,127.998795,3.944705,0.000000,0.000000,0.000000,17.465872,362.524954,14.804518,0.995963,0.000000,0.000000,46.538888,0.000000,4.124755,1.099695,0.000000,123.890121,0.000000,0.000000,0.000000,2.844264,1.285329,12.938450,3.290442,0.000000,1.271619,3.393268,1.791457,1.861130,46.851552,1.877149,0.000000,0.000000,0.000000,0.000000,10.788015,1.111972,61.728468,0.000000,142.278820,6.134220,3.393268,0.000000,0.000000,0.000000,1.313349,2.570658,8.812865,118.083735,27.312711,34.743219,0.000000,4.078779,3.363787,336.586388,0.000000,29.698685,0.000000,0.000000,0.00,1.696634,2.92,3.65,0.000000,0.23,2.10,1.78,0.000000,0.00,1.94,0.21,1.856470,7.67,0.98,1.87,2.315203,0.00,3.44,1.47,1.78,0,0,0,0,0

