Column1,Time,GNA/NR/2025/08/01/3698,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6209,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/08/01/5784,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/2952,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/4452,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/5126,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/07/5932,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/1196,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,14.6,5.91,48.18,7.28,96.35,130.36,8.53,32,26.64,70.27,86.91,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,21.67,53.34,64.99,15.28,21.67,53.33,0,17.41,0,15.27,270.98,20.79,16.83,26.24,0,24.09,10.75,-0,10.5,0,19.27,100.38

2,00:15-00:30,14.6,5.91,48.18,7.28,96.35,130.36,8.53,32,26.64,70.27,86.91,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,21.67,53.34,64.99,14.69,21.67,53.33,0,16.21,0,15.27,270.98,20.79,16.83,26.24,0,24.09,10.75,-0,10.5,0,19.27,100.38

3,00:30-00:45,14.6,5.91,48.18,7.28,96.35,130.36,8.53,26.64,26.64,70.27,86.91,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,17.83,53.34,53.51,14.05,17.83,53.33,0,15.01,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

4,00:45-01:00,14.6,5.91,48.18,7.28,96.35,130.36,8.53,26.64,26.64,70.27,86.91,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,17.33,53.34,52.01,13.39,17.33,53.33,0,13.41,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

5,01:00-01:15,14.6,5.91,48.18,7.15,96.35,130.36,8.53,26.64,26.64,70.27,66.99,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,17,53.34,51,13.3,17,53.33,0,12.61,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

6,01:15-01:30,14.6,5.91,48.18,7.15,96.35,130.36,8.53,26.64,26.64,70.27,66.99,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,16.83,53.34,50.51,13.5,16.83,53.33,0,9.8,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

7,01:30-01:45,14.6,5.91,48.18,7.15,96.35,130.36,8.53,26.64,26.64,70.27,66.99,12.67,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,16.67,53.34,49.99,13.86,16.67,53.33,0,9,0,15.27,270.98,20.79,16.83,26.75,0,24.09,10.75,-0,10.5,0,19.27,100.38

