Column1,Time,GNA/SR/2025/02/01/7432,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/6460,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2594,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/02/01/9969,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/5886,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,GNARE/SR/2025/01/13/4532,GNA/WR/2025/01/01/8625,NR/01102023/22052037/LT-59
1,00:00-00:15,0,1.38,75,0,0,0,25.83,77.51,71.33,0,0,0,0,0,71.33,0,0,17,0,0,0,25.83,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,17,0,0.63

2,00:15-00:30,0,1.38,75,0,0,0,26,78,71.67,0,0,0,0,0,71.67,0,0,18,0,0,0,26,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,16.6,0,0.63

3,00:30-00:45,0,1.38,75,0,0,0,26.67,79.99,75.67,0,0,0,0,0,75.67,0,0,21.66,0,0,0,26.67,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,15.01,0,0

4,00:45-01:00,0,1.38,75,0,0,0,27.33,82.01,76.33,0,0,0,0,0,76.33,0,0,21.34,0,0,0,27.33,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,13.61,0,0

5,01:00-01:15,0,1.38,75,0,0,0,27.67,82.99,77.67,0,0,0,0,0,77.67,0,0,21.34,0,0,0,27.67,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,13.01,0,0.63

6,01:15-01:30,0,1.38,75,0,0,0,27.83,83.51,78.33,0,0,0,0,0,78.33,0,0,21,0,0,0,27.83,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,12.41,0,0.63

7,01:30-01:45,0,1.38,75,0,0,0,28,84,79,0,0,0,0,0,79,0,0,21,0,0,0,28,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,11.61,0,0.63

8,01:45-02:00,0,1.38,75,0,0,0,28,84,79.67,0,0,0,0,0,79.67,0,0,21,0,0,0,28,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,11,0,0.63

9,02:00-02:15,0,1.38,75,0,0,0,27.5,82.5,80,0,0,0,0,0,80,0,0,20.34,0,0,0,27.5,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,10.2,0,0.63

10,02:15-02:30,0,1.38,75,0,0,0,26.83,80.51,80,0,0,0,0,0,80,0,0,19.66,0,0,0,26.83,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,9.6,0,0.63

11,02:30-02:45,0,1.38,75,0,0,0,29.17,87.49,80,0,0,0,0,0,80,0,0,19.66,0,0,0,29.17,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,9,0,0

12,02:45-03:00,0,1.38,75,0,0,0,29.17,87.49,80,0,0,0,0,0,80,0,0,19.66,0,0,0,29.17,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,271.95,26.99,1.25,9,0,0

13,03:00-03:15,0,1.38,75,0,0,0,23.33,70.01,63.67,0,0,0,0,0,63.67,0,0,16.33,0,0,0,23.33,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,250.07,26.99,1.25,8.4,0,0.63

14,03:15-03:30,0,1.38,75,0,0,0,23,69,63.33,0,0,0,0,0,63.33,0,0,16.33,0,0,0,23,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,8.2,0,0.63

15,03:30-03:45,0,1.38,75,0,0,0,18.67,55.99,56.33,0,0,0,0,0,56.33,0,0,13,0,0,0,18.67,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,7.8,0,0.63

16,03:45-04:00,0,1.38,75,0,0,0,17.83,53.51,55.67,0,0,0,0,0,55.67,0,0,12.67,0,0,0,17.83,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,7.4,0,0.63

17,04:00-04:15,0,1.38,75,0,0,0,20.83,62.51,49.67,0,0,0,0,0,49.67,0,0,12.33,0,0,0,20.83,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,6.8,0,0.63

18,04:15-04:30,0,1.38,75,0,0,0,20.5,61.5,49.67,0,0,0,0,0,49.67,0,0,12,0,0,0,20.5,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,6.4,0,0.63

19,04:30-04:45,0,1.38,75,0,0,0,20,60,38.33,0,0,0,0,0,38.33,0,0,11.67,0,0,0,20,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,8.6,0,0

20,04:45-05:00,0,1.38,75,0,0,0,19.83,59.51,38,0,0,0,0,0,38,0,0,11.33,0,0,0,19.83,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,230.83,26.99,1.25,8.2,0,0

21,05:00-05:15,0,1.38,75,0,0,0,19.5,58.5,37.33,0,0,0,0,0,37.33,0,0,10.67,0,0,0,19.5,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,52.9,250.07,26.99,1.25,7.8,0,0.63

22,05:15-05:30,0,1.38,75,0,0,0,19.17,57.49,36.33,0,0,0,0,0,36.33,0,0,10,0,0,0,19.17,0,23.08,8.66,23.08,0,23.08,0,8.66,70.16,135.61,0.92,0,0,26.99,0,59.47,81.75,271.95,26.99,1.25,7.4,0,0.63

23,05:30-05:45,0,1.38,75,0,0,0,18.83,56.51,36.33,0,0,0,0,0,36.33,0,0,9.67,0,0,0,18.83,0,23.08,8.66,23.08,0,23.08,0,8.66,66.02,164.47,0.92,0,0,26.99,0,59.47,100.2,271.95,26.99,1.25,7,0,0.63

24,05:45-06:00,0,1.38,75,0,0,0,18.5,55.5,36.33,0,0,0,0,0,36.33,0,0,8.67,0,0,0,18.5,0,23.08,8.66,23.08,0,23.08,0,8.66,66.02,212.56,0.92,0,0,26.99,0,76.26,100.2,271.95,26.99,1.25,6.6,0,0.63

25,06:00-06:15,0,1.29,75,0.13,0,0,22.17,66.49,48.33,0,0,0,0,0,48.33,0,0,11.67,0,0,0,22.17,0,23.08,8.66,23.08,0,23.08,0,8.66,66.02,261.13,0.92,0,0,26.12,0,86.75,100.2,271.95,32,1.25,6.2,0,0.63

26,06:15-06:30,0,1.29,75,1.34,0,0,21.67,64.99,47.67,0,0,0,0,0,47.67,0,0,11.33,0,0,0,21.67,0,23.08,8.66,23.08,0,23.08,0,8.66,66.02,261.13,0.92,0,0,26.12,0,86.75,100.2,271.95,32,1.25,6,0,0.63

27,06:30-06:45,0,1.29,75,2.95,0,0,21.33,64.01,47,0,0,0,0,0,47,0,0,11,0,0,0,21.33,0,36.55,8.66,36.55,0,36.55,0,8.66,82.96,261.13,0.92,0,0,3.58,0,86.75,100.2,271.95,32,1.25,6,0,0

