Block,Time,RAMPUR,KISHANGANGA,AURY_GF,ANTA_RF,AURY_LF,UNCHAHAR3,RAPPC,DADRI_CRF,ANTA_LF,TANDA2,DADRI_GF,KOTESHWR,SINGRAULI_HYDRO,SINGRAULI,UNCHAHAR2,UNCHAHAR4,ANTA_GF,URI,CHAMERA1,BSIUL,AURY_CRF,CHAMERA3,DULHASTI,CHAMERA2,TANAKPUR,RAPPB,SALAL,UNCHAHAR1,JHAJJAR,TEHRI,AURY_RF,URI2,SEWA2,RIHAND1,DADRI_RF,DADRI_LF,NAPP,PARBATI3,NJPC,DADRT2,RIHAND3,DHAULIGNGA,RIHAND2,ANTA_CRF,KOLDAM,SOLAPUR,KAWAS-NAPM,KHSTPP-II,NLCIIST1,KSTPS7,SASAN,MOUDA,KGSU1AND2,TAPS-II,MOUDA_II,SIPAT II,GANDHAR-RLNG,KHSTPP-I,TALA,TALST2,VSTPS II,KAWAS-RLNG,GANDHAR-NAPM,RSTPSU7,KAWAS-ComGas,VSTPS V,KKNP,MAPS,NNTPP,KSTPS I&II,BRBCL,NLCIIST2,GANDHAR-APM,KUDGI,RSTPSU1TO6,GANDHAR-ComGas,NLCTS2EXP,GADARWARA-I,NLCEXP,KHARGONE-I,KAPS,VSTPS III,KGSU3AND4,LARA-I,VSTPS I,NTPL,SIPAT I,KAWAS-APM,FSTPP I & II,SIMHST2,VSTPS IV,VALLURNTECL,KAWAS-zLIQ,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.885687,2.466768,0.000000,0.000000,0.000000,24.300410,57.332560,0.000000,0.000000,2.093278,0.000000,8.731776,0.980807,101.963465,38.012661,0.000000,0.000000,47.496950,41.243688,12.761760,0.000000,30.656971,52.115693,42.186473,10.527002,0.000000,79.762934,0.000000,208.828800,26.640394,0.000000,34.186497,16.608717,90.205630,0.000000,0.000000,42.798915,0.000000,97.790948,320.149667,121.109779,19.171906,115.594185,0.000000,4.114564,1.712429,0.000000,142.618106,0.16,1.297295,404.866836,1.873758,1.93,2.700657,3.395103,0.904068,0.000000,42.839875,5.684784,0.00,1.878456,0.000000,0.000000,0.00,0.000000,1.283457,1.57,0.23,0.00,2.870752,11.591965,0.00,0.000000,0.00,0.00,0.000000,0.00,4.151343,0.00,3.424858,0.792042,1.894622,1.06,4.116755,2.295032,1.01,5.137286,0.000000,13.778527,0.00,2.594590,0.00,0.000000,0,0,0,0,0

2,00:15-00:30,1.414266,2.466768,0.000000,0.000000,0.000000,22.143877,57.332560,0.000000,0.000000,1.673276,0.000000,8.731776,0.980807,101.963465,36.037953,0.000000,0.000000,47.496950,41.243688,12.761760,0.000000,30.656971,52.115693,42.186473,10.527002,0.000000,79.762934,0.000000,208.828800,26.640394,0.000000,34.186497,16.608717,90.205630,0.000000,0.000000,42.798915,0.000000,73.343211,299.137201,121.109779,19.171906,115.594185,0.000000,4.114564,1.712429,0.000000,142.618106,0.32,1.297295,404.866836,1.873758,1.93,2.700657,3.395103,0.904068,0.000000,42.839875,5.684784,0.00,1.878456,0.000000,0.000000,0.00,0.000000,1.283457,1.57,0.23,0.00,2.870752,13.640123,0.00,0.000000,0.00,0.00,0.000000,0.00,4.151343,0.00,3.424858,0.792042,1.894622,1.06,4.116755,2.295032,1.01,5.137286,0.000000,13.778527,0.00,2.594590,0.00,0.000000,0,0,0,0,0

3,00:30-00:45,1.147810,2.466768,0.000000,0.000000,0.000000,22.143877,57.332560,0.000000,0.000000,1.327207,0.000000,8.731776,0.980807,101.963465,36.037953,0.000000,0.000000,47.496950,40.748764,12.761760,0.000000,30.656971,52.115693,42.186473,10.527002,0.000000,79.762934,0.000000,208.828800,26.640394,0.000000,32.491299,16.608717,90.205630,0.000000,0.000000,42.798915,0.000000,59.387216,299.137201,121.109779,19.171906,115.594185,0.000000,4.114564,1.712429,0.000000,142.618106,0.59,1.297295,404.866836,1.873758,1.93,2.700657,3.395103,0.904068,0.000000,42.839875,5.684784,0.00,1.878456,0.000000,0.000000,0.00,0.000000,1.283457,1.57,0.23,0.00,2.870752,11.450092,0.00,0.000000,0.00,0.00,0.000000,0.00,4.151343,0.00,3.424858,0.792042,1.894622,1.06,4.116755,2.295032,0.00,5.137286,0.000000,10.277567,0.00,2.594590,0.00,0.000000,0,0,0,0,0

4,00:45-01:00,1.147810,2.466768,0.000000,0.000000,0.000000,22.143877,57.332560,0.000000,0.000000,1.327207,0.000000,8.731776,0.980807,101.963465,36.037953,0.000000,0.000000,47.496950,40.748764,12.761760,0.000000,30.656971,52.115693,42.186473,10.527002,0.000000,79.762934,0.000000,208.828800,26.640394,0.000000,32.491299,16.608717,90.205630,0.000000,0.000000,42.798915,0.000000,59.387216,299.137201,121.109779,19.171906,115.594185,0.000000,4.114564,1.712429,0.000000,123.798643,0.64,1.297295,404.866836,1.873758,1.93,2.700657,3.395103,0.904068,0.000000,38.299202,5.684784,0.00,1.878456,0.000000,0.000000,0.00,0.000000,1.283457,1.57,0.23,0.00,2.870752,12.149530,0.00,0.000000,0.00,0.00,0.000000,0.00,4.151343,0.00,3.424858,0.792042,1.894622,1.06,4.116755,2.295032,0.00,5.137286,0.000000,10.277567,0.00,2.594590,0.00,0.000000,0,0,0,0,0

5,01:00-01:15,1.147810,2.466768,0.000000,0.000000,0.000000,22.143877,57.332560,0.000000,0.000000,1.195713,0.000000,8.731776,0.980807,101.963465,36.037953,0.000000,0.000000,47.496950,40.748764,12.761760,0.000000,30.656971,52.115693,42.186473,10.527002,0.000000,79.762934,0.000000,208.828800,26.640394,0.000000,32.491299,16.608717,90.205630,0.000000,0.000000,42.798915,0.000000,59.387216,299.137201,121.109779,9.585953,115.594185,0.000000,3.085923,1.712429,0.000000,142.006722,0.64,1.297295,404.866836,1.873758,1.93,2.700657,3.395103,0.904068,0.000000,42.838908,5.684784,0.00,1.878456,0.000000,0.000000,0.00,0.000000,1.283457,1.57,0.23,0.00,2.870752,11.322446,0.00,0.000000,0.00,0.00,0.000000,0.00,4.151343,0.00,3.424858,0.792042,1.894622,1.06,4.116755,2.295032,0.00,5.137286,0.000000,10.277567,0.00,2.594590,0.00,0.000000,0,0,0,0,0

